number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
90,12,14,12,20,Cloud nine feeling,7,ECSTASY
91,17,14,17,20,Swirling storm,7,CYCLONE
93,7,15,7,20,Essential,6,NEEDED
98,9,16,9,20,Many a Winter Olympian,5,SKIER
100,13,16,13,18,___ goal (soccer blunder),3,OWN
102,18,16,18,20,Cousin of a crow,5,RAVEN
103,19,16,19,20,Childish retort,5,ARESO
104,20,16,20,20,Painter Édouard often confused with painter Claude,5,MANET
106,6,17,6,20,Fancy Feast flavor,4,TUNA
107,11,17,11,20,Some boxers,4,BVDS
109,0,18,0,20,"Name found in ""Variety""",3,ARI
110,5,18,5,20,Setting for simmering,3,LOW
111,10,18,10,20,Onetime auto make with the Metro and Prizm models,3,GEO
112,14,18,14,18,Stately shade tree,1,
113,15,18,15,20,Howe'er,3,THO
114,16,18,16,20,Ball-and-socket joint,3,HIP
