number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
79,0,12,6,12,Little squealer,7,MINIPIG
83,8,12,12,12,Fencer's score,5,TOUCH
86,14,12,16,12,"Hebrew version of the English pronoun ""I""",3,ANI
87,18,12,20,12,"Confidentiality contract, for short",3,NDA
88,0,13,8,13,Welcome event,9,OPENHOUSE
90,10,13,12,13,___ drag (hockey maneuver),3,TOE
91,16,13,20,13,Cellist's need,5,ROSIN
93,0,14,4,14,In concert,5,ASONE
94,6,14,20,14,"Economizing, as represented in 58-Down?",15,STRETCHINGABUCK
99,0,15,7,15,"Unwelcome, so to speak",8,NONGRATA
101,9,15,11,15,Vote in favor,3,YEA
102,13,15,17,15,Trading places,5,MARTS
103,3,16,9,16,Like some modern maps,7,GENOMIC
105,12,16,16,16,"Golfer Palmer, to fans",5,ARNIE
106,18,16,20,16,A/C meas.,3,BTU
109,1,17,5,17,"""The Planets"" composer",5,HOLST
111,7,17,20,17,"Economizing, as represented by the shaded squares?",14,MAKINGENDSMEET
115,0,18,3,18,Bad-sounding creatures?,4,FOWL
116,5,18,8,18,"Ditto, in legal footnotes",4,IDEM
118,10,18,14,18,"Word that means ""ocean"" in a religious title",5,DALAI
119,16,18,20,18,Large crowd,5,HORDE
120,0,19,3,19,It's cried on a slide,4,WHEE
121,5,19,8,19,Check,4,CURB
122,10,19,14,19,Classical poem,5,EPODE
123,16,19,19,19,Beast with recurved horns,4,IBEX
124,0,20,3,20,Triumphant shout at a crossword tournament,4,DONE
125,5,20,8,20,Freshness,4,SASS
126,10,20,13,20,Like some morning lawns,4,DEWY
127,16,20,18,20,"Smokey spot, for short",3,PSA
1,2,0,2,4,Sharpens,5,WHETS
2,3,0,3,3,"""How ___ Your Mother""",4,IMET
3,4,0,4,9,Work out,10,GETINSHAPE
4,7,0,7,6,Some garlic prep,7,MINCING
5,8,0,8,4,Regarding,5,ASFOR
6,9,0,9,3,Maker of the Nitro 5 gaming laptop,4,ACER
7,10,0,10,3,"""The year's at the spring / And day's at the ___"": Robert Browning",4,MORN
8,12,0,12,4,Yankees manager before Girardi,5,TORRE
9,13,0,13,7,Zealous activist,8,CRUSADER
10,14,0,14,2,C-note,3,BEN
11,15,0,15,5,Tranquil discipline,6,YOGISM
12,17,0,17,2,Former name of a Kansas arena that commemorated a 1976 U.S. anniversary,3,
13,18,0,18,3,It helps make a stew a goo,4,OKRA
14,19,0,19,3,Poached fruit,4,PEAR
15,20,0,20,2,Garnish for una margarita,3,SAL
16,1,1,1,4,"Source of many a name on a campus building, informally",4,ALUM
17,6,1,6,6,Starts eating,6,DIGSIN
20,0,2,0,4,Poli ___,3,SCI
25,5,3,5,6,Reply to the Little Red Hen,4,NOTI
26,11,3,11,6,"Name hidden in ""before long""",4,ELON
28,16,3,16,9,It makes a red velvet cake red,7,FOODDYE
32,14,4,14,8,Cancún cash,5,PESOS
33,3,5,3,7,Hamburger's beef?,3,ACH
34,9,5,9,8,Word with pepper or tower,4,BELL
35,10,5,10,9,Like some ancient pyramids,5,INCAN
37,18,5,18,8,"Acceleration, e.g.",4,RATE
38,19,5,19,8,"Quelques-___ (some, in French)",4,UNES
39,20,5,20,8,Quantity multiplied by acceleration in Newton's second law,4,MASS
40,0,6,0,10,Pioneer in global aviation,5,PANAM
41,1,6,1,10,Words of defeat,5,ILOSE
42,2,6,2,10,"""Don't sweat it,"" informally",5,NOBIG
43,8,6,8,8,Educ. supporter,3,PTA
44,12,6,12,10,Once-popular devices discontinued in 2022,5,IPODS
49,15,7,15,12,Cousin of a weasel,6,MARTEN
52,5,8,5,13,"""What's the ___?"" (""'Sup with that?"")",6,DEALIO
53,6,8,6,10,Suffer,3,AIL
55,11,8,11,10,Farmyard cry,3,MAA
58,3,9,3,20,Not in a relationship,12,SSIINNGGLLEE
59,7,9,7,11,"""The Last O.G."" network",3,TBS
61,13,9,13,11,Vile Nile reptile,3,ASP
65,8,10,8,14,Out-and-out,5,UTTER
66,9,10,9,12,Foreign leader whom Nixon met in 1972,3,MAO
68,14,10,14,12,That's history!,3,ERA
70,18,10,18,14,Kind of knife of infomercial fame,5,GINSU
71,19,10,19,14,Like Urdu or Hindi,5,INDIC
72,20,10,20,14,Was very ripe,5,STANK
74,4,11,4,17,Round figures,7,SPHERES
76,10,11,10,15,Montana city SW of Helena,5,BUTTE
78,16,11,16,20,The main antagonist?,10,PIRATESHIP
79,0,12,0,15,"[Ugh, this is horrible!]",4,MOAN
80,1,12,1,15,___ facto,4,IPSO
81,2,12,2,15,Like some highlighter colors,4,NEON
82,6,12,6,16,Relish,5,GUSTO
84,11,12,11,15,Plant whose name derives from Quechua,4,COCA
85,12,12,12,14,Devious snicker,3,HEH
89,7,13,7,20,Barely gets the words out,8,STAMMERS
92,17,13,17,15,"Pros with deliveries, in brief",3,OBS
95,9,14,9,17,Painter Jan van ___,4,EYCK
96,13,14,13,20,"""Let's do this!""",7,IMREADY
97,14,14,14,19,Civil rights icon ___ Helen Burroughs,6,NANNIE
98,15,14,15,17,Power structure?,4,GRID
100,5,15,5,20,Capers,6,ANTICS
104,8,16,8,20,"Shakespeare's ""Shall I compare thee to a summer's day?"" has five of them",5,IAMBS
105,12,16,12,20,"Beaming, as with joy",5,AGLOW
106,18,16,18,20,Liberal arts college in Kentucky,5,BEREA
107,19,16,19,19,Locally focused lecture franchise,4,TEDX
108,20,16,20,18,Pac-12 player,3,UTE
109,1,17,1,20,Santa's favorite Hostess dessert?,4,HOHO
110,2,17,2,20,Wilson of film,4,OWEN
112,10,17,10,20,"Carded at a bar, informally",4,IDED
113,11,17,11,20,Common spot for a sunburn,4,NAPE
114,17,17,17,20,Gaggles,4,MOBS
115,0,18,0,20,Chain email abbr.,3,FWD
117,6,18,6,20,Grammy winner ___ Lipa,3,DUA
