number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
117,5,18,5,18,Card/game,1,
118,11,18,12,18,Certain emcee,2,
120,0,19,3,19,Grim Grimm figure,4,OGRE
121,5,19,9,19,Beethoven dedicatee,5,ELISE
122,11,19,11,19,Risk of heavy lifting,1,
123,17,19,20,19,First name in the Rock & Roll Hall of Fame,4,TINA
124,0,20,3,20,"Costner's role in ""The Untouchables""",4,NESS
125,5,20,9,20,Sheen,5,GLOSS
126,12,20,14,20,Happy companion,3,DOC
127,17,20,20,20,Right hand: Abbr.,4,ASST
1,0,0,0,3,Red rover home,4,MARS
2,1,0,1,3,"""I smell ___""",4,ARAT
3,2,0,2,3,___ Act (measure against mobsters),4,RICO
4,3,0,3,5,Indigenous people's name for Mount Rainier,6,TAHOMA
5,6,0,6,7,Officer with a radar gun,8,SPEEDCOP
6,7,0,7,2,Shapiro of NPR,3,ARI
7,8,0,8,3,Antiquated assent,4,YESM
8,11,0,11,2,"Fictional composer whose first three initials mean ""A.S.A.P.""",3,
9,12,0,12,7,Dietary plant fiber,8,ROUGHAGE
10,13,0,13,3,Foreign exchange fee,4,AGIO
11,14,0,14,3,"Chrysler Building style, familiarly",4,DECO
12,15,0,15,2,Request,3,ASK
13,17,0,17,2,Protective outfits for handling radioactive material,3,
14,18,0,18,7,Almond-flavored liqueur,8,AMARETTO
15,19,0,19,7,Stand in a cellar,8,WINERACK
16,20,0,20,6,Small entryway receptacle that might also house loose change,7,KEYDISH
18,5,1,5,2,Skinny/dip,2,
19,9,1,9,4,Poet Pound,4,EZRA
23,4,2,4,6,"Horror film locale, in brief",5,ELMST
28,10,3,10,9,Seasoning brand that dropped the first part of its name in 2020,7,MRSDASH
29,16,3,16,6,"Prompted, in a theater",4,CUED
31,7,4,7,4,Horse/power,1,
34,0,5,0,11,Tour aid,7,AREAMAP
35,1,5,1,11,What Hester Prynne wore in a Hawthorne novel,7,LETTERA
36,2,5,2,11,Excessive praise,7,
38,8,5,8,11,Like some eyeliners,7,GLIDEON
40,13,5,13,11,Lineage,7,DESCENT
41,14,5,14,11,Major shops,7,EMPORIA
45,5,6,5,9,"Honking or screeching, for example",4,
46,9,6,9,8,Bygone owner of Virgin Records,3,EMI
50,3,7,3,9,"""Hello there, good ___""",3,SIR
53,15,7,15,11,One eager for radical change,5,
56,4,8,4,12,Kind of line that no one just stands in,5,CONGA
58,11,8,11,10,Party to the left of Dem.,3,SOC
60,16,8,16,12,Body parts with caps,5,KNEES
62,6,9,6,15,How caviar might be served,7,ONTOAST
63,7,9,7,15,"Will, given the opportunity",7,MEANSTO
65,12,9,12,15,Sephora purchase,7,MASCARA
66,18,9,18,15,"""Help me out here""",7,BEADOLL
67,19,9,19,15,Fast-evaporating cleaning agent,7,AMMONIA
68,20,9,20,15,"Sicilian Defense in chess, e.g.",7,OPENING
71,9,10,9,12,Adversary,3,FOE
76,10,11,10,17,Deli devices,7,SLICERS
78,17,11,17,13,Pickleball need,3,NET
79,3,12,3,18,Classic British sports cars,7,
81,11,12,11,14,Conclusion,3,END
83,1,13,1,20,What parallel lines never do,8,CONVERGE
84,2,13,2,20,Ones in the know,8,INSIDERS
86,8,13,8,20,Feature of rhubarb pie,8,TARTNESS
88,13,13,13,16,[Kapow!],4,BANG
89,14,13,14,20,"Not plugged in, in a way",8,ACOUSTIC
91,0,14,0,20,"Grabbed, as an opportunity",7,LEAPTON
92,4,14,4,17,Sommelier's prefix,4,OENO
95,16,14,16,18,Diploma modifier,5,SUMMA
99,9,15,9,20,"Mothers, in Mexico",6,MADRES
102,17,15,17,15,Slumber/party,1,
105,11,16,11,19,Trail/head,4,
107,15,16,15,19,Crib call,4,MAMA
109,6,17,6,20,Cotton capsule,4,BOLL
110,7,17,7,20,Sony co-founder Morita,4,AKIO
111,12,17,12,18,Promise/keeper,2,
113,18,17,18,20,Soul legend Redding,4,OTIS
114,19,17,19,20,Something to look through,4,LENS
115,20,17,20,20,Mild expletive,4,DRAT
117,5,18,5,18,Digital picture format,1,
119,13,18,13,20,___-cone,3,SNO
