Date,Word,Clue
9/23/2021,DOPE,Lowdown
9/23/2021,SERFS,Peons
9/22/2021,SEE,Observe
9/22/2021,AIMAT,Target
9/22/2021,NAPPED,Snoozed
9/21/2021,ARCH,Primary
9/21/2021,ROOM,Chamber
9/21/2021,BAN,Blackball
9/21/2021,LEDON,Enticed
9/20/2021,ACHE,Pain
9/20/2021,WHIT,Iota
9/20/2021,ONLY,Solitary
9/20/2021,SOFAS,Couches
9/20/2021,USED,Secondhand
9/20/2021,ONSET,Arrival
9/20/2021,HOT,Sweltering
9/19/2021,ECLIPSE,Surpass
9/19/2021,HONE,Sharpen
9/19/2021,RIOTS,Screams
9/19/2021,SHY,Owing
9/19/2021,PREP,Ready
9/19/2021,AMASSES,Stockpiles
9/19/2021,ROIL,Agitate
9/19/2021,LOOSE,Free
9/19/2021,DEFEAT,Best
9/19/2021,UPROSE,Revolted
9/19/2021,ELAN,Verve
9/19/2021,URGEON,Spur
9/19/2021,FOE,Opponent
9/18/2021,IMPASSE,Deadlock
9/18/2021,SNOOPER,Buttinsky
9/18/2021,CRAM,Squeeze
9/18/2021,WAY,Custom
9/18/2021,INRE,About
9/17/2021,INRETURN,Reciprocally
9/17/2021,SASS,Cheek
9/17/2021,TIRE,Tucker
9/16/2021,UNION,Matrimony
9/16/2021,EGESTS,Discharges
9/16/2021,JOG,Nudge
9/16/2021,OPEN,Forthright
9/16/2021,EVIL,Heinous
9/16/2021,BRAG,Crow
9/16/2021,FIASCO,Debacle
9/16/2021,DROOP,Sag
9/15/2021,ENTITY,Being
9/15/2021,CLIMB,Ascend
9/15/2021,SORE,Achy
9/15/2021,WORDED,Phrased
9/15/2021,BAR,Prohibit
9/15/2021,ANY,Whichever
9/15/2021,SPEWED,Expelled
9/15/2021,RISKED,Chanced
9/14/2021,PRO,For
9/14/2021,DEAD,Kaput
9/13/2021,SHORES,Coastlines
9/13/2021,AROUND,About
9/13/2021,ABATE,Subside
9/13/2021,ONUS,Burden
9/13/2021,SMART,Intelligent
9/13/2021,PAYBACK,Revenge
9/13/2021,DENIAL,Turndown
9/12/2021,NOTIN,Away
9/12/2021,ROT,Hogwash
9/12/2021,INPUT,Suggestions
9/12/2021,EDUCATE,School
9/12/2021,AHAMOMENT,Epiphany
9/12/2021,HOHUM,Boring
9/12/2021,BAG,Purse
9/12/2021,WIENER,Frank
9/12/2021,AGILE,Acrobatic
9/12/2021,NEARS,Approaches
9/11/2021,ACME,Top
9/11/2021,SEDATE,Composed
9/11/2021,GOINGON,Happening
9/11/2021,ELIXIRS,Panaceas
9/11/2021,HOGHEAVEN,Euphoria
9/11/2021,ECHELON,Order
9/10/2021,SKEW,Lean
9/10/2021,RUBE,Clodhopper
9/10/2021,WENT,Passed
9/10/2021,SLEWS,Heaps
9/10/2021,QUIBBLE,Cavil
9/9/2021,DOLT,Stumblebum
9/9/2021,END,Close
9/9/2021,COP,Steal
9/9/2021,STOOD,Endured
9/9/2021,SLANT,Bias
9/9/2021,REDONE,Overhauled
9/9/2021,SEEMED,Felt
9/8/2021,RIG,Semi
9/8/2021,IRES,Angers
9/8/2021,HANGS,Dangles
9/8/2021,UPBEAT,Buoyant
9/8/2021,ONSETS,Beginnings
9/8/2021,EMENDED,Corrected
9/8/2021,GRIT,Toughness
9/7/2021,CONS,Bamboozles
9/7/2021,ASTO,Regarding
9/6/2021,BAFFLE,Perplex
9/6/2021,AGILITY,Nimbleness
9/6/2021,PEP,Vitality
9/5/2021,ACTAS,Impersonate
9/5/2021,CLATTER,Commotion
9/5/2021,REIGN,Rule
9/5/2021,RECOILS,Shrinks
9/5/2021,SOWED,Scattered
9/5/2021,CAP,Limit
9/5/2021,ERRS,Slips
9/5/2021,URGE,Drive
9/5/2021,STARK,Bare
9/5/2021,NAGS,Rides
9/4/2021,GAMINS,Waifs
9/4/2021,PET,Favorite
9/4/2021,COPTO,Admit
9/4/2021,ASYLA,Havens
9/4/2021,ELAN,Effervescence
9/4/2021,INAMOMENT,Shortly
9/3/2021,IDS,Names
9/3/2021,PRUDENT,Commonsensical
9/2/2021,ODD,Curious
9/2/2021,SAMPLE,Taste
9/2/2021,ACE,Expert
9/2/2021,SPEWS,Spouts
9/2/2021,SOW,Scatter
9/2/2021,ABIDE,Bear
9/2/2021,RAT,Snitch
9/2/2021,PRO,Expert
9/1/2021,ESSENCE,Core
9/1/2021,NEEDS,Requirements
9/1/2021,INK,Sign
9/1/2021,POT,Weed
8/31/2021,TENDS,Leans
8/31/2021,INFO,Data
8/31/2021,SOD,Turf
8/31/2021,PLETHORA,Overabundance
8/31/2021,ABUT,Border
8/31/2021,VIPS,Bigwigs
8/30/2021,ATEAT,Plagued
8/30/2021,ROAM,Wander
8/30/2021,SNAIL,Escargot
8/30/2021,DOES,Performs
8/30/2021,PAL,Friend
8/30/2021,ALUM,Grad
8/30/2021,LED,Headed
8/29/2021,TAD,Sliver
8/29/2021,ALTER,Tailor
8/29/2021,OPAH,Moonfish
8/29/2021,ICKY,Gross
8/29/2021,DEED,Exploit
8/29/2021,ACUTE,Sharp
8/29/2021,SWATS,Clubs
8/29/2021,EPIDEMIC,Widespread
8/29/2021,GROW,Blossom
8/29/2021,OFT,Frequently
8/28/2021,ENTREATED,Implored
8/28/2021,AONE,Prime
8/28/2021,DADAS,Pops
8/28/2021,SADDLE,Burden
8/28/2021,ANGRY,Steaming
8/28/2021,HOT,Steaming
8/27/2021,ATON,Scores
8/27/2021,FIAT,Mandate
8/27/2021,HEED,Follow
8/27/2021,FEN,Swamp
8/26/2021,JAG,Spree
8/26/2021,TRAIN,Coach
8/26/2021,THROES,Pangs
8/26/2021,FACT,Datum
8/26/2021,APT,Apposite
8/26/2021,NETTY,Meshlike
8/26/2021,UNTIED,Loose
8/26/2021,OAF,Bungler
8/26/2021,STIGMA,Blot
8/26/2021,MOP,Swab
8/25/2021,MODIFY,Tweak
8/25/2021,LOUT,Boor
8/25/2021,SEEM,Appear
8/24/2021,AGLOW,Luminous
8/24/2021,ERENOW,Heretofore
8/24/2021,ODD,Peculiar
8/23/2021,USES,Manipulates
8/23/2021,CAD,Scoundrel
8/23/2021,ATWAR,Battling
8/23/2021,GNU,Wildebeest
8/23/2021,FREE,Gratis
8/22/2021,ENACT,Pass
8/22/2021,SWAY,Influence
8/22/2021,LADEN,Burdened
8/22/2021,MERELY,Just
8/22/2021,TEPID,Unenthusiastic
8/22/2021,ONEUP,Top
8/22/2021,DUE,Directly
8/22/2021,EXPEL,Boot
8/22/2021,NEAR,Almost
8/22/2021,CLIMB,Rise
8/21/2021,EPOCHAL,Momentous
8/21/2021,AKIN,Related
8/21/2021,DEN,Study
8/21/2021,SLYNESS,Trickery
8/21/2021,ERRATIC,Unpredictable
8/21/2021,MELONS,Noggins
8/21/2021,WORN,Tired
8/20/2021,TAMES,Controls
8/20/2021,CLOSEINON,Near
8/20/2021,SEETHINGS,Hallucinate
8/19/2021,TROD,Walked
8/19/2021,CEASE,End
8/19/2021,SOWN,Planted
8/19/2021,UNDEROATH,Sworn
8/19/2021,OMITS,Excludes
8/19/2021,ACTEDUP,Misbehaved
8/19/2021,LOATHSOME,Repulsive
8/19/2021,ASK,Pose
8/19/2021,RHYTHM,Beat
8/19/2021,ATONCE,Immediately
8/19/2021,GOT,Snookered
8/18/2021,APPEASE,Pacify
8/18/2021,ATON,Lots
8/18/2021,NEAT,Tidy
8/18/2021,TALE,Yarn
8/18/2021,POP,Dad
8/18/2021,AGILE,Nimble
8/18/2021,DELUDE,Hornswoggle
8/18/2021,MORPH,Transform
8/18/2021,NEGATE,Undo
8/18/2021,TATTLE,Tell
8/18/2021,PLUS,Also
8/18/2021,INONE,Combined
8/17/2021,IRE,Anger
8/17/2021,BAN,Forbid
8/17/2021,ELATE,Thrill
8/17/2021,NADA,Zippo
8/17/2021,RENOWN,Fame
8/17/2021,ASKS,Inquires
8/17/2021,SAPS,Drains
8/17/2021,SANE,Levelheaded
8/17/2021,UPON,Atop
8/16/2021,ENDED,Finished
8/16/2021,HAVE,Possess
8/16/2021,PATH,Trail
8/16/2021,MOOR,Heathland
8/16/2021,ATIT,Squabbling
8/15/2021,ADDLE,Confound
8/15/2021,LOUDMOUTH,Blabberer
8/15/2021,TWOFACED,Duplicitous
8/15/2021,EAR,Musicianship
8/15/2021,LEA,Pasture
8/15/2021,EVERSO,Quite
8/15/2021,ALA,Like
8/15/2021,TWIT,Ninny
8/15/2021,SNEEZE,Sternutation
8/15/2021,PET,Stroke
8/15/2021,FLOOD,Overwhelm
8/15/2021,IGNITE,Light
8/15/2021,BEDECK,Decorate
8/15/2021,REPEALED,Overturned
8/14/2021,FIRST,Opening
8/14/2021,DOTEON,Indulge
8/14/2021,SAYING,Saw
8/14/2021,NAILS,Catches
8/14/2021,BASETWO,Binary
8/13/2021,ADHERE,Stick
8/13/2021,SHUT,Close
8/13/2021,HIES,Speeds
8/13/2021,TINGE,Hint
8/13/2021,IRE,Choler
8/13/2021,SOWS,Plants
8/13/2021,BELIE,Refute
8/13/2021,DAMS,Blocks
8/13/2021,ROUE,Philanderer
8/12/2021,RACED,Sped
8/12/2021,BUD,Sprout
8/12/2021,VIM,Dynamism
8/12/2021,DAFT,Preposterous
8/12/2021,ORB,Globe
8/12/2021,ATAGLANCE,Superficially
8/12/2021,TAUNT,Needle
8/12/2021,LICIT,Lawful
8/11/2021,HOMBRE,Dude
8/11/2021,IRKED,Peeved
8/11/2021,MOB,Swarm
8/10/2021,LEFT,Exited
8/10/2021,ASS,Dummkopf
8/10/2021,WOWS,Amazes
8/10/2021,ILKS,Kinds
8/9/2021,UTTER,Say
8/9/2021,LEFTOFF,Omitted
8/9/2021,ONSET,Beginning
8/9/2021,DRESS,Gown
8/9/2021,HOT,Spicy
8/9/2021,COMBATANT,Warrior
8/8/2021,GOOFS,Flubs
8/8/2021,TUSHY,Keister
8/8/2021,SOTS,Barflies
8/8/2021,MISDO,Botch
8/8/2021,LEAPT,Bounded
8/8/2021,KIDS,Joshes
8/8/2021,TEARSINTO,Castigates
8/8/2021,EPIC,Legendary
8/8/2021,ATON,Loads
8/8/2021,LAIR,Retreat
8/8/2021,OKAYS,Approves
8/8/2021,VIEW,Perspective
8/8/2021,IRE,Wrath
8/8/2021,SPEND,Devote
8/8/2021,NANAS,Grannies
8/7/2021,NARROW,Specific
8/7/2021,LUXE,Sumptuous
8/6/2021,CRISP,Invigorating
8/6/2021,FELLA,Chap
8/6/2021,SIRES,Fathers
8/6/2021,EMACIATE,Starve
8/6/2021,FLAP,Kerfuffle
8/5/2021,ANIMAL,Savage
8/5/2021,APISH,Silly
8/5/2021,ODOR,Funk
8/4/2021,WILLS,Bequeaths
8/4/2021,MET,Crossed
8/4/2021,FOR,Supporting
8/4/2021,GOWILD,Rampage
8/4/2021,RUNLOW,Dwindle
8/3/2021,GRATIS,Complimentary
8/3/2021,HOT,Sizzling
8/3/2021,ONTAPE,Recorded
8/3/2021,INLOVE,Moonstruck
8/3/2021,ERECT,Build
8/3/2021,PUTIN,Deposit
8/2/2021,LIGHTNINGBUG,Firefly
8/2/2021,KVETCH,Gripe
8/2/2021,SOT,Drunkard
8/2/2021,OGLER,Gawker
8/2/2021,GRINS,Smiles
8/1/2021,DENIERS,Naysayers
8/1/2021,ONLY,Just
8/1/2021,PIT,Hole
8/1/2021,PACT,Truce
8/1/2021,CON,Hoodwink
8/1/2021,DATA,Figures
8/1/2021,ENDORSE,Sign
8/1/2021,MERIT,Warrant
8/1/2021,OUTRE,Eccentric
7/31/2021,AID,Relief
7/31/2021,JOHNS,Cans
7/31/2021,SATED,Stuffed
7/31/2021,ABSOLUTE,Utter
7/31/2021,CHAOS,Entropy
7/31/2021,ONUS,Charge
7/31/2021,NOES,Vetoes
7/31/2021,INRANGE,Accessible
7/30/2021,MOLAR,Grinder
7/30/2021,TAB,Check
7/30/2021,WRECK,Ruin
7/30/2021,INEPT,Maladroit
7/30/2021,AIMS,Designs
7/30/2021,ERGO,So
7/30/2021,PROFANE,Blasphemous
7/30/2021,UNDO,Void
7/29/2021,POST,Station
7/29/2021,RENTED,Let
7/29/2021,AIDES,Deputies
7/29/2021,RUBSRAW,Chafes
7/29/2021,HYPES,Plugs
7/29/2021,IDEA,Gist
7/29/2021,WOE,Grief
7/29/2021,OFUSE,Practicable
7/28/2021,EVERSO,Exceedingly
7/28/2021,SUPER,Terrific
7/28/2021,BOPS,Conks
7/28/2021,FREE,Unoccupied
7/28/2021,SOUSES,Boozehounds
7/28/2021,CRY,Weep
7/28/2021,URN,Samovar
7/27/2021,CAGY,Evasive
7/27/2021,UNDER,Below
7/27/2021,INFO,Lowdown
7/27/2021,LEAPT,Vaulted
7/27/2021,SACKS,Fires
7/26/2021,FANS,Enthusiasts
7/26/2021,ISH,Sorta
7/26/2021,HAG,Witch
7/26/2021,SANE,Rational
7/26/2021,ABYSS,Chasm
7/26/2021,FELINE,Catlike
7/26/2021,STY,Pigpen
7/26/2021,INURE,Accustom
7/26/2021,NOMADS,Wanderers
7/26/2021,ROPY,Fibrous
7/26/2021,BARE,Naked
7/26/2021,EACH,Apiece
7/25/2021,AND,Furthermore
7/25/2021,PERIL,Risk
7/25/2021,ODIUM,Repugnance
7/25/2021,INCOGNITO,Disguised
7/25/2021,WEE,Little
7/25/2021,ONEUPPED,Bested
7/25/2021,EYELET,Grommet
7/25/2021,TAX,Duty
7/25/2021,FLAYED,Excoriated
7/25/2021,GLEAN,Gather
7/25/2021,IDIOT,Buffoon
7/25/2021,ASS,Chump
7/25/2021,ERR,Fumble
7/25/2021,ADJUSTS,Tweaks
7/25/2021,EDIFY,Enlighten
7/24/2021,RIPE,Ready
7/23/2021,SHRED,Iota
7/23/2021,EYEOPENER,Revelation
7/23/2021,VAT,Tank
7/23/2021,STOUT,Solid
7/23/2021,DINT,Force
7/23/2021,DENSE,Junglelike
7/23/2021,CON,Swindle
7/23/2021,SASSY,Fresh
7/22/2021,WIDGET,Thingy
7/22/2021,SCABS,Strikebreakers
7/22/2021,ZEST,Gusto
7/22/2021,DEADEN,Quiet
7/22/2021,TEPID,Lukewarm
7/22/2021,ACCEPTS,Admits
7/22/2021,JEER,Taunt
7/21/2021,ORATE,Speechify
7/21/2021,ZEALS,Passions
7/20/2021,WETS,Dampens
7/20/2021,SIMP,Nincompoop
7/20/2021,CHAP,Fellow
7/20/2021,THUS,So
7/20/2021,TIBIA,Shinbone
7/20/2021,NONE,Zero
7/20/2021,KEEP,Retain
7/19/2021,EASE,Relaxation
7/19/2021,APEXES,Pinnacles
7/19/2021,CAR,Auto
7/19/2021,ELAN,Pizazz
7/19/2021,UNITY,Oneness
7/19/2021,ALLOT,Apportion
7/18/2021,VILE,Foul
7/18/2021,OVERPOWER,Crush
7/18/2021,LED,Commanded
7/18/2021,EARN,Merit
7/18/2021,UNDO,Reverse
7/18/2021,ALOAD,Tons
7/18/2021,POROUS,Spongelike
7/18/2021,STEER,Direct
7/18/2021,GOGET,Fetch
7/18/2021,RIG,Outfit
7/18/2021,NORM,Benchmark
7/18/2021,BUB,Mac
7/18/2021,ARID,Saharan
7/18/2021,VITAL,Critical
7/18/2021,DETACH,Separate
7/18/2021,OFUSE,Handy
7/18/2021,JUT,Protrude
7/17/2021,OILUP,Grease
7/17/2021,SNARL,Snafu
7/17/2021,ORIENT,Position
7/17/2021,WIPING,Clearing
7/16/2021,PRIMP,Groom
7/16/2021,PULLS,Draws
7/16/2021,MAVEN,Whiz
7/16/2021,BLESS,Sanctify
7/16/2021,STROLLS,Perambulates
7/16/2021,BUILT,Muscly
7/16/2021,TRAMP,March
7/15/2021,HAM,Melodramatist
7/15/2021,PAL,Compadre
7/15/2021,MOOR,Dock
7/15/2021,TIDYUP,Neaten
7/15/2021,OWN,Have
7/14/2021,HEX,Curse
7/14/2021,STINKER,Rascal
7/14/2021,VALID,Sound
7/14/2021,BIAS,Predisposition
7/14/2021,EDGES,Cusps
7/14/2021,EARTHY,Coarse
7/14/2021,EMCEE,Host
7/13/2021,POSEAS,Impersonate
7/13/2021,ADROIT,Proficient
7/13/2021,EWERS,Pitchers
7/13/2021,NUTSO,Cockamamie
7/13/2021,FACILE,Effortless
7/13/2021,WEE,Tiny
7/12/2021,TAINT,Sully
7/12/2021,PENS,Writes
7/12/2021,GAWK,Gape
7/12/2021,DUPE,Trick
7/12/2021,JOIN,Enlist
7/12/2021,DIAL,Telephone
7/11/2021,LOAF,Loll
7/11/2021,REPEALS,Abrogates
7/11/2021,BARES,Reveals
7/11/2021,IMITATE,Parrot
7/11/2021,EUPHORIA,Bliss
7/11/2021,BURS,Stickers
7/11/2021,BELIE,Contradict
7/11/2021,STEEP,Precipitous
7/11/2021,BLOT,Smudge
7/11/2021,TART,Biting
7/11/2021,REP,Cred
7/11/2021,GRIT,Determination
7/10/2021,ROUTE,Course
7/10/2021,ENMESH,Snarl
7/10/2021,STIR,Brouhaha
7/10/2021,RAGGED,Unkempt
7/10/2021,ROD,Staff
7/10/2021,YENS,Urges
7/10/2021,TRY,Tax
7/9/2021,ROOTS,Heritage
7/9/2021,POISE,Equanimity
7/9/2021,PERT,Sassy
7/9/2021,SNAILSPACE,Crawl
7/9/2021,EONS,Millennia
7/9/2021,ANEW,Over
7/9/2021,HEELED,Followed
7/8/2021,BOOBOO,Slip
7/8/2021,ALAMODE,Fashionable
7/8/2021,STATUS,Standing
7/8/2021,ERRED,Slipped
7/8/2021,WOW,Dazzle
7/8/2021,INAPANIC,Frenzied
7/8/2021,ENLACE,Intertwine
7/8/2021,BOON,Windfall
7/8/2021,WAG,Wit
7/7/2021,BEAU,Sweetheart
7/7/2021,APOP,Each
7/7/2021,USELESS,Ineffectual
7/7/2021,PALOOKA,Oaf
7/7/2021,GETAT,Imply
7/7/2021,SEE,Understand
7/6/2021,MOPE,Brood
7/6/2021,GIVESIN,Caves
7/6/2021,HAGS,Witches
7/6/2021,MEAN,Signify
7/5/2021,CABARET,Nightclub
7/5/2021,OBEY,Heed
7/5/2021,DRAPE,Curtain
7/5/2021,ABILITIES,Skills
7/5/2021,STYLE,Fashion
7/4/2021,OMEN,Auspice
7/4/2021,PAT,Glib
7/4/2021,ZANY,Clownish
7/4/2021,UNCARING,Apathetic
7/4/2021,MIRED,Stuck
7/4/2021,DETERS,Blocks
7/4/2021,ELAN,Gusto
7/4/2021,DEFY,Oppose
7/4/2021,LOLL,Laze
7/4/2021,OBEY,Follow
7/3/2021,SOGS,Soaks
7/3/2021,OMITS,Drops
7/3/2021,HOPEFOR,Desire
7/2/2021,MEAN,Average
7/2/2021,FUEL,Stoke
7/2/2021,ASSET,Plus
7/2/2021,PIGS,Gluttons
7/2/2021,IRATE,Boiling
7/2/2021,AONE,Tops
7/1/2021,HARM,Perniciousness
7/1/2021,WONT,Habit
7/1/2021,GOB,Hunk
7/1/2021,TEAM,Squad
