,Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab
13,3/25/2021,ATOP,Standing above,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.0,0.07142857142857142,False,False,True
14,2/2/2021,INSP,Clouseau's rank: Abbr.,Other,,False,3,22,5,False,False,False,False,1,False,6.666666666666667,0,0.6666666666666666,0.22727272727272727,False,False,False
15,5/24/2018,ARM,Inlet,Single Word,,False,1,5,0,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,True
16,10/30/2021,SALEM,City name on both the East and West Coast,Other,,False,9,41,8,False,False,False,False,0,False,3.6666666666666665,0,0.4444444444444444,0.1951219512195122,False,False,False
17,10/9/2021,FAIRSHAKE,Equal opportunity,Other,,False,2,17,1,False,False,False,False,0,False,8.0,0,0.0,0.058823529411764705,False,False,False
18,6/10/2019,ECLAT,Flashy effect,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,0.0,0.07692307692307693,False,False,True
19,3/14/2019,AXE,Can,Single Word,,False,1,3,0,False,False,False,False,0,False,3.0,0,0.0,0.0,False,False,True
20,5/16/2019,SKY,N.C.A.A.'s Big ___ Conference,Other,,False,4,29,11,False,True,False,False,4,False,6.5,0,0.75,0.3793103448275862,False,False,True
21,9/29/2021,KEY,Type (in),Other,,False,2,9,3,False,False,False,False,0,False,4.0,0,0.0,0.3333333333333333,False,False,True
22,9/28/2018,SADA,"Actress Thompson of ""Family""",Other,,False,4,28,5,False,False,False,False,0,False,6.25,0,0.75,0.17857142857142858,False,False,False
23,2/16/2021,CIRCLE,Orbit,Single Word,,False,1,5,0,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,True
24,4/19/2020,ELDERWAND,Weapon sought by Voldemort,Other,,False,4,26,3,False,False,False,False,0,False,5.75,0,0.5,0.11538461538461539,False,False,False
25,4/18/2021,ATALL,Whatsoever,Single Word,,False,1,10,0,False,False,False,False,0,False,10.0,0,0.0,0.0,False,False,False
26,5/25/2018,DECO,Erte's art,Other,,False,2,10,2,False,False,False,False,0,False,4.5,0,0.5,0.2,False,False,False
27,2/18/2018,PERE,France's ___ Noel,Other,,False,3,17,6,False,True,False,False,0,False,5.0,0,0.6666666666666666,0.35294117647058826,False,False,False
28,3/24/2018,NOTME,Terse denial,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,0.0,0.08333333333333333,False,False,False
29,10/7/2020,RETORTS,"""Says who?"" and others",Other,,False,4,22,6,False,False,False,False,0,False,4.75,0,0.0,0.2727272727272727,False,False,True
30,10/17/2018,JOINS,Welds,Single Word,,False,1,5,0,False,False,False,False,0,False,5.0,0,0.0,0.0,False,False,True
31,7/22/2018,OUTIE,Protruding part of the body,Other,,False,5,27,4,False,False,False,False,0,False,4.6,0,0.0,0.14814814814814814,False,False,False
32,3/23/2021,ONUS,Albatross,Single Word,,False,1,9,0,False,False,False,False,0,False,9.0,0,0.0,0.0,False,False,True
33,6/23/2020,TARS,Blackens,Single Word,,False,1,8,0,False,False,False,False,0,False,8.0,0,0.0,0.0,False,False,True
34,4/8/2021,YAS,"""___ queen!"" (slangy affirmative)",Other,,False,4,33,11,False,True,False,False,0,False,7.5,0,0.0,0.3333333333333333,False,False,True
35,10/15/2020,STYX,Where Achilles took a dip?,Other,,True,5,26,5,False,False,False,False,0,False,4.4,0,0.2,0.19230769230769232,False,False,True
36,3/5/2019,NOOB,"Inexperienced gamer, in slang",Other,,False,4,29,4,False,False,False,False,0,False,6.5,1,0.25,0.13793103448275862,False,False,False
37,6/3/2021,YTD,Pay stub inits.,Other,,False,3,15,3,False,False,False,False,1,False,4.333333333333333,0,0.3333333333333333,0.2,False,False,False
38,1/19/2018,ONETOTEN,Common rating scale,Other,,False,3,19,2,False,False,False,False,0,False,5.666666666666667,0,0.0,0.10526315789473684,False,False,False
39,4/1/2021,TAHOE,S.U.V. with a geographic name,Other,,False,5,29,7,False,False,False,False,3,False,5.0,0,0.2,0.2413793103448276,False,False,False
40,2/11/2021,GAYLY,In a jubilant fashion,Other,,False,4,21,3,False,False,False,False,0,False,4.5,0,0.0,0.14285714285714285,False,False,False
41,5/11/2018,WHICH,"""This one or that one?""",Other,,False,5,23,7,True,False,False,False,0,False,3.8,0,0.0,0.30434782608695654,False,False,True
42,5/5/2020,ALOE,Soothing ointment,Other,,False,2,17,1,False,False,False,False,0,False,8.0,0,0.0,0.058823529411764705,False,False,True
43,8/31/2020,RRS,"Monopoly properties you can't put houses on, in brief",Other,,False,9,53,10,False,False,False,False,0,False,5.0,1,0.1111111111111111,0.18867924528301888,False,False,False
44,11/28/2020,APP,Something you might describe as touch-and-go?,Other,,True,6,45,8,False,False,False,False,0,False,6.666666666666667,0,0.0,0.17777777777777778,False,False,False
45,10/15/2018,STAGE,Transportation in the Old West,Other,,False,5,30,4,False,False,False,False,0,False,5.2,0,0.4,0.13333333333333333,False,False,True
46,11/24/2019,AMATIS,Rare and valuable instruments,Other,,False,4,29,3,False,False,False,False,0,False,6.5,0,0.25,0.10344827586206896,False,False,True
47,12/9/2018,ALE,Brown ___,Other,,False,2,9,4,False,True,False,False,0,False,4.0,0,0.5,0.4444444444444444,False,False,True
48,8/30/2021,LOCKSMITH,Rescuer for when you've lost your key,Other,,False,7,37,7,False,False,False,False,0,False,4.428571428571429,0,0.14285714285714285,0.1891891891891892,False,False,True
49,7/17/2018,FLYING,"With 40-Across, what a straight-A student passes with ... or a hint to 17-, 27-, 46- and 62-Across",Other,,False,18,98,39,False,False,False,False,0,True,4.5,3,0.0,0.29591836734693877,False,False,True
50,7/6/2020,URN,Large coffee vessel,Other,,False,3,19,2,False,False,False,False,0,False,5.666666666666667,0,0.0,0.10526315789473684,False,False,True
51,5/23/2021,OEDS,Massive ref. books,Other,,False,3,18,3,False,False,False,False,1,False,5.333333333333333,0,0.0,0.16666666666666666,False,False,False
52,7/7/2020,IDTAG,Aid for returning a lost pet,Other,,False,6,28,5,False,False,False,False,0,False,3.8333333333333335,0,0.0,0.17857142857142858,False,False,False
53,2/21/2019,WWI,"""A Farewell to Arms"" subj.",Other,,False,5,26,7,False,False,False,False,1,False,4.4,0,0.4,0.2692307692307692,False,False,False
54,10/16/2019,NODTO,Acknowledge silently,Other,,False,2,20,1,False,False,False,False,0,False,9.5,0,0.5,0.05,False,False,False
55,5/12/2020,RIFLE,Rummage (through),Other,,False,2,17,3,False,False,False,False,0,False,8.0,0,0.0,0.17647058823529413,False,False,True
56,3/9/2018,NOSLOUCH,Someone who's pretty darn good,Other,,False,5,30,5,False,False,False,False,0,False,5.2,0,0.0,0.16666666666666666,False,False,False
57,1/6/2019,CONCOCT,Dream up,Other,,False,2,8,1,False,False,False,False,0,False,3.5,0,0.5,0.125,False,False,True
58,12/31/2017,EDESSA,Historic Mesopotamian city,Other,,False,3,26,2,False,False,False,False,0,False,8.0,0,0.3333333333333333,0.07692307692307693,False,False,False
59,10/24/2021,CODE,Do a certain developer's job,Other,,False,5,28,5,False,False,False,False,0,False,4.8,0,0.0,0.17857142857142858,False,False,True
60,7/26/2018,HASH,"With 71-Across, symbol used four times in this puzzle with four different meanings",Other,,False,13,82,16,False,False,False,False,0,False,5.384615384615385,1,0.0,0.17073170731707318,False,False,True
61,6/30/2019,NICOLE,"Wife in F. Scott Fitzgerald's ""Tender Is the Night""",Other,,False,9,51,12,False,False,False,False,1,False,4.777777777777778,0,0.7777777777777778,0.23529411764705882,False,False,False
62,8/25/2020,REID,Actress Tara,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,1.0,0.08333333333333333,False,False,True
63,8/31/2018,LISA,Toon named after one of Matt Groening's sisters,Other,,False,8,47,8,False,False,False,False,0,False,5.0,0,0.25,0.1702127659574468,False,False,True
64,6/29/2020,MERIT,Kind of badge for a scout,Other,,False,6,25,5,False,False,False,False,0,False,3.3333333333333335,0,0.16666666666666666,0.2,False,False,True
65,10/26/2018,RAYE,Funny Martha,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,1.0,0.08333333333333333,False,False,False
66,7/26/2019,NARCOLEPSY,Reason for going out a lot?,Other,,True,6,27,6,False,False,False,False,0,False,3.6666666666666665,0,0.16666666666666666,0.2222222222222222,False,False,True
67,2/14/2020,CINEMAX,Premium channel since 1980,Other,,False,4,26,7,False,False,False,False,0,False,5.75,0,0.25,0.11538461538461539,False,False,False
68,10/20/2020,SET,Collectible group,Other,,False,2,17,1,False,False,False,False,0,False,8.0,0,0.0,0.058823529411764705,False,False,True
69,7/28/2018,WEBB,Onetime Virginia senator Jim,Other,,False,4,28,3,False,False,False,False,0,False,6.25,0,0.75,0.10714285714285714,False,False,False
70,10/24/2021,ORALB,"The ""B"" in its name stands for ""brush""",Other,,False,8,38,11,False,False,False,False,0,False,3.875,0,0.125,0.2894736842105263,False,False,False
71,9/12/2020,INCISOR,"Bucktooth, e.g.",Other,,False,2,15,4,False,False,False,False,2,False,7.0,1,0.5,0.26666666666666666,True,False,True
72,5/25/2019,CABLE,Bygone communication,Other,,False,2,20,1,False,False,False,False,0,False,9.5,0,0.0,0.05,False,False,True
73,4/22/2021,SCI,"Any ""ology"": Abbr.",Other,,False,3,18,6,False,False,False,False,1,False,5.333333333333333,0,0.3333333333333333,0.3333333333333333,False,False,False
74,3/8/2021,LAYITONME,"""I'm listening""",Other,,False,2,15,4,True,False,False,False,0,False,7.0,0,0.0,0.26666666666666666,False,False,False
75,8/6/2020,SHUNTS,Pushes to the side,Other,,False,4,18,3,False,False,False,False,0,False,3.75,0,0.0,0.16666666666666666,False,False,True
76,12/18/2019,TRUE,"""___ story""",Other,,False,2,11,6,True,True,False,False,0,False,5.0,0,0.0,0.5454545454545454,False,False,True
77,4/21/2019,MEAD,Drink at Valhalla,Other,,False,3,17,2,False,False,False,False,0,False,5.0,0,0.6666666666666666,0.11764705882352941,False,False,True
78,12/15/2017,RISE,Tailor's concern,Other,,False,2,16,2,False,False,False,False,0,False,7.5,0,0.0,0.125,False,False,True
79,7/25/2020,SARI,Certain Indian wedding garb,Other,,False,4,27,3,False,False,False,False,0,False,6.0,0,0.5,0.1111111111111111,False,False,True
80,7/31/2020,RHOS,Density symbols,Other,,False,2,15,1,False,False,False,False,0,False,7.0,0,0.0,0.06666666666666667,False,False,True
81,6/4/2019,EIEIO,"Mi-mi-re-re-do, in a children's song",Other,,False,5,36,10,False,False,False,False,0,False,6.4,1,0.2,0.2777777777777778,False,False,False
82,9/5/2021,GTI,Volkswagen model inits.,Other,,False,3,23,3,False,False,False,False,1,False,7.0,0,0.0,0.13043478260869565,False,False,False
83,3/15/2019,MIN,"Two drinks at a comedy club, e.g.: Abbr.",Other,,False,8,40,12,False,False,False,False,3,False,4.125,1,0.125,0.3,True,False,True
84,6/29/2018,IGOR,Horror movie assistant,Other,,False,3,22,2,False,False,False,False,0,False,6.666666666666667,0,0.3333333333333333,0.09090909090909091,False,False,False
85,12/10/2017,HTS,Elevs.,Other,,False,1,6,1,False,False,False,False,1,False,6.0,0,1.0,0.16666666666666666,False,False,False
86,10/22/2019,SIN,Bit of immorality,Other,,False,3,17,2,False,False,False,False,0,False,5.0,0,0.3333333333333333,0.11764705882352941,False,False,True
87,6/18/2018,IKE,"""I Like ___"" (1950s campaign button)",Other,,False,6,36,16,False,True,False,False,0,False,5.166666666666667,0,0.16666666666666666,0.3333333333333333,False,False,True
88,5/12/2019,AVERS,States as fact,Other,,False,3,14,2,False,False,False,False,0,False,4.0,0,0.0,0.14285714285714285,False,False,True
89,9/15/2020,IDOLS,People with stars on the Hollywood Walk of Fame,Other,,False,9,47,8,False,False,False,False,0,False,4.333333333333333,0,0.3333333333333333,0.1702127659574468,False,False,True
90,12/29/2019,CLEARY,Children's author Beverly,Other,,False,3,25,3,False,False,False,False,0,False,7.666666666666667,0,0.6666666666666666,0.12,False,False,False
91,9/4/2019,RABBLE,Disorderly crowd,Other,,False,2,16,1,False,False,False,False,0,False,7.5,0,0.0,0.0625,False,False,True
92,4/7/2021,ELLA,"___ Emhoff, stepdaughter of Kamala Harris",Other,,False,6,41,9,False,True,False,False,0,False,6.0,1,0.5,0.21951219512195122,False,False,True
93,2/9/2021,ATE,Ingested,Single Word,,False,1,8,0,False,False,False,False,0,False,8.0,0,0.0,0.0,False,False,True
94,4/5/2018,SERT,Muralist Jose Maria ___,Other,,False,4,23,6,False,True,False,False,0,False,5.0,0,0.75,0.2608695652173913,False,False,True
95,4/5/2018,LAO,Dweller on the Mekong,Other,,False,4,21,3,False,False,False,False,0,False,4.5,0,0.25,0.14285714285714285,False,False,True
96,9/12/2018,FOG,Notable feature of San Francisco,Other,,False,5,32,4,False,False,False,False,0,False,5.6,0,0.4,0.125,False,False,True
97,10/2/2019,PRETEND,Act as if,Other,,False,3,9,2,False,False,False,False,0,False,2.3333333333333335,0,0.3333333333333333,0.2222222222222222,False,False,True
98,9/27/2020,DRUMROLL,Dramatic intro,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.0,0.07142857142857142,False,False,False
99,2/11/2019,LIL,Rapper ___ Wayne,Other,,False,3,16,5,False,True,False,False,0,False,4.666666666666667,0,0.6666666666666666,0.3125,False,False,False
100,11/12/2019,TURBAN,Sikh headwear,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,0.0,0.07692307692307693,False,False,True
101,5/30/2018,LETTERS,Rack #4: EELRSTT,Other,,False,3,16,5,False,False,False,False,0,False,4.666666666666667,0,0.6666666666666666,0.25,False,False,True
102,8/28/2018,VIE,Compete,Single Word,,False,1,7,0,False,False,False,False,0,False,7.0,0,0.0,0.0,False,False,True
103,5/9/2019,YESNO,Like some questions,Other,,False,3,19,2,False,False,False,False,0,False,5.666666666666667,0,0.0,0.10526315789473684,False,False,False
104,8/1/2019,LIE,Concoction,Single Word,,False,1,10,0,False,False,False,False,0,False,10.0,0,0.0,0.0,False,False,True
105,2/28/2020,HEADHUNTER,Recruiter,Single Word,,False,1,9,0,False,False,False,False,0,False,9.0,0,0.0,0.0,False,False,False
106,5/14/2020,TOY,Flirt (with),Other,,False,2,12,3,False,False,False,False,0,False,5.5,0,0.5,0.25,False,False,True
107,5/1/2021,STEMS,Inhibits,Single Word,,False,1,8,0,False,False,False,False,0,False,8.0,0,0.0,0.0,False,False,True
108,3/7/2018,LEO,Emmy- and Oscar-winning Melissa,Other,,False,4,31,5,False,False,False,False,0,False,7.0,0,0.5,0.16129032258064516,False,False,True
109,5/6/2018,MOI,"""You couldn't possibly mean me!?""",Other,,False,5,33,9,True,False,False,False,0,False,5.8,0,0.0,0.2727272727272727,False,False,True
110,9/16/2018,OMG,"Clickable tag on BuzzFeed beside ""LOL"" and ""WTF""",Other,,False,8,48,11,False,False,False,False,0,False,5.125,0,0.375,0.22916666666666666,False,False,False
111,2/4/2018,ALP,"Zugspitze, e.g.",Other,,False,2,15,4,False,False,False,False,2,False,7.0,1,0.5,0.26666666666666666,True,False,True
112,5/13/2018,APIN,Neat as ___,Other,,False,3,11,5,False,True,False,False,0,False,3.0,0,0.3333333333333333,0.45454545454545453,False,False,False
113,10/4/2019,ISLA,Spanish key,Other,,False,2,11,1,False,False,False,False,0,False,5.0,0,0.0,0.09090909090909091,False,False,False
114,1/6/2019,EVE,Woman famously evicted from her home,Other,,False,6,36,5,False,False,False,False,0,False,5.166666666666667,0,0.16666666666666666,0.1388888888888889,False,False,True
115,4/25/2019,RHETT,Butler of renown,Other,,False,3,16,2,False,False,False,False,0,False,4.666666666666667,0,0.3333333333333333,0.125,False,False,False
116,5/6/2019,NEONATE,Someone who was literally born yesterday,Other,,False,6,40,5,False,False,False,False,0,False,5.833333333333333,0,0.0,0.125,False,False,True
117,10/21/2020,WORMY,Like a bad apple,Other,,False,4,16,3,False,False,False,False,0,False,3.25,0,0.0,0.1875,False,False,True
118,4/11/2020,PASSEDOUT,Unconscious,Single Word,,False,1,11,0,False,False,False,False,0,False,11.0,0,0.0,0.0,False,False,False
119,6/26/2018,ETHANE,Gas in fuel,Other,,False,3,11,2,False,False,False,False,0,False,3.0,0,0.3333333333333333,0.18181818181818182,False,False,True
120,8/25/2018,PRELIM,Heat,Single Word,,False,1,4,0,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,True
121,5/28/2020,ORTHODOX,Keenly observant,Other,,False,2,16,1,False,False,False,False,0,False,7.5,0,0.0,0.0625,False,False,True
122,4/9/2018,REMOVE,Take away,Other,,False,2,9,1,False,False,False,False,0,False,4.0,0,0.0,0.1111111111111111,False,False,True
123,6/16/2019,RETIREE,Many a local volunteer,Other,,False,4,22,3,False,False,False,False,0,False,4.75,0,0.0,0.13636363636363635,False,False,False
124,7/30/2018,BBC,"Original ""Monty Python"" network",Other,,False,4,31,5,False,False,False,False,0,False,7.0,0,0.5,0.16129032258064516,False,False,False
125,5/10/2020,TRIPE,Poppycock,Single Word,,False,1,9,0,False,False,False,False,0,False,9.0,0,0.0,0.0,False,False,True
126,10/26/2018,ROOMIE,"College assignment, informally?",Other,,True,3,31,4,False,False,False,False,0,False,9.666666666666666,1,0.3333333333333333,0.12903225806451613,False,False,True
127,9/2/2020,ACTIVE,Not retired,Other,,False,2,11,1,False,False,False,False,0,False,5.0,0,0.0,0.09090909090909091,False,False,True
128,4/17/2021,PACK,Risky thing to do close to flight time,Other,,False,8,38,7,False,False,False,False,0,False,3.875,0,0.0,0.18421052631578946,False,False,True
129,5/17/2020,NATURES,Fundamental dispositions,Other,,False,2,24,1,False,False,False,False,0,False,11.5,0,0.0,0.041666666666666664,False,False,True
130,1/7/2020,PER,One ___ customer,Other,,False,3,16,5,False,True,False,False,0,False,4.666666666666667,0,0.0,0.3125,False,False,True
131,8/10/2018,EMPORIUM,Superstore,Single Word,,False,1,10,0,False,False,False,False,0,False,10.0,0,0.0,0.0,False,False,True
132,4/17/2020,EWE,Palindromic animal,Other,,False,2,18,1,False,False,False,False,0,False,8.5,0,0.5,0.05555555555555555,False,False,True
133,5/13/2020,REAM,"Criticize harshly, with ""out""",Other,,False,4,29,6,False,False,False,False,0,False,6.5,1,0.25,0.20689655172413793,False,False,True
134,6/6/2018,HAWS,Hems' partners,Other,,False,2,14,2,False,False,False,False,0,False,6.5,0,0.5,0.14285714285714285,False,False,True
135,11/15/2020,ESTD,Abbr. on a cornerstone,Other,,False,4,22,4,False,False,False,False,1,False,4.75,0,0.25,0.18181818181818182,False,False,False
136,4/8/2019,ZAPS,"Stuns, as with a phaser",Other,,False,5,23,5,False,False,False,False,0,False,3.8,1,0.2,0.21739130434782608,False,False,False
137,12/31/2017,IONE,"""The Last Days of Pompeii"" heroine",Other,,False,6,34,7,False,False,False,False,0,False,4.833333333333333,0,0.5,0.20588235294117646,False,False,True
138,2/8/2018,CLAW,Nail,Single Word,,False,1,4,0,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,True
139,8/27/2021,SOOTHES,Applies a salve to,Other,,False,4,18,3,False,False,False,False,0,False,3.75,0,0.0,0.16666666666666666,False,False,True
140,8/24/2021,MCAT,Future doc's exam,Other,,False,3,17,3,False,False,False,False,0,False,5.0,0,0.3333333333333333,0.17647058823529413,False,False,False
141,4/6/2021,NIPAT,"Gently sting, as with cold",Other,,False,5,26,5,False,False,False,False,0,False,4.4,1,0.0,0.19230769230769232,False,False,False
142,2/19/2020,EARPS,Wyatt and Warren of the Old West,Other,,False,7,32,6,False,False,False,False,0,False,3.7142857142857144,0,0.5714285714285714,0.1875,False,False,False
143,5/14/2021,HAGGIS,Savory Scottish delicacy,Other,,False,3,24,2,False,False,False,False,0,False,7.333333333333333,0,0.3333333333333333,0.08333333333333333,False,False,True
144,7/27/2020,KART,Go-___ (kid's racer),Other,,False,3,20,9,False,True,False,False,0,False,6.0,0,0.3333333333333333,0.45,False,False,False
145,3/14/2018,KNOT,Garden hose annoyance,Other,,False,3,21,2,False,False,False,False,0,False,6.333333333333333,0,0.3333333333333333,0.09523809523809523,False,False,True
146,8/23/2021,ICANT,Words from one who's defeated,Other,,False,5,29,5,False,False,False,False,0,False,5.0,0,0.0,0.1724137931034483,False,False,False
147,11/5/2019,TEASE,Needle,Single Word,,False,1,6,0,False,False,False,False,0,False,6.0,0,0.0,0.0,False,False,True
148,6/15/2019,LAO,Mostly monosyllabic language,Other,,False,3,28,2,False,False,False,False,0,False,8.666666666666666,0,0.0,0.07142857142857142,False,False,True
149,7/18/2021,STEER,Direct,Single Word,,False,1,6,0,False,False,False,False,0,False,6.0,0,0.0,0.0,False,False,True
150,8/19/2018,VAT,Brewery sight,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,0.5,0.07692307692307693,False,False,True
151,4/29/2018,YAMAHA,Harley-Davidson competitor,Other,,False,2,26,2,False,False,False,False,0,False,12.5,0,0.5,0.07692307692307693,False,False,False
152,4/13/2020,MENU,Restaurant handout,Other,,False,2,18,1,False,False,False,False,0,False,8.5,0,0.0,0.05555555555555555,False,False,True
153,10/20/2021,CHIAPET,"Novelty brand with the slogan ""Watch it grow!""",Other,,False,8,46,10,False,False,False,False,0,False,4.875,0,0.25,0.21739130434782608,False,False,False
154,12/25/2017,CHENEY,Vice president between Gore and Biden,Other,,False,6,37,5,False,False,False,False,0,False,5.333333333333333,0,0.5,0.13513513513513514,False,False,True
155,8/18/2018,DUDS,Garb,Single Word,,False,1,4,0,False,False,False,False,0,False,4.0,0,0.0,0.0,False,False,True
156,5/1/2021,PREYSON,"Pursues for food, say",Other,,False,4,21,4,False,False,False,False,0,False,4.5,1,0.0,0.19047619047619047,False,False,False
157,10/4/2018,AWE,Flabbergasted feeling,Other,,False,2,21,1,False,False,False,False,0,False,10.0,0,0.0,0.047619047619047616,False,False,True
158,9/8/2020,ARIA,"Igor Stravinsky's ""Fair lady, gracious gentlemen,"" e.g.",Other,,False,7,55,13,False,False,False,False,2,False,7.0,2,0.42857142857142855,0.23636363636363636,True,False,True
159,5/2/2021,ARR,Abbr. on a flight board,Other,,False,5,23,5,False,False,False,False,1,False,3.8,0,0.2,0.21739130434782608,False,False,False
160,4/24/2020,BOSS,Head honcho,Other,,False,2,11,1,False,False,False,False,0,False,5.0,0,0.5,0.09090909090909091,False,False,True
161,4/18/2019,ICEIN,"Strand during a ski trip, say",Other,,False,6,29,6,False,False,False,False,0,False,4.0,1,0.16666666666666666,0.20689655172413793,False,False,False
162,10/28/2018,DELLA,Singer Reese,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,1.0,0.08333333333333333,False,False,True
163,12/11/2020,PEREZ,"Actress Rosie of ""Do the Right Thing""",Other,,False,7,37,8,False,False,False,False,0,False,4.428571428571429,0,0.7142857142857143,0.21621621621621623,False,False,False
164,12/24/2020,EGO,Part of one's mental life,Other,,False,5,25,5,False,False,False,False,0,False,4.2,0,0.0,0.2,False,False,True
165,1/7/2018,SUMER,"So-called ""cradle of civilization""",Other,,False,4,34,6,False,False,False,False,0,False,7.75,0,0.0,0.17647058823529413,False,False,False
166,12/29/2020,ATSEA,Totally lost,Other,,False,2,12,1,False,False,False,False,0,False,5.5,0,0.0,0.08333333333333333,False,False,False
167,9/19/2021,AROMA,What might whet an appetite,Other,,False,5,27,4,False,False,False,False,0,False,4.6,0,0.0,0.14814814814814814,False,False,True
168,4/10/2020,MIATAS,Sporty Mazdas,Other,,False,2,13,1,False,False,False,False,0,False,6.0,0,1.0,0.07692307692307693,False,False,False
169,12/29/2019,SHERRI,"___ Shepherd, former co-host of ""The View""",Other,,False,7,42,13,False,True,False,False,0,False,5.142857142857143,1,0.42857142857142855,0.30952380952380953,False,False,True
170,1/5/2021,SLAVE,"""12 Years a ___""",Other,,False,4,16,10,True,True,False,False,0,False,3.25,0,0.25,0.5,False,False,True
171,1/22/2021,LSD,Cause of a trip,Other,,False,4,15,3,False,False,False,False,0,False,3.0,0,0.0,0.2,False,False,False
172,7/1/2018,ZEN,Kind of state,Other,,False,3,13,2,False,False,False,False,0,False,3.6666666666666665,0,0.3333333333333333,0.15384615384615385,False,False,True
173,6/2/2018,QUEEQUEG,Friend of Ishmael,Other,,False,3,17,2,False,False,False,False,0,False,5.0,0,0.3333333333333333,0.11764705882352941,False,False,False
174,9/27/2020,GOLIMP,Lose stiffness,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.5,0.07142857142857142,False,False,False
175,3/27/2018,STERNUMS,Breastbones,Single Word,,False,1,11,0,False,False,False,False,0,False,11.0,0,0.0,0.0,False,False,True
176,3/24/2019,DDT,Pesticide banned in 1972,Other,,False,4,24,7,False,False,False,False,0,False,5.25,0,0.0,0.125,False,False,False
177,5/22/2019,RAW,Lacking polish,Other,,False,2,14,1,False,False,False,False,0,False,6.5,0,0.0,0.07142857142857142,False,False,True
178,12/3/2019,AINT,Nonstandard negative,Other,,False,2,20,1,False,False,False,False,0,False,9.5,0,0.5,0.05,False,False,True
179,11/8/2020,CSINY,Bygone forensic spinoff,Other,,False,3,23,2,False,False,False,False,0,False,7.0,0,0.3333333333333333,0.08695652173913043,False,False,False
180,12/18/2019,CHEESY,Cheap and inauthentic,Other,,False,3,21,2,False,False,False,False,0,False,6.333333333333333,0,0.3333333333333333,0.09523809523809523,False,False,True
181,3/30/2020,SLANT,Incline,Single Word,,False,1,7,0,False,False,False,False,0,False,7.0,0,0.0,0.0,False,False,True
