,clue,Word,count,other Word results
16227,"""Norma ___""",RAE,35,[]
305948,Mao ___-tung,TSE,34,[]
360034,Over,ANEW,34,"['UPON', 'ENDED', 'ONCEMORE', 'ACROSS', 'AGAIN', 'PAST', 'ABOVE', 'ONTOPOF', 'AFRESH', 'ONEMORETIME', 'ATANEND', 'ATOP', 'DONE']"
475697,Suffix with buck,AROO,34,[]
557744,___ culpa,MEA,34,[]
553670,___ Bator,ULAN,34,[]
188192,First name in cosmetics,ESTEE,34,['MERLE']
554984,___ Jima,IWO,34,[]
355002,Ooze,SEEP,34,"['EMIT', 'SLIME', 'EXUDE']"
260411,Jacob's twin,ESAU,34,[]
335501,Norway's capital,OSLO,34,[]
557439,___ buco,OSSO,33,[]
556426,___ Stanley Gardner,ERLE,33,[]
556591,___ Tin Tin,RIN,33,[]
527615,Way off,AFAR,33,"['LOCO', 'EXITLANE', 'EXITRAMP', 'FAR', 'RAMP', 'REMOTE', 'EXIT']"
160212,Draft org.,SSS,33,"['NBA', 'NFL']"
92099,Born,NEE,33,['INNATE']
50767,Actress Sommer,ELKE,33,[]
167251,Eggs,OVA,33,['ROE']
445945,Slightly,ATAD,33,"['AWEEBIT', 'ATRIFLE', 'BYANOSE', 'ABIT', 'ALITTLE']"
278635,Leave out,OMIT,32,['SKIP']
555376,___ Mahal,TAJ,32,[]
14709,"""Mazel ___!""",TOV,32,[]
135777,Cosmetician Lauder,ESTEE,32,[]
555384,___ Major,URSA,32,['CANIS']
210586,Go (for),OPT,32,"['RETAIL', 'TRY', 'VIE']"
486616,Tel ___,AVIV,32,[]
4531,"""Como ___ usted?""",ESTA,32,[]
30168,"""___ Mio""",OSOLE,32,[]
325351,Musician Brian,ENO,32,[]
172770,Enzyme suffix,ASE,31,[]
52903,Afore,ERE,31,[]
347473,"Once, once",ERST,31,[]
462121,Spoken,ORAL,31,"['SAID', 'VERBAL']"
375184,Pie ___ mode,ALA,31,[]
561029,___-la-la,TRA,31,['OOH']
49977,Actress Anderson,LONI,31,['PAMELA']
560289,___ v. Wade,ROE,31,[]
50881,Actress Ward,SELA,31,[]
401815,Raison d'___,ETRE,31,[]
244430,In the thick of,AMID,31,"['AMONG', 'AMIDST']"
419625,Russia's ___ Mountains,URAL,31,[]
549203,Writer ___ Stanley Gardner,ERLE,31,[]
2382,"""Auld Lang ___""",SYNE,31,[]
62881,Approximately,ORSO,31,"['ABOUT', 'MOREORLESS', 'SAY', 'CIRCA', 'NEAR', 'SOME']"
308157,Mata ___,HARI,30,[]
485896,Teachers' org.,NEA,30,[]
68955,Author LeShan,EDA,30,[]
131274,Concerning,INRE,30,"['ABOUT', 'ASFOR', 'RELATEDTO', 'ASTO', 'ANENT']"
244426,In the style of,ALA,30,['AFTER']
315589,Minus,LESS,30,"['SANS', 'CON']"
440061,Sierra ___,LEONE,30,"['MADRE', 'MADRES']"
374190,Photographer Adams,ANSEL,30,[]
476462,Suit to ___,ATEE,30,[]
183715,Feminine suffix,ENNE,30,"['ESS', 'ETTE', 'EUSE']"
560880,___-cone,SNO,30,[]
150453,Designer Cassini,OLEG,30,[]
62088,Appear,SEEM,30,"['LOOM', 'TURNUP', 'EMERGE', 'SEEMTOBE', 'ACT', 'SHOWUP']"
522168,Villa d'___,ESTE,30,[]
361325,PC key,ESC,29,"['ALT', 'DELETE', 'DEL', 'ENTER', 'CTRL', 'HELP']"
486903,Tempe sch.,ASU,29,[]
50760,Actress Skye,IONE,29,[]
517250,Up to the task,ABLE,29,[]
209541,Give up,CEDE,29,"['DIE', 'FORGO', 'QUIT', 'WAIVE', 'THROWINTHETOWEL', 'DESPAIR', 'RENOUNCE', 'VACATE', 'YIELD', 'CAVE']"
163708,Dutch cheese,EDAM,29,"['GOUDA', 'LEYDEN']"
220238,Gymnast Korbut,OLGA,29,[]
441927,Singer McEntire,REBA,29,[]
367846,Pass,ENACT,29,"['GOBY', 'APPROVE', 'SPEND', 'ADOPT', 'OVERTAKE', 'ELAPSE']"
292098,List ender,ETAL,29,"['ETC', 'ETALII', 'ETALIA', 'ETCETERA']"
130397,Composer Stravinsky,IGOR,29,[]
520879,Verve,ELAN,29,"['PEP', 'PANACHE', 'SPIRIT', 'BRIO', 'GUSTO', 'ZEST', 'ESPRIT']"
315708,Miracle-___,GRO,29,[]
66984,At any time,EVER,29,[]
407237,Regret,RUE,29,"['LAMENT', 'SORROW']"
443168,Sitarist Shankar,RAVI,29,[]
482799,Taj Mahal site,AGRA,29,[]
194300,For fear that,LEST,29,[]
377318,Pizazz,ELAN,29,"['OOMPH', 'ZING', 'FLASH', 'PANACHE', 'ENERGY', 'FLAIR', 'BRIO', 'ZIP', 'SPICE', 'STYLE', 'DASH']"
555557,___ Moines,DES,28,[]
61053,Anthem contraction,OER,28,[]
447930,Smidgen,IOTA,28,"['BIT', 'DAB', 'SPECK', 'TAD', 'JOT', 'DRIB', 'ATOM', 'WEEBIT', 'SKOSH', 'MITE']"
7747,"""Get it?""",SEE,28,"['YOUSEE', 'CAPEESH', 'SAVVY']"
98683,Buenos ___,AIRES,28,[]
357212,Org.,ASSN,28,"['GRP', 'ASSOC']"
312051,Mess up,ERR,28,"['RUFFLE', 'FLUB', 'TOUSLE', 'MUFF', 'RUMPLE', 'MISDO', 'MAR', 'BOTCH']"
162041,Drop,OMIT,28,"['FALL', 'SHED', 'DESCEND', 'DELE', 'ELIDE', 'DELETE', 'EBB', 'QUIT', 'LOWER', 'PLUNGE']"
292170,List-ending abbr.,ETAL,28,['ETC']
483107,Take care of,SEETO,28,"['TENDTO', 'HANDLE', 'TREAT', 'SEEAFTER', 'TEND', 'ATTEND', 'NURTURE']"
68870,Author Calvino,ITALO,28,[]
192965,Follow,ENSUE,28,"['GONEXT', 'DOG', 'ACTON', 'ADHERETO', 'SUCCEED', 'TRAIL', 'TAIL', 'TRACE', 'OBEY', 'GOAFTER', 'GET', 'HEED']"
91096,Bone: Prefix,OSTE,28,"['OSSE', 'OSSEO', 'OSTEO']"
521542,Vicinity,AREA,28,[]
198396,French 101 verb,ETRE,28,"['ETES', 'AVOIR']"
150098,Dernier ___,CRI,28,[]
422421,"Santa ___, Calif.",ANA,28,"['CLARA', 'ROSA', 'YNEZ']"
374068,Photo ___,OPS,28,"['LAB', 'IDS']"
552572,Zip,NIL,28,"['NOTAONE', 'DART', 'NADA', 'ZEST', 'PEP', 'NONEATALL', 'SPICE', 'TEAR', 'NONE', 'GUSTO', 'NOTONE', 'OOMPH', 'JACKSQUAT', 'VIM', 'GOOSEEGG', 'ENERGY', 'ELAN', 'ZOOM']"
402917,Rat-___,ATAT,27,[]
398363,QB Manning,ELI,27,[]
547275,Work unit,ERG,27,"['PILE', 'DAY', 'WEEK']"
492702,Therefore,ERGO,27,"['HENCE', 'THUS']"
463111,Spotted,SEEN,27,"['SAW', 'LENT', 'FLECKED', 'CALICO', 'ESPIED', 'EYED', 'PINTO']"
517263,"Up to, informally",TIL,27,[]
93805,Brainstorm,IDEA,27,['IDEATE']
17360,"""Othello"" villain",IAGO,27,[]
323382,Mrs. Chaplin,OONA,27,[]
336651,Not fooled by,ONTO,27,['WISETO']
555539,___ Minor,URSA,27,['ASIA']
363012,Panache,ELAN,27,"['FLAIR', 'BRIO', 'STYLE', 'ECLAT']"
553928,___ Canals,SOO,27,[]
109396,Catch sight of,ESPY,27,"['DESCRY', 'DETECT', 'SPOT']"
555836,___ Paulo,SAO,27,[]
137014,Coup d'___,ETAT,27,['OEIL']
295213,"Long, long time",EON,27,"['EONS', 'ERA', 'AGES', 'DOGSAGE', 'EPOCH', 'AEON']"
239643,Humorist Bombeck,ERMA,27,[]
189028,Fish eggs,ROE,27,[]
292602,Literary monogram,TSE,27,"['EAP', 'RLS', 'RWE', 'GBS']"
376970,Pitcher Hershiser,OREL,27,[]
262520,Jiffy,SEC,26,"['TRICE', 'MOMENT', 'FLASH', 'MINUTE', 'SNAP']"
143083,Cut (off),LOP,26,"['SAWED', 'SAW', 'LOPPED']"
327959,Narrow inlet,RIA,26,['FIRTH']
468193,Stead,LIEU,26,[]
553605,___ B'rith,BNAI,26,[]
198474,French article,UNE,26,['LES']
274800,Language suffix,ESE,26,['ISH']
14529,"""Mamma ___!""",MIA,26,[]
315888,Mishmash,OLIO,26,"['STEW', 'MESS', 'HODGEPODGE', 'GOULASH']"
361320,PC key,ALT,26,"['DELETE', 'DEL', 'ENTER', 'CTRL', 'HELP', 'ESC']"
201846,Fuss,ADO,26,"['HOOPLA', 'STIR', 'HOOHA', 'STEW', 'HASSLE', 'HOOHAH', 'FRET', 'TODO']"
528107,Wear away,ERODE,26,"['EAT', 'ABRADE']"
219011,Grub,EATS,26,"['FARE', 'LARVA', 'CHOW']"
281408,Level,TIER,26,"['EVEN', 'EQUAL', 'DESTROY', 'PLANE', 'FLATTEN', 'SHIM', 'TRUE', 'STORY', 'EVENED', 'TEARDOWN', 'ECHELON', 'HONEST', 'RAZE']"
50322,Actress Hatcher,TERI,26,[]
224655,Harvest,REAP,26,"['YIELD', 'CROP']"
344309,Oklahoma city,ENID,26,"['EDMOND', 'TULSA', 'NORMAN', 'ADA']"
312163,Messenger ___,RNA,26,[]
24151,"""The Time Machine"" people",ELOI,26,[]
397035,Put away,ATE,26,"['STOW', 'STOWED', 'STORE', 'STORED', 'HID', 'SHELVE', 'SAVE', 'ICE', 'DOWN', 'STASH', 'EATEN', 'SAVED', 'ICED', 'JAILED', 'EAT', 'DOIN', 'ONICE']"
552509,Zilch,NADA,26,"['NIL', 'NOTABIT', 'NOTANY', 'ZIPPO', 'ZERO', 'NOTAWHIT', 'NONE']"
552510,Zilch,NIL,26,"['NOTABIT', 'NOTANY', 'NADA', 'ZIPPO', 'ZERO', 'NOTAWHIT', 'NONE']"
554582,___ Gay,ENOLA,26,[]
50314,Actress Hagen,UTA,26,[]
98499,Bud,PAL,25,"['CHUM', 'KIDDO', 'MATE', 'BRO', 'AMIGO', 'PARD', 'HOMIE', 'MAC']"
449433,Soak (up),SOP,25,[]
561024,___-jongg,MAH,25,[]
301864,Make,EARN,25,"['ATTAIN', 'RENDER', 'ATTEND', 'NET']"
73260,Bambi's aunt,ENA,25,['DOE']
117562,Choir voice,ALTO,25,['SOPRANO']
8471,"""Gotcha""",ISEE,25,"['AHA', 'SOISEE', 'IHEARYOU', 'NOTED', 'IDIGIT', 'ISEENOW', 'OHISEE', 'ISEEIT', 'IDIG', 'AHISEE', 'ROGER']"
191759,Florence's river,ARNO,25,[]
249226,Inventor Whitney,ELI,25,[]
360400,Overly,TOO,25,['TOOTOO']
397798,Put up,ERECT,25,"['POST', 'RAISE', 'REARED', 'ANTED', 'BUILT', 'ANTE', 'CAN', 'HOUSED', 'ERECTED', 'NOMINATE', 'HANG', 'HUNG', 'RISKED', 'HOUSE']"
89341,Blue,SAD,25,"['RISQUE', 'LEWD', 'RIBALD', 'RATEDX', 'INDIGO', 'MELANCHOLY', 'DOWN', 'BAWDY', 'EROTICAL', 'RACY', 'UNHAPPY', 'SADDENED', 'SKYEY', 'LOW', 'DEJECTED', 'EROTIC']"
501655,To boot,ALSO,25,"['ASWELL', 'NOLESS', 'ATTHAT', 'TOO']"
291883,Lip,SASS,25,"['GUFF', 'RIM', 'BRIM', 'EDGE', 'BRINK']"
376953,Pitcher,EWER,25,"['SALESMAN', 'TOSSER', 'HURLER']"
503829,Top-notch,AONE,25,"['PRIMO', 'APLUS', 'ACE', 'GRADEA', 'RATEDA', 'ELITE', 'SUPERB', 'STELLAR', 'ACES']"
190266,Flair,ELAN,25,"['KNACK', 'BENT', 'PANACHE', 'PIZZAZZ', 'STYLE', 'TALENT', 'PIZAZZ']"
30050,"""___ Lisa""",MONA,25,[]
330260,Neighborhood,AREA,25,"['ENVIRONS', 'LOCALAREA', 'ZONE', 'TURF', 'REGION', 'LOCAL', 'LOCALE']"
160929,Dress (up),TOG,25,"['GUSSY', 'TART', 'DOLL']"
194190,Footnote abbr.,IBID,25,"['ETSEQ', 'ETAL', 'LOC', 'OPCIT']"
558231,___ fixe,IDEE,24,['PRIX']
558177,___ favor,POR,24,"['ASA', 'DOA']"
76672,Baton Rouge sch.,LSU,24,[]
469480,Sticky stuff,GOO,24,"['RESIN', 'PASTE', 'TAR', 'GOOK', 'PINETAR', 'TAPE', 'GOOP', 'EPOXY', 'GLUE']"
277027,Lawyers' org.,ABA,24,[]
487561,Tennis's Nastase,ILIE,24,[]
61439,Antlered animal,ELK,24,"['MOOSE', 'STAG', 'HART']"
515345,Unit of force,DYNE,24,[]
321449,Mother ___,TERESA,24,"['LODE', 'JONES', 'SHIP', 'TONGUE', 'HEN', 'HUBBARD', 'EARTH', 'NATURE', 'GOOSE']"
17855,"""Picnic"" playwright",INGE,24,[]
146343,Day-___,GLO,24,[]
265133,Just,ONLY,24,"['DUE', 'MERELY', 'NEWLY', 'MERE', 'BARELY', 'FAIR', 'RIGHT']"
371197,Perfect,IDEAL,24,"['APLUS', 'EXACT', 'HONE', 'EDENIC', 'MASTER', 'UNERRING', 'SPOTON', 'UTOPIAN', 'MINT', 'ERRORLESS', 'AOK', 'TIPTOP', 'DEADON', 'OPTIMUM']"
438010,Shortly,ANON,24,"['INASEC', 'INAMOMENT', 'SOON', 'INAWHILE', 'INAMINUTE', 'INABIT']"
59203,And others: Abbr.,ETAL,24,['ETC']
102208,CD-___,ROM,24,['ROMS']
30174,"""___ Miserables""",LES,24,[]
328897,Nav. rank,ENS,24,"['CPO', 'ADM']"
291640,Linguist Chomsky,NOAM,24,[]
311257,Memo starter,INRE,24,"['FYI', 'ATTN']"
19021,"""Rule, Britannia"" composer",ARNE,24,[]
70269,Away from the wind,ALEE,24,['LEEWARD']
208744,Ginger ___,ALE,24,[]
391924,Privy to,INON,24,[]
560930,___-do-well,NEER,24,[]
482461,Tabula ___,RASA,24,[]
50265,Actress Garr,TERI,24,[]
552706,Zone,AREA,24,['SECTOR']
68993,Author Rand,AYN,24,[]
560539,___-Ball,SKEE,24,[]
501741,To the ___ degree,NTH,24,[]
560347,___ vu,DEJA,24,[]
297198,Lotion ingredient,ALOE,24,[]
462227,Spooky,EERIE,24,['WEIRD']
302598,Make over,REDO,24,"['RESTYLE', 'RESHAPE']"
498212,Through,VIA,23,"['ENDED', 'ALLDONE', 'PER', 'OVER', 'UNTIL', 'DONE']"
405430,Reclined,LAIN,23,['LAY']
557817,___ de France,ILE,23,['TOUR']
7177,"""For shame!""",TSK,23,"['TUT', 'FIE', 'TUTTUT', 'TSKTSK']"
180734,Fannie ___,MAE,23,[]
31704,"""___ luck!""",LOTSA,23,[]
347142,On the briny,ASEA,23,['ATSEA']
407477,Related,AKIN,23,"['SAID', 'TOLD', 'PERTINENT']"
66007,Asian holiday,TET,23,[]
500308,Tiny bit,IOTA,23,"['DROP', 'MOTE', 'DAB', 'SPECK', 'MOLECULE', 'TAD', 'JOT', 'DRIB', 'SKOSH', 'ATOM', 'TRACE', 'SIP', 'OUNCE', 'SMIDGE', 'MITE', 'ATAD', 'SHRED']"
554321,___ Domini,ANNO,23,[]
50867,Actress Vardalos,NIA,23,[]
313687,Mideast's Gulf of ___,ADEN,23,"['OMAN', 'AQABA', 'SUEZ']"
240340,Hwy.,RTE,23,['TPK']
59549,Anger,IRE,23,"['SPLEEN', 'FURY', 'WRATH', 'DANDER', 'RILE', 'RAGE']"
554584,___ Gay (W.W. II plane),ENOLA,23,[]
56446,Alphabet trio,RST,23,"['IJK', 'CDE', 'MNO', 'OPQ', 'BCD', 'GHI', 'LMN', 'HIJ', 'NOP', 'EFG', 'STU', 'FGH']"
145716,Dash,ELAN,23,"['SMIDGEN', 'PEP', 'VIM', 'RACE', 'PANACHE', 'SPATTER', 'PIZZAZZ', 'SCOOT', 'SPRINT', 'PIZAZZ', 'VERVE', 'ECLAT']"
215595,Grandson of Adam,ENOS,23,['ENOCH']
130388,Composer Satie,ERIK,23,[]
205115,General ___ chicken,TSOS,23,[]
145448,Dark,UNLIT,23,"['SINISTER', 'EBON', 'STARLESS', 'SUNLESS', 'DIM', 'MACABRE']"
127268,Comic Philips,EMO,23,[]
198942,French possessive,SES,23,"['MON', 'ATOI', 'MES', 'AMOI', 'TES']"
149315,Den,LAIR,23,['NEST']
200317,From the top,ANEW,23,"['AGAIN', 'OVERAGAIN', 'AFRESH', 'DENOVO']"
146226,Dawn goddess,EOS,23,['AURORA']
356801,Orch. section,STR,23,"['PERC', 'STRS']"
17824,"""Phooey!""",DRAT,23,"['NUTS', 'PAH', 'BAH', 'CRUD', 'OHDARN', 'DARNIT', 'FIE', 'DARN', 'PSHAW', 'DANG', 'NERTS', 'RATS', 'DASHIT', 'DANGIT']"
29322,"""Zip-___-Doo-Dah""",ADEE,23,[]
114055,Charged,RANAT,23,"['IONIC', 'STORMED', 'ELECTRICAL', 'CAMEAT', 'ARRAIGNED', 'HADAT', 'WENTAT', 'ACCUSED']"
149700,Depend (on),RELY,23,"['HINGE', 'LEAN', 'RIDE']"
557570,___ chi,TAI,23,[]
2578,"""Bali ___""",HAI,23,[]
468765,"Stephen of ""The Crying Game""",REA,23,[]
326966,Nabokov novel,ADA,23,"['PNIN', 'LOLITA']"
550878,Yemeni port,ADEN,23,['MOCHA']
518596,Utah city,OREM,23,['PROVO']
371015,Per ___,DIEM,23,"['CAPITA', 'ANNUM']"
213792,Goof,ERR,22,"['SLIPUP', 'BLOOPER', 'ERROR', 'MISCUE', 'FLUB', 'MESSUP', 'SLIP']"
134847,Copy,APE,22,"['REPLICA', 'CLONE', 'ACTLIKE', 'PARROT', 'MIMIC', 'REPRO', 'DUPE', 'XEROX', 'MIMEO', 'REPLICATE', 'IMITATE', 'TEXT']"
65466,Artist Magritte,RENE,22,[]
553751,___ Beta Kappa,PHI,22,[]
557647,___ colada,PINA,22,[]
556057,___ Reader,UTNE,22,[]
145860,Date,SEE,22,[]
154054,Director Kurosawa,AKIRA,22,[]
510371,Turkish title,AGA,22,"['AGHA', 'PASHA']"
27225,"""What ___?""",ELSE,22,"['OFIT', 'ISIT', 'FOR', 'GIVES', 'NEXT', 'TODO']"
124354,"Coeur d'___, Idaho",ALENE,22,[]
158608,Don Juan's mother,INEZ,22,[]
205316,Genesis garden,EDEN,22,[]
520649,"Verdi's ""___ tu""",ERI,22,[]
555542,___ Miss,OLE,22,[]
397051,Put away,STOW,22,"['STOWED', 'STORE', 'ATE', 'STORED', 'HID', 'SHELVE', 'SAVE', 'ICE', 'DOWN', 'STASH', 'EATEN', 'SAVED', 'ICED', 'JAILED', 'EAT', 'DOIN', 'ONICE']"
403292,Razor brand,ATRA,22,['BIC']
405273,Recipe amt.,TSP,22,['TBSP']
132652,Consider,DEEM,22,"['LOOKAT', 'TAKEINTOACCOUNT']"
178915,Facility,EASE,22,"['KNACK', 'FLAIR', 'SKILL', 'TALENT', 'EASINESS', 'EEEE']"
132416,Connections,INS,22,"['KIN', 'TIES', 'TIEINS']"
552615,Zippo,NADA,22,"['NIL', 'ZILCH', 'NOTONEIOTA', 'NONE']"
40505,1998 Sarah McLachlan hit,ADIA,22,[]
212942,Golfer Aoki,ISAO,22,[]
77095,Bay window,ORIEL,22,[]
339791,Notion,IDEA,22,['KNICKKNACK']
71130,Back,AGO,22,"['ENDORSE', 'HIND', 'FRO', 'FINANCE', 'REVERSESIDE', 'REAR', 'AID', 'BETON', 'BOOST', 'TOTHEREAR', 'STERN', 'SPONSOR', 'AFT']"
270083,Kind of tide,NEAP,22,"['YULE', 'EBB', 'LEE']"
145041,Dander,IRE,22,['IRISH']
172922,Epitome of simplicity,ABC,22,['PIE']
301425,Maintain,AVER,22,"['KEEPUP', 'KEEP', 'HAVE', 'AFFIRM', 'ASSERT', 'AVOW', 'UPHOLD', 'HOLD', 'ALLEGE']"
199502,Freshly,ANEW,22,['NEWLY']
473069,Studio sign,ONAIR,22,['TOLET']
311620,Mentalist Geller,URI,22,[]
329678,Needle case,ETUI,22,[]
537708,Whiz,ACE,21,"['MAVEN', 'SAIL', 'PRO', 'GURU', 'MAESTRO', 'PHENOM', 'EXPERT', 'ZOOM', 'VIRTUOSO']"
293351,Live,ARE,21,"['DWELL', 'RESIDE', 'ONAIR', 'ANIMATE', 'AIRING', 'EXIST', 'INREALTIME', 'ONSTAGE']"
359493,Out-and-out,UTTER,21,"['PURE', 'ARRANT', 'SHEER', 'TOTAL']"
540400,Wipe out,ERASE,21,"['END', 'MASSACRE', 'ERADICATE', 'NUKE', 'EFFACE', 'OBLITERATE', 'ANNIHILATE', 'NEGATE']"
359214,Out,ALIBI,21,"['NOTHOME', 'OLDHAT', 'RELEASED', 'ABSENT', 'ASLEEP', 'FREED', 'DATED', 'OBSOLETE', 'ONADATE', 'PASSE', 'NOTIN', 'ESCAPED', 'DOZING', 'GONE', 'ONSTRIKE', 'EXIT', 'AWAY']"
118559,Church recess,APSE,21,[]
99133,Building wing,ELL,21,"['ADDITION', 'ANNEX', 'ADDON']"
558197,___ fide,BONA,21,['MALA']
322023,Mountain nymph,OREAD,21,[]
400924,Racket,DIN,21,"['CLAMOR', 'CLATTER', 'NOISE', 'SCAM']"
118409,Chum,PAL,21,"['BUD', 'MATE', 'PAISANO']"
384204,Pop,DAD,21,"['FATHER', 'UNCORK', 'COLA', 'BURST', 'DADDY', 'LANCE', 'SODA']"
128101,Commercials,ADS,21,['SPOTS']
560744,___-Rooter,ROTO,21,[]
97336,Bronte heroine,EYRE,21,['JANEEYRE']
67854,Attempt,STAB,21,"['ESSAY', 'HAVEAGOAT', 'SHOT', 'ENDEAVOR', 'EFFORT', 'TRY', 'GOFOR']"
388834,Prefix with dynamic,AERO,21,[]
193734,Food thickener,AGAR,21,[]
469891,Stir,ADO,21,"['WAKEN', 'JOG', 'THECAN', 'TODO', 'EXCITE', 'BUDGE', 'ROIL', 'MIX', 'WAKE', 'AGITATE', 'RILE', 'ROUSE', 'HOOPLA', 'AWAKEN', 'HOOHA', 'BUSTLE', 'AROUSE', 'SLAMMER', 'SENSATION', 'INCITE']"
276463,Latvia's capital,RIGA,21,[]
382016,Poet ___ St. Vincent Millay,EDNA,21,[]
556385,___ Speedwagon,REO,21,[]
48244,According to,PER,21,"['ASPER', 'ALA']"
319215,"Morales of ""La Bamba""",ESAI,21,[]
417491,Roughly,ORSO,21,"['AFTERASORT', 'ABOUT', 'AROUND', 'MOREORLESS']"
115528,Chemical suffix,ENE,21,"['INE', 'ASE', 'ANE', 'IDE']"
459846,Spanish gold,ORO,21,[]
20709,"""Star Wars"" princess",LEIA,21,[]
478894,Surrounded by,AMID,21,"['AMIDST', 'AMONGST', 'AMONG']"
510545,Turn over,CEDE,21,"['GIVE', 'RESELL', 'FLIP', 'UPEND']"
190385,Flap,ADO,21,"['STIR', 'SPAT', 'UPROAR', 'TODO']"
