Date,Word,Clue,Primary Cluster,Manual class,,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,in vocab,OnlyRoman,MentionsGeo
11/25/2014,SRA,Paris : Mme. :: Madrid : ___,Other,Analogy fill in the blank,,FALSE,7,28,14,FALSE,TRUE,FALSE,FALSE,1,FALSE,3.142857142857143,0,0.42857142857142855,0.5,FALSE,FALSE,FALSE,FALSE,TRUE
4/6/2014,DANKE,French : merci :: German : ___,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.14285714285714285,0.43333333333333335,FALSE,FALSE,FALSE,FALSE,TRUE
5/17/2013,BALBOA,Peso : Mexico :: ___ : Panama,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,TRUE,FALSE,TRUE
5/5/2013,RUE,German : Strasse :: French : ___,Other,Analogy fill in the blank,,TRUE,7,32,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.7142857142857144,0,0.2857142857142857,0.40625,FALSE,FALSE,TRUE,FALSE,TRUE
11/14/2012,AND,Y : Spanish :: ___ : English,Other,Analogy fill in the blank,,FALSE,7,28,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.142857142857143,0,0.2857142857142857,0.4642857142857143,FALSE,FALSE,TRUE,FALSE,TRUE
8/13/2012,PESO,Shekel : Israel :: ___ : Mexico,Other,Analogy fill in the blank,,FALSE,7,31,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.5714285714285716,0,0.2857142857142857,0.41935483870967744,FALSE,FALSE,TRUE,FALSE,TRUE
2/18/2012,AGORA,Forum : Rome :: ___ : Athens,Other,Analogy fill in the blank,,FALSE,7,28,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.142857142857143,0,0.2857142857142857,0.4642857142857143,FALSE,FALSE,TRUE,FALSE,TRUE
4/11/2010,ARIEL,Oscar : United States :: ___ : Mexico,Other,Analogy fill in the blank,,FALSE,8,37,14,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.75,0,0.375,0.3783783783783784,FALSE,FALSE,TRUE,FALSE,TRUE
1/12/2010,VENTI,Twenty : English :: ___ : Italian,Other,Analogy fill in the blank,,FALSE,7,33,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.857142857142857,0,0.2857142857142857,0.3939393939393939,FALSE,FALSE,FALSE,FALSE,TRUE
12/5/2009,GLI,Los : Spanish :: ___ : Italian,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.42857142857142855,0.43333333333333335,FALSE,FALSE,FALSE,FALSE,TRUE
9/14/2009,MMES,Sras. : Mexico :: ___ : France,Other,Analogy fill in the blank,,FALSE,7,30,14,FALSE,TRUE,FALSE,FALSE,1,FALSE,3.4285714285714284,0,0.2857142857142857,0.4666666666666667,FALSE,FALSE,FALSE,FALSE,TRUE
8/6/2009,LATTE,Milch : German :: ___ : Italian,Other,Analogy fill in the blank,,FALSE,7,31,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.5714285714285716,0,0.2857142857142857,0.41935483870967744,FALSE,FALSE,FALSE,FALSE,TRUE
7/13/2009,LIRA,Franc : France :: ___ : Italy,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,TRUE,FALSE,TRUE
1/29/2009,ZWEI,Deux : France :: ___ : Germany,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,FALSE,FALSE,FALSE,FALSE,TRUE
10/27/2008,LIRAS,Pesos : Mexico :: ___ : Turkey,Other,Analogy fill in the blank,,FALSE,7,30,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.4285714285714284,0,0.2857142857142857,0.43333333333333335,FALSE,FALSE,TRUE,FALSE,TRUE
7/21/2008,HEATHROW,Charles de Gaulle : Paris :: ___ : London,Other,Analogy fill in the blank,,FALSE,9,41,15,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.6666666666666665,0,0.4444444444444444,0.36585365853658536,FALSE,FALSE,FALSE,FALSE,TRUE
6/23/2008,EIN,Un : France :: ___ : Germany,Other,Analogy fill in the blank,,FALSE,7,28,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.142857142857143,0,0.2857142857142857,0.4642857142857143,FALSE,FALSE,FALSE,FALSE,TRUE
6/21/2008,LAN,Iberia : Spain :: ___ : Chile,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,TRUE,FALSE,TRUE
6/15/2008,RAI,BBC : Britain :: ___ : Italy,Other,Analogy fill in the blank,,FALSE,7,28,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.142857142857143,0,0.2857142857142857,0.4642857142857143,FALSE,FALSE,FALSE,FALSE,TRUE
5/22/2008,OSLO,Orly : Paris :: Gardermoen : ___,Other,Analogy fill in the blank,,FALSE,7,32,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.7142857142857144,0,0.2857142857142857,0.40625,FALSE,FALSE,FALSE,FALSE,TRUE
2/14/2008,MOSCOW,Montmartre : Paris :: Arbat : ___,Other,Analogy fill in the blank,,FALSE,7,33,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.857142857142857,0,0.2857142857142857,0.3939393939393939,FALSE,FALSE,TRUE,FALSE,TRUE
7/14/2006,ARE,Son: Spanish :: ___ : English,Other,Analogy fill in the blank,,FALSE,6,29,12,FALSE,TRUE,FALSE,FALSE,0,FALSE,4,0,0.3333333333333333,0.41379310344827586,FALSE,FALSE,TRUE,FALSE,TRUE
1/4/2006,SIG,M. : France :: ___ : Italy,Other,Analogy fill in the blank,,FALSE,7,26,14,FALSE,TRUE,FALSE,FALSE,1,FALSE,2.857142857142857,0,0.42857142857142855,0.5384615384615384,FALSE,FALSE,TRUE,FALSE,TRUE
8/1/2003,GLI,Les : French :: ___ : Italian,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,FALSE,FALSE,TRUE
8/28/2000,SENOR,Monsieur : Paris :: ___ : Madrid,Other,Analogy fill in the blank,,FALSE,7,32,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.7142857142857144,0,0.2857142857142857,0.40625,FALSE,FALSE,FALSE,FALSE,TRUE
4/3/2000,LIRA,Peseta : Spain :: ___ : Italy,Other,Analogy fill in the blank,,FALSE,7,29,13,FALSE,TRUE,FALSE,FALSE,0,FALSE,3.2857142857142856,0,0.2857142857142857,0.4482758620689655,FALSE,FALSE,TRUE,FALSE,TRUE
8/15/2020,TEAMO,"""Ich liebe dich"" : German :: ""___"" : Spanish",Other,Analogy fill in the blank,,FALSE,9,44,19,FALSE,TRUE,FALSE,FALSE,0,FALSE,4,0,0.2222222222222222,0.4318181818181818,FALSE,FALSE,FALSE,FALSE,TRUE
9/10/1995,UKRAINE,Lira:Italy::karbovanet:___,Other,Analogy fill in the blank,,FALSE,1,26,7,FALSE,TRUE,FALSE,FALSE,0,FALSE,26,0,0,0.2692307692307692,FALSE,FALSE,FALSE,FALSE,TRUE
3/6/2018,ABBES,French clerics,Other,Foreign language,English to French,FALSE,2,14,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.5,0,0,0.071428571,FALSE,FALSE,FALSE,FALSE,TRUE
1/26/2020,ABRIL,Spanish month that anagrams to a zodiac sign,Other,Foreign language,English to Spanish,FALSE,8,44,7,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.625,0,0,0.1590909090909091,FALSE,FALSE,FALSE,FALSE,TRUE
3/24/1997,ABRIL,"Month after marzo, in Mexico",Other,Foreign language,English to Spanish,FALSE,5,28,5,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.8,1,0.4,0.17857142857142858,FALSE,FALSE,FALSE,FALSE,TRUE
2/3/2010,ACTO,Part of a Spanish play,Other,Foreign language,English to Spanish,FALSE,5,22,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.6,0,0.2,0.18181818181818182,FALSE,FALSE,FALSE,FALSE,TRUE
9/20/2021,CINQ,"Five, in French",Other,Foreign language,English to French,FALSE,3,15,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.333333333333333,1,0.3333333333333333,0.2,FALSE,FALSE,FALSE,FALSE,TRUE
10/10/2021,ADOBO,Spanish marinade,Other,Foreign language,English to Spanish,FALSE,2,16,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,7.5,0,0,0.0625,FALSE,FALSE,FALSE,FALSE,TRUE
3/24/2013,AEREO,Word on mail from Spain,Other,Foreign language,English to Spanish,FALSE,5,23,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.8,0,0.4,0.17391304347826086,FALSE,FALSE,FALSE,FALSE,TRUE
9/2/1996,AEREO,Stamp on mail from Mexico,Other,Foreign language,English to Spanish,FALSE,5,25,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.2,0,0.4,0.16,FALSE,FALSE,FALSE,FALSE,TRUE
6/19/1996,AEREO,Word on mail from Mexico,Other,Foreign language,English to Spanish,FALSE,5,24,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,4,0,0.4,0.16666666666666666,FALSE,FALSE,FALSE,FALSE,TRUE
9/4/2016,AERO,Spanish prefix with lineas,Other,Foreign language,English to Spanish,FALSE,4,26,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.75,0,0,0.11538461538461539,FALSE,FALSE,TRUE,FALSE,TRUE
11/18/2019,AGUA,Spanish water,Other,Foreign language,English to Spanish,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
4/1/2010,AGUA,Main contents of the Spanish,Other,Foreign language,English to Spanish,FALSE,5,28,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.8,0,0.4,0.14285714285714285,FALSE,FALSE,TRUE,FALSE,TRUE
4/14/2009,AGUA,Contents of the Spanish Main,Other,Foreign language,English to Spanish,FALSE,5,28,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.8,0,0.4,0.14285714285714285,FALSE,FALSE,TRUE,FALSE,TRUE
11/1/2007,AGUA,Composition of the Spanish Main,Other,Foreign language,English to Spanish,FALSE,5,31,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.4,0,0.4,0.12903225806451613,FALSE,FALSE,TRUE,FALSE,TRUE
7/31/2021,ENTRE,"13-Across, in French",Other,Foreign language,English to French,FALSE,3,20,6,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,1,0.3333333333333333,0.2,FALSE,FALSE,FALSE,FALSE,TRUE
5/30/2018,AGUA,"Water, in Oaxaca",Other,Foreign language,English to Spanish,FALSE,3,16,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.666666666666667,1,0.6666666666666666,0.1875,FALSE,FALSE,TRUE,FALSE,TRUE
8/12/2014,AGUA,"Rain, in Spain",Other,Foreign language,English to Spanish,FALSE,3,14,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,4,1,0.3333333333333333,0.21428571428571427,FALSE,FALSE,TRUE,FALSE,TRUE
2/8/2006,AGUA,It's off the coast of Spain,Other,Foreign language,English to Spanish,FALSE,6,27,6,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.6666666666666665,0,0.3333333333333333,0.2222222222222222,FALSE,FALSE,TRUE,FALSE,TRUE
3/18/2004,AGUA,The rain in Spain,Other,Foreign language,English to Spanish,FALSE,4,17,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.5,0,0.25,0.17647058823529413,FALSE,FALSE,TRUE,FALSE,TRUE
11/13/1997,AGUA,Oaxaca water,Other,Foreign language,English to Spanish,FALSE,2,12,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.5,0,0.5,0.083333333,FALSE,FALSE,TRUE,FALSE,TRUE
6/16/1997,AGUA,Tijuana water,Other,Foreign language,English to Spanish,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0.5,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
2/22/2011,AGUAS,Spanish rains,Other,Foreign language,English to Spanish,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
7/13/2008,AGUAS,Rains in Spain,Other,Foreign language,English to Spanish,FALSE,3,14,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,4,0,0.3333333333333333,0.14285714285714285,FALSE,FALSE,TRUE,FALSE,TRUE
8/1/1994,AGUAS,Oaxaca waters,Other,Foreign language,English to Spanish,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0.5,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
7/5/2020,AHORA,"Spanish ""now""",Other,Foreign language,English to Spanish,FALSE,2,13,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.23076923076923078,FALSE,FALSE,FALSE,FALSE,TRUE
1/22/2011,AHORA,What's now in Mexico?,Other,Foreign language,English to Spanish,FALSE,4,21,5,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.5,0,0.25,0.23809523809523808,FALSE,FALSE,FALSE,FALSE,TRUE
4/21/2003,AHORA,"Now, in Spain",Other,Foreign language,English to Spanish,FALSE,3,13,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.6666666666666665,1,0.3333333333333333,0.23076923076923078,FALSE,FALSE,FALSE,FALSE,TRUE
1/17/2017,ALLEE,"Tree-lined walkway, in France",Other,Foreign language,English to French,FALSE,4,29,5,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.5,1,0.25,0.1724137931034483,FALSE,FALSE,FALSE,FALSE,TRUE
4/19/2020,AIRES,Spanish winds,Other,Foreign language,English to Spanish,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
6/23/1994,ALAMO,"Cottonwood, in Spanish",Other,Foreign language,English to Spanish,FALSE,3,22,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.666666666666667,1,0.3333333333333333,0.13636363636363635,FALSE,FALSE,TRUE,FALSE,TRUE
9/29/2005,ALAMO,"Spanish for ""poplar""",Other,Foreign language,English to Spanish,FALSE,3,20,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.2,FALSE,FALSE,TRUE,FALSE,TRUE
5/10/2021,PERE,"Father, in French",Other,Foreign language,English to French,FALSE,3,17,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,1,0.6666666666666666,0.17647058823529413,FALSE,FALSE,FALSE,FALSE,TRUE
1/13/1999,ALLEE,French walk,Other,Foreign language,English to French,FALSE,2,11,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0,0,0.090909091,FALSE,FALSE,FALSE,FALSE,TRUE
4/7/1998,ALLEE,French back street,Other,Foreign language,English to French,FALSE,3,18,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.333333333333333,0,0,0.1111111111111111,FALSE,FALSE,FALSE,FALSE,TRUE
12/21/1994,ALLEE,French avenue,Other,Foreign language,English to French,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.076923077,FALSE,FALSE,FALSE,FALSE,TRUE
9/19/2021,AMARE,"To love, in Italian",Other,Foreign language,English to Italian,FALSE,4,19,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,4,1,0.25,0.21052631578947367,FALSE,FALSE,FALSE,FALSE,TRUE
3/17/2021,AMARE,"To love, in Italy",Other,Foreign language,English to Italian,FALSE,4,17,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.5,1,0.25,0.23529411764705882,FALSE,FALSE,FALSE,FALSE,TRUE
7/8/2011,AMARE,"To love, Italian-style",Other,Foreign language,English to Italian,FALSE,3,22,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.666666666666667,1,0.3333333333333333,0.18181818181818182,FALSE,FALSE,FALSE,FALSE,TRUE
7/20/2014,AMENDE,French fine,Other,Foreign language,English to French,FALSE,2,11,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0,0,0.090909091,FALSE,FALSE,TRUE,FALSE,TRUE
3/29/2021,AMI,French friend,Other,Foreign language,English to French,FALSE,2,13,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
3/22/2021,AMI,Friend in France,Other,Foreign language,English to French,FALSE,3,16,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.666666666666667,0,0.3333333333333333,0.125,FALSE,FALSE,TRUE,FALSE,TRUE
5/23/2018,AMI,French Facebook connection,Other,Foreign language,English to French,FALSE,3,26,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0,0.3333333333333333,0.076923077,FALSE,FALSE,TRUE,FALSE,TRUE
4/6/2018,AMI,"French toast maker, maybe",Other,Foreign language,English to French,FALSE,4,25,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.5,1,0,0.16,FALSE,FALSE,TRUE,FALSE,TRUE
3/23/2014,AMI,"French kiss recipient, maybe",Other,Foreign language,English to French,FALSE,4,28,4,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.25,1,0,0.14285714285714285,FALSE,FALSE,TRUE,FALSE,TRUE
1/3/2012,AMI,"Pal, in Paris",Other,Foreign language,English to French,FALSE,3,13,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.6666666666666665,1,0.6666666666666666,0.23076923076923078,FALSE,FALSE,TRUE,FALSE,TRUE
7/17/2010,AMI,French sweet,Other,Foreign language,English to French,FALSE,2,12,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.5,0,0,0.083333333,FALSE,FALSE,TRUE,FALSE,TRUE
9/17/2007,AMI,Pal in Paris,Other,Foreign language,English to French,FALSE,3,12,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,3.3333333333333335,0,0.6666666666666666,0.16666666666666666,FALSE,FALSE,TRUE,FALSE,TRUE
6/28/2007,AMI,French intimate,Other,Foreign language,English to French,FALSE,2,15,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,7,0,0,0.066666667,FALSE,FALSE,TRUE,FALSE,TRUE
7/9/2005,AMI,French ally,Other,Foreign language,English to French,FALSE,2,11,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0,0,0.090909091,FALSE,FALSE,TRUE,FALSE,TRUE
6/3/2000,AMI,French toast recipient?,Other,Foreign language,English to French,FALSE,3,23,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,7,0,0,0.13043478260869565,FALSE,FALSE,TRUE,FALSE,TRUE
12/2/1997,AMI,Paris associate,Other,Foreign language,English to French,FALSE,2,15,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,7,0,0.5,0.066666667,FALSE,FALSE,TRUE,FALSE,TRUE
3/8/1996,AMI,French date,Other,Foreign language,English to French,FALSE,2,11,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0,0,0.090909091,FALSE,FALSE,TRUE,FALSE,TRUE
8/4/2015,AMICA,Lady friend in Italy,Other,Foreign language,English to Italian,FALSE,4,20,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.25,0,0.25,0.15,FALSE,FALSE,FALSE,FALSE,TRUE
1/24/2014,AMICO,Italian friend,Other,Foreign language,English to Italian,FALSE,2,14,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,6.5,0,0,0.071428571,FALSE,FALSE,FALSE,FALSE,TRUE
2/16/2021,AMIE,Friend in France,Other,Foreign language,English to French,FALSE,3,16,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,4.666666666666667,0,0.3333333333333333,0.125,FALSE,FALSE,FALSE,FALSE,TRUE
11/19/2020,FIXE,"Set, in French",Other,Foreign language,English to French,FALSE,3,14,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,4,1,0.6666666666666666,0.21428571428571427,FALSE,FALSE,FALSE,FALSE,TRUE
7/20/2020,AMIE,Female friend from France,Other,Foreign language,English to French,FALSE,4,25,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.5,0,0.5,0.12,FALSE,FALSE,FALSE,FALSE,TRUE
2/11/2019,AMIE,French female friend,Other,Foreign language,English to French,FALSE,3,20,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0,0,0.1,FALSE,FALSE,FALSE,FALSE,TRUE
12/17/2018,AMIE,French girlfriend,Other,Foreign language,English to French,FALSE,2,17,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0,0,0.058823529411764705,FALSE,FALSE,FALSE,FALSE,TRUE
12/11/2018,AMIE,Female friend in France,Other,Foreign language,English to French,FALSE,4,23,3,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0,0.5,0.13043478260869565,FALSE,FALSE,FALSE,FALSE,TRUE
3/26/2017,AMIE,Possible subject of a French scandal,Other,Foreign language,English to French,FALSE,6,36,5,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.166666666666667,0,0.16666666666666666,0.1388888888888889,FALSE,FALSE,FALSE,FALSE,TRUE
12/19/2011,ALLEE,"Tree-lined way, in France",Other,Foreign language,English to French,FALSE,4,25,5,FALSE,FALSE,FALSE,FALSE,0,FALSE,5.5,1,0.25,0.2,FALSE,FALSE,FALSE,FALSE,TRUE
