,Date,Word,Clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains briefly,_f_contains dir.,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession
2495,9/29/2021,GAMER,"One playing with a mouse, maybe",6,31,4.333333333333333,0.0,False,6,False,False,False,0,False,1,0.1935483870967742,False,False,False,False,False,False,True,False,False
2767,9/26/2021,INTUNE,"Not sharp, perhaps",3,18,5.333333333333333,0.0,False,3,False,False,False,0,False,1,0.16666666666666666,False,False,False,False,False,False,True,False,False
2796,9/26/2021,ELECT,"Put in a seat, perhaps",5,22,3.6,0.0,False,5,False,False,False,0,False,1,0.22727272727272727,False,False,False,False,False,False,True,False,False
2809,9/26/2021,SCUBA,"Take a dive, perhaps",4,20,4.25,0.0,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
2926,9/24/2021,IDLE,"Waiting for an assignment, maybe",5,32,5.6,0.0,False,5,False,False,False,0,False,1,0.15625,False,False,False,False,False,False,True,False,False
3220,9/19/2021,LAPDOGS,"Small doodles, perhaps",3,22,6.666666666666667,0.0,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
3239,9/19/2021,FIDO,"Buddy of Buddy, maybe",4,21,4.5,0.5,False,4,False,False,False,0,False,1,0.19047619047619047,False,False,False,False,False,False,True,False,False
3344,9/18/2021,AJAR,"Letting in a little light, perhaps",6,34,4.833333333333333,0.0,False,6,False,False,False,0,False,1,0.17647058823529413,False,False,False,False,False,False,True,False,False
3384,9/18/2021,OAR,"Stroke, perhaps",2,15,7.0,0.5,False,2,False,False,False,0,False,1,0.13333333333333333,False,False,False,False,False,False,True,False,False
3453,9/17/2021,SNEAK,"Tiptoe, maybe",2,13,6.0,0.5,False,2,False,False,False,0,False,1,0.15384615384615385,False,False,False,False,False,False,True,False,False
3624,9/14/2021,SOBERUP,"Spend a night in the slammer, perhaps",7,37,4.428571428571429,0.0,False,7,False,False,False,0,False,1,0.1891891891891892,False,False,False,False,False,False,True,False,False
3934,9/11/2021,BETS,"Puts down a few chips, maybe",6,28,3.8333333333333335,0.16666666666666666,False,6,False,False,False,0,False,1,0.21428571428571427,False,False,False,False,False,False,True,False,False
4372,9/5/2021,SAIDHI,"Popped in for just a moment, perhaps",7,36,4.285714285714286,0.0,False,7,False,False,False,0,False,1,0.19444444444444445,False,False,False,False,False,False,True,False,False
4385,9/5/2021,TESTS,"Doctor's orders, maybe",3,22,6.666666666666667,0.0,False,4,False,False,False,0,False,1,0.18181818181818182,False,False,False,False,False,False,True,False,True
4533,9/2/2021,AWOL,"Like someone receiving baseless accusations, maybe?",6,51,7.666666666666667,0.0,True,7,False,False,False,0,False,1,0.13725490196078433,False,False,False,False,False,False,True,False,False
4576,9/2/2021,EVIDENCE,"Prints, perhaps",2,15,7.0,0.0,False,2,False,False,False,0,False,1,0.13333333333333333,False,False,False,False,False,False,True,False,False
4863,8/29/2021,ADPAGE,"Spot for a perfume sample in a magazine, maybe",9,46,4.222222222222222,0.0,False,9,False,False,False,0,False,1,0.1956521739130435,False,False,False,False,False,False,True,False,False
5376,8/22/2021,PARS,"Avoids a bogey, perhaps",4,23,5.0,0.0,False,4,False,False,False,0,False,1,0.17391304347826086,False,False,False,False,False,False,True,False,False
5392,8/22/2021,EXAM,"Series of questions, maybe",4,26,5.75,0.0,False,4,False,False,False,0,False,1,0.15384615384615385,False,False,False,False,False,False,True,False,False
5405,8/22/2021,ASOCIAL,"Preferring one's own company, perhaps",5,37,6.6,0.0,False,6,False,False,False,0,False,1,0.16216216216216217,False,False,False,False,False,False,True,False,False
5461,8/22/2021,GLIB,"A little too silky, maybe",5,25,4.2,0.0,False,5,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
5475,8/22/2021,ADOUT,"Score after seven points, maybe",5,31,5.4,0.0,False,5,False,False,False,0,False,1,0.16129032258064516,False,False,False,False,False,False,True,False,False
5539,8/21/2021,PDF,"E-signature holder, maybe",3,25,7.666666666666667,0.0,False,4,False,False,False,0,False,1,0.16,False,False,False,False,False,False,True,False,False
6057,8/14/2021,BEELINES,"Quick getaways, maybe",3,21,6.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
6074,8/14/2021,FEUD,"Family matter, maybe",3,20,6.0,0.0,False,3,False,False,False,0,False,1,0.15,False,False,False,False,False,False,True,False,False
6140,8/13/2021,THIRDS,"Even more, perhaps",3,18,5.333333333333333,0.0,False,3,False,False,False,0,False,1,0.16666666666666666,False,False,False,False,False,False,True,False,False
6256,8/11/2021,DWEEB,"""Adorkable"" one, maybe",3,22,6.666666666666667,0.0,False,5,False,False,False,0,False,1,0.22727272727272727,False,False,False,False,False,False,True,False,False
6295,8/10/2021,APLUS,"Valedictorian's grade, maybe",3,28,8.666666666666666,0.3333333333333333,False,4,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
6417,8/9/2021,SOURCREAM,"Enchilada topping, maybe",3,24,7.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
6427,8/9/2021,DARES,"Induces to pull a prank, maybe",6,30,4.166666666666667,0.0,False,6,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
6442,8/8/2021,RAPS,"Freestyles, perhaps",2,19,9.0,0.0,False,2,False,False,False,0,False,1,0.10526315789473684,False,False,False,False,False,False,True,False,False
6478,8/8/2021,SWERVE,"Leave skid marks, maybe",4,23,5.0,0.25,False,4,False,False,False,0,False,1,0.17391304347826086,False,False,False,False,False,False,True,False,False
6521,8/8/2021,BEAU,"Steady, maybe",2,13,6.0,0.0,False,2,False,False,False,0,False,1,0.15384615384615385,False,False,False,False,False,False,True,False,False
6721,8/5/2021,IPO,"Major talking point on CNBC, maybe",6,34,4.833333333333333,0.16666666666666666,False,6,False,False,False,0,False,1,0.17647058823529413,False,False,False,False,False,False,True,False,False
6781,8/4/2021,CANI,"Request accompanying puppy dog eyes, maybe",6,42,6.166666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
7056,8/1/2021,ICEE,"Brain freeze cause, maybe",4,25,5.5,0.0,False,4,False,False,False,0,False,1,0.16,False,False,False,False,False,False,True,False,False
7096,7/31/2021,DJING,"Playing at a party, maybe",5,25,4.2,0.0,False,5,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
7608,7/25/2021,SOLOS,"Star performances, maybe",3,24,7.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
7635,7/24/2021,STAT,"Average, maybe",2,14,6.5,0.0,False,2,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
7679,7/24/2021,BEDREST,"Just what the doctor ordered, perhaps",6,37,5.333333333333333,0.0,False,6,False,False,False,0,False,1,0.16216216216216217,False,False,False,False,False,False,True,False,True
7710,7/23/2021,GOKART,"Amusement park ride, perhaps",4,28,6.25,0.25,False,4,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
7751,7/23/2021,KNEELS,"Initiates a proposal, maybe",4,27,6.0,0.0,False,4,False,False,False,0,False,1,0.14814814814814814,False,False,False,False,False,False,True,False,False
8083,7/18/2021,EMAILALERT,"Cause of a smartphone ding, perhaps",6,35,5.0,0.0,False,6,False,False,False,0,False,1,0.17142857142857143,False,False,False,False,False,False,True,False,False
8293,7/15/2021,TIP,"Single at a bar, perhaps",5,24,4.0,0.0,False,5,False,False,False,0,False,1,0.20833333333333334,False,False,False,False,False,False,True,False,False
8410,7/14/2021,EXTROVERT,"People person, perhaps",3,22,6.666666666666667,0.0,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
8984,7/6/2021,HOTBATH,"Relaxing soak before bed, maybe",5,31,5.4,0.0,False,5,False,False,False,0,False,1,0.16129032258064516,False,False,False,False,False,False,True,False,False
9164,7/4/2021,NERD,"One who's able to rattle off digits of pi, perhaps",10,50,4.1,0.0,False,11,False,False,False,0,False,1,0.22,False,False,False,False,False,False,True,False,False
9177,7/4/2021,SENDS,"Hits the paper airplane icon, perhaps",6,37,5.333333333333333,0.0,False,6,False,False,False,0,False,1,0.16216216216216217,False,False,False,False,False,False,True,False,False
9185,7/4/2021,TAP,"Pay with a chip-based credit card, perhaps",7,42,5.142857142857143,0.0,False,8,False,False,False,0,False,1,0.19047619047619047,False,False,False,False,False,False,True,False,False
9219,7/4/2021,AIRBED,"Sleeping spot for a guest, maybe",6,32,4.5,0.0,False,6,False,False,False,0,False,1,0.1875,False,False,False,False,False,False,True,False,False
9228,7/4/2021,RESEAT,"Move from aisle to window, maybe",6,32,4.5,0.0,False,6,False,False,False,0,False,1,0.1875,False,False,False,False,False,False,True,False,False
9364,7/1/2021,OWLET,"A little snowy, perhaps?",4,24,5.25,0.0,True,5,False,False,False,0,False,1,0.20833333333333334,False,False,False,False,False,False,True,False,False
9387,7/1/2021,PERK,"Access to an expense account, perhaps",6,37,5.333333333333333,0.16666666666666666,False,6,False,False,False,0,False,1,0.16216216216216217,False,False,False,False,False,False,True,False,False
9584,6/28/2021,REFILE,"Amend a tax return, perhaps",5,27,4.6,0.0,False,5,False,False,False,0,False,1,0.18518518518518517,False,False,False,False,False,False,True,False,False
9788,6/26/2021,LUTE,"Serenade need, perhaps",3,22,6.666666666666667,0.3333333333333333,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
9812,6/26/2021,STOMP,"Annoy downstairs neighbors, maybe",4,33,7.5,0.25,False,4,False,False,False,0,False,1,0.12121212121212122,False,False,False,False,False,False,True,False,False
9858,6/25/2021,HITANERVE,"Get overly personal, perhaps",4,28,6.25,0.25,False,4,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
9895,6/24/2021,NOMAD,"Caravan member, perhaps",3,23,7.0,0.3333333333333333,False,3,False,False,False,0,False,1,0.13043478260869565,False,False,False,False,False,False,True,False,False
10006,6/23/2021,RATE,"Give feedback on Yelp, maybe",5,28,4.8,0.2,False,5,False,False,False,0,False,1,0.17857142857142858,False,False,False,False,False,False,True,False,False
10027,6/23/2021,PONY,"One providing a ride at a fair, maybe",8,37,3.75,0.0,False,8,False,False,False,0,False,1,0.21621621621621623,False,False,False,False,False,False,True,False,False
10119,6/21/2021,INCH,"Distance between belt holes, maybe",5,34,6.0,0.0,False,5,False,False,False,0,False,1,0.14705882352941177,False,False,False,False,False,False,True,False,False
10190,6/20/2021,ALARM,"Dream interrupter, maybe",3,24,7.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
10256,6/20/2021,RESEAT,"Move to a new table, maybe",6,26,3.5,0.16666666666666666,False,6,False,False,False,0,False,1,0.23076923076923078,False,False,False,False,False,False,True,False,False
10600,6/15/2021,OASIS,"Just a mirage, maybe",4,20,4.25,0.0,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
10867,6/12/2021,BRIDE,"One with a train, maybe",5,23,3.8,0.0,False,5,False,False,False,0,False,1,0.21739130434782608,False,False,False,False,False,False,True,False,False
10890,6/12/2021,KEG,"Order for a big party, maybe",6,28,3.8333333333333335,0.0,False,6,False,False,False,0,False,1,0.21428571428571427,False,False,False,False,False,False,True,False,False
10915,6/12/2021,JURYRIG,"Hold together with duct tape, maybe",6,35,5.0,0.0,False,6,False,False,False,0,False,1,0.17142857142857143,False,False,False,False,False,False,True,False,False
11031,6/10/2021,KISS,"X in XXX, maybe",4,15,3.0,0.25,False,4,False,False,False,0,False,1,0.26666666666666666,False,False,False,False,False,False,True,False,False
11034,6/10/2021,TAC,"X in XXX, maybe",4,15,3.0,0.25,False,4,False,False,False,0,False,1,0.26666666666666666,False,False,False,False,False,False,True,False,False
11181,6/8/2021,HERO,"Footlong, maybe",2,15,7.0,0.5,False,2,False,False,False,0,False,1,0.13333333333333333,False,False,False,False,False,False,True,False,False
11284,6/6/2021,IPAD,"Tablet taken before going to bed, maybe",7,39,4.714285714285714,0.14285714285714285,False,7,False,False,False,0,False,1,0.1794871794871795,False,False,False,False,False,False,True,False,False
11318,6/6/2021,OMENS,"Eclipses and comets, perhaps",4,28,6.25,0.0,False,4,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
11370,6/6/2021,TRAP,"Sting, perhaps",2,14,6.5,0.0,False,2,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
11548,6/3/2021,DOUBLEOVER,"React to a gut punch, perhaps",6,29,4.0,0.16666666666666666,False,6,False,False,False,0,False,1,0.20689655172413793,False,False,False,False,False,False,True,False,False
12007,5/28/2021,ETCHES,"Leaves a grave impression, perhaps",5,34,6.0,0.0,False,5,False,False,False,0,False,1,0.14705882352941177,False,False,False,False,False,False,True,False,False
12075,5/27/2021,TAT,"Hand pic, maybe",3,15,4.333333333333333,0.3333333333333333,False,3,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
12164,5/26/2021,MELEE,"Hockey game interruption, maybe",4,31,7.0,0.25,False,4,False,False,False,0,False,1,0.12903225806451613,False,False,False,False,False,False,True,False,False
12466,5/22/2021,EVILEMPIRE,"Sci-fi enemy collective, perhaps",4,32,7.25,0.0,False,5,False,False,False,0,False,1,0.15625,False,False,False,False,False,False,True,False,False
12498,5/22/2021,PLATONIC,"Like a relationship with an ex, maybe",7,37,4.428571428571429,0.0,False,7,False,False,False,0,False,1,0.1891891891891892,False,False,False,False,False,False,True,False,False
12514,5/21/2021,DARE,"Impetus behind a prank, maybe",5,29,5.0,0.2,False,5,False,False,False,0,False,1,0.1724137931034483,False,False,False,False,False,False,True,False,False
12535,5/21/2021,NEWDO,"Makeover result, maybe",3,22,6.666666666666667,0.3333333333333333,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
12541,5/21/2021,DAMP,"Conducive to mold, maybe",4,24,5.25,0.0,False,4,False,False,False,0,False,1,0.16666666666666666,False,False,False,False,False,False,True,False,False
12555,5/21/2021,INACAST,"Recovering orthopedically, maybe",3,32,10.0,0.0,False,3,False,False,False,0,False,1,0.09375,False,False,False,False,False,False,True,False,False
12610,5/20/2021,III,"Jr.'s son, maybe",3,16,4.666666666666667,0.3333333333333333,False,5,False,False,False,1,False,1,0.3125,False,False,False,False,False,False,True,False,False
12967,5/16/2021,DUI,"Bad P.R. for a celeb, maybe",6,27,3.6666666666666665,0.3333333333333333,False,8,False,False,False,2,False,1,0.2962962962962963,False,False,False,False,False,False,True,False,False
13055,5/14/2021,GROTTO,"Site of an underground pool, maybe",6,34,4.833333333333333,0.16666666666666666,False,6,False,False,False,0,False,1,0.17647058823529413,False,False,False,False,False,False,True,False,False
13126,5/13/2021,IRAS,"C.D. holders, maybe",3,19,5.666666666666667,0.3333333333333333,False,5,False,False,False,2,False,1,0.2631578947368421,False,False,False,False,False,False,True,False,False
13245,5/12/2021,ALERT,"Well-caffeinated, perhaps",2,25,12.0,0.0,False,3,False,False,False,0,False,1,0.12,False,False,False,False,False,False,True,False,False
13906,5/3/2021,HOTBATH,"Relaxing soak after a long day, maybe",7,37,4.428571428571429,0.0,False,7,False,False,False,0,False,1,0.1891891891891892,False,False,False,False,False,False,True,False,False
13992,5/2/2021,MISRULE,"Cause for revolution, perhaps",4,29,6.5,0.0,False,4,False,False,False,0,False,1,0.13793103448275862,False,False,False,False,False,False,True,False,False
14050,5/2/2021,ALTER,"Take in, maybe",3,14,4.0,0.0,False,3,False,False,False,0,False,1,0.21428571428571427,False,False,False,False,False,False,True,False,False
14085,5/1/2021,MADAM,"Part of a diplomatic address, maybe",6,35,5.0,0.0,False,6,False,False,False,0,False,1,0.17142857142857143,False,False,False,False,False,False,True,False,False
14093,5/1/2021,TIECLASP,"Aid in preventing a soup stain, maybe",7,37,4.428571428571429,0.0,False,7,False,False,False,0,False,1,0.1891891891891892,False,False,False,False,False,False,True,False,False
14207,4/29/2021,WOOF,"Response to a knock at the door, perhaps",8,40,4.125,0.0,False,8,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
14376,4/27/2021,SUGARDADDY,"Wealthy boyfriend, perhaps",3,26,8.0,0.0,False,3,False,False,False,0,False,1,0.11538461538461539,False,False,False,False,False,False,True,False,False
14499,4/25/2021,TRIP,"Start off on the wrong foot, maybe?",7,35,4.142857142857143,0.14285714285714285,True,8,False,False,False,0,False,1,0.22857142857142856,False,False,False,False,False,False,True,False,False
14625,4/24/2021,REMOP,"Clean again, perhaps",3,20,6.0,0.3333333333333333,False,3,False,False,False,0,False,1,0.15,False,False,False,False,False,False,True,False,False
14654,4/24/2021,BARREL,"Amount of fun, maybe",4,20,4.25,0.0,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
14664,4/24/2021,SOBSTORY,"""Cry me a river!"" elicitor, perhaps",6,35,5.0,0.0,False,9,False,False,False,0,False,1,0.2571428571428571,False,False,False,False,False,False,True,False,False
14701,4/23/2021,MANCAVE,"Dad's hangout, maybe",3,20,6.0,0.3333333333333333,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
14710,4/23/2021,BREAK,"Snap, crack or pop, maybe",5,25,4.2,0.2,False,6,False,False,False,0,False,2,0.24,False,False,False,False,False,False,True,False,False
14736,4/23/2021,IVIED,"Like the walls of an old church, maybe",8,38,3.875,0.0,False,8,False,False,False,0,False,1,0.21052631578947367,False,False,False,False,False,False,True,False,False
14829,4/21/2021,RECLAIMED,"Like old wood in new furniture, maybe",7,37,4.428571428571429,0.0,False,7,False,False,False,0,False,1,0.1891891891891892,False,False,False,False,False,False,True,False,False
15059,4/18/2021,PENPAL,"Foreign correspondent, maybe",3,28,8.666666666666666,0.3333333333333333,False,3,False,False,False,0,False,1,0.10714285714285714,False,False,False,False,False,False,True,False,False
15091,4/18/2021,RASPED,"Did a Don Corleone impression, maybe",6,36,5.166666666666667,0.5,False,6,False,False,False,0,False,1,0.16666666666666666,False,False,False,False,False,False,True,False,False
15187,4/17/2021,FOODCOMA,"Thanksgiving aftermath, maybe",3,29,9.0,0.0,False,3,False,False,False,0,False,1,0.10344827586206896,False,False,False,False,False,False,True,False,False
15254,4/16/2021,HUSH,"Reaction to someone tapping a microphone, maybe",7,47,5.857142857142857,0.0,False,7,False,False,False,0,False,1,0.14893617021276595,False,False,False,False,False,False,True,False,False
15278,4/16/2021,PUNCHIN,"Start working, perhaps",3,22,6.666666666666667,0.3333333333333333,False,3,False,False,False,0,False,1,0.13636363636363635,False,False,False,False,False,False,True,False,False
15451,4/13/2021,WSJ,"C.E.O.'s reading, maybe, in brief",5,33,5.8,0.2,False,10,False,False,False,3,False,2,0.30303030303030304,False,False,False,False,False,False,True,False,False
15763,4/10/2021,DOLAPS,"Exercise at a Y, maybe",5,22,3.6,0.2,False,5,False,False,False,0,False,1,0.22727272727272727,False,False,False,False,False,False,True,False,False
15771,4/10/2021,CAPN,"Cook's handle, maybe",3,20,6.0,0.3333333333333333,False,4,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
15851,4/8/2021,SIR,"Title for the entitled, maybe",5,29,5.0,0.0,False,5,False,False,False,0,False,1,0.1724137931034483,False,False,False,False,False,False,True,False,False
15922,4/7/2021,YSL,"Monogram on an expensive handbag, maybe",6,39,5.666666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.15384615384615385,False,False,False,False,False,False,True,False,False
16228,4/4/2021,FOGIN,"Keep from flying, maybe",4,23,5.0,0.0,False,4,False,False,False,0,False,1,0.17391304347826086,False,False,False,False,False,False,True,False,False
16234,4/4/2021,SIXAM,"Paper route hour, maybe",4,23,5.0,0.25,False,4,False,False,False,0,False,1,0.17391304347826086,False,False,False,False,False,False,True,False,False
16348,4/2/2021,USMAP,"Hanging on a classroom wall, maybe",6,34,4.833333333333333,0.0,False,6,False,False,False,0,False,1,0.17647058823529413,False,False,False,False,False,False,True,False,False
16402,4/1/2021,MBA,"Firm requirement, maybe",3,23,7.0,0.0,False,3,False,False,False,0,False,1,0.13043478260869565,False,False,False,False,False,False,True,False,False
16877,3/26/2021,ASLEEP,"Like a tingly foot, maybe",5,25,4.2,0.0,False,5,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
16963,3/25/2021,SNORT,"Reaction to hilarity, maybe",4,27,6.0,0.0,False,4,False,False,False,0,False,1,0.14814814814814814,False,False,False,False,False,False,True,False,False
16968,3/25/2021,ARF,"Intruder warning, maybe",3,23,7.0,0.3333333333333333,False,3,False,False,False,0,False,1,0.13043478260869565,False,False,False,False,False,False,True,False,False
17284,3/21/2021,PTA,"Book fair organizer, maybe, in brief",6,36,5.166666666666667,0.16666666666666666,False,7,False,False,False,0,False,2,0.19444444444444445,False,False,False,False,False,False,True,False,False
17391,3/20/2021,STARE,"React to a public scene, maybe",6,30,4.166666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
17498,3/18/2021,SOOTY,"Like Santa after entering a house, perhaps",7,42,5.142857142857143,0.14285714285714285,False,7,False,False,False,0,False,1,0.16666666666666666,False,False,False,False,False,False,True,False,False
17592,3/17/2021,NAN,"Bread served with dal, maybe",5,28,4.8,0.2,False,5,False,False,False,0,False,1,0.17857142857142858,False,False,False,False,False,False,True,False,False
17605,3/17/2021,NET,"Dot follower, maybe",3,19,5.666666666666667,0.3333333333333333,False,3,False,False,False,0,False,1,0.15789473684210525,False,False,False,False,False,False,True,False,False
17642,3/16/2021,BOREDOM,"Reason to draw a doodle, maybe",6,30,4.166666666666667,0.16666666666666666,False,6,False,False,False,0,False,1,0.2,False,False,False,False,False,False,True,False,False
17766,3/14/2021,CELS,"Goofy images, perhaps?",3,22,6.666666666666667,0.3333333333333333,True,4,False,False,False,0,False,1,0.18181818181818182,False,False,False,False,False,False,True,False,False
17840,3/14/2021,ANTE,"Toss in a chip, maybe",5,21,3.4,0.0,False,5,False,False,False,0,False,1,0.23809523809523808,False,False,False,False,False,False,True,False,False
18070,3/11/2021,NERDS,"Bookworms, maybe",2,16,7.5,0.0,False,2,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
18130,3/10/2021,SLAT,"Strip in the bedroom, maybe",5,27,4.6,0.2,False,5,False,False,False,0,False,1,0.18518518518518517,False,False,False,False,False,False,True,False,False
18471,3/6/2021,RAPS,"Freestyles, perhaps",2,19,9.0,0.0,False,2,False,False,False,0,False,1,0.10526315789473684,False,False,False,False,False,False,True,False,False
18599,3/4/2021,CDS,"Stack on a rack, maybe",5,22,3.6,0.0,False,5,False,False,False,0,False,1,0.22727272727272727,False,False,False,False,False,False,True,False,False
18602,3/4/2021,SLOB,"Annoying roommate, maybe",3,24,7.333333333333333,0.0,False,3,False,False,False,0,False,1,0.125,False,False,False,False,False,False,True,False,False
18702,3/2/2021,EMO,"Like a brooding teen, maybe",5,27,4.6,0.0,False,5,False,False,False,0,False,1,0.18518518518518517,False,False,False,False,False,False,True,False,False
18770,3/1/2021,ECHO,"Sound heard in a long hallway, maybe",7,36,4.285714285714286,0.14285714285714285,False,7,False,False,False,0,False,1,0.19444444444444445,False,False,False,False,False,False,True,False,False
18783,3/1/2021,SNORE,"Wake others up while you sleep, perhaps",7,39,4.714285714285714,0.0,False,7,False,False,False,0,False,1,0.1794871794871795,False,False,False,False,False,False,True,False,False
19008,2/27/2021,BESTSELLER,"#1 on a list, maybe",5,19,3.0,0.0,False,7,False,False,False,0,False,1,0.3157894736842105,False,False,False,False,False,False,True,False,False
19125,2/25/2021,BLTS,"Alternatives to melts, maybe",4,28,6.25,0.0,False,4,False,False,False,0,False,1,0.14285714285714285,False,False,False,False,False,False,True,False,False
