Clue,Expected Answer,Wikipedia Page Title,Title Match,Content Match,Searched Wikipedia Titles
Inits. for a theatrical hit,sro,No Title Match,False,False,"List of films produced and released by Viva Films, List of Philippine films of 2024, Ilocano people, Nina Girado"
"Send away, in a way",deport,Georgina Sparks,False,True,"Send Away the Tigers, Send In the Clowns, Milky Way, Shiluach haken, No Way Out (1987 film), Sabrina Carpenter, How to Get Away with Murder, Avatar: The Way of Water, The Way of Kings, A Dog's Way Home, I (Almost) Got Away with It, Reaction (album), Carlito's Way, Spider-Man: No Way Home, WebSocket, Flushed Away, Kathleen Turner, Two-way communication, Ryan Cabrera, List of Home and Away characters introduced in 2024, List of How to Get Away with Murder characters, The Children's Train, It Takes Two (video game), Single-page application, The Vulture and the Little Girl, Lady Gaga, Remittance man, 2024 EFL Cup final, How to Get Away with Murder season 4, Cop Out (2010 film), Georgina Sparks, The Dark Forest, Mark Twitchell, Mohamed Salah, Kevin Samuels, How to Get Away with Murder season 6, Manic Street Preachers, Every Which Way but Loose, The Way of the Gun, List of Home and Away characters introduced in 1988, Skin (2018 feature film), Instagram, No Way Out of Texas: In Your House, The Return (2024 film), Jai Singh I, Asynchronous Server Gateway Interface, Buffy the Vampire Slayer season 6, Relay network, Kaoru Mitoma, The Way International"
Accomplished the task,didit,No Title Match,False,False,"Project management, Article One of the United States Constitution, George W. Bush, Tet Offensive, Artificial intelligence, Reformation, Lithuania, Domitian, John Stuart Mill, Hongwu Emperor, Augustus, Antoni Gaudí, Karl Marx, Nakba, Operations management, Revolver (Beatles album), United Kingdom, Andrew Johnson, Mizo Chieftainship, United States Air Forces in Europe – Air Forces Africa, Israel, Gys Hofmeyr, Rattanakosin Kingdom (1782–1932), Joko Widodo, Russian invasion of Ukraine, Timeline of disability rights in the United States, Economy of North Korea, Maharishi Mahesh Yogi, Communism, Ahom kingdom, Italian Americans, Scientology beliefs and practices, Ustaše, Denmark, Ion Antonescu, Druze, Enoch Powell, Imperial Roman army, Human rights in the United States, Illegal, unreported and unregulated fishing, Argentina, Capitalism, List of Assassin's Creed characters, Anschluss, Lee Kuan Yew, History of South Africa, Glossary of nautical terms (A–L), Turkish War of Independence, One Piece season 20, History of France's civil nuclear program, Time management, List, Tom Hollander, Assassination of Leon Trotsky, Task analysis, Task (project management), Heracles, Cinderella, Labours of Hercules, Procrastination, Betsson, Operation Gothic Serpent, Task switching (psychology), Fictional language, Cron, Errand, Task (computing), One Hundred and Sixth Amendment of the Constitution of India, Hafez, Panel saw, Fran Dunphy, Executive dysfunction, The Blue Light (1932 film), Ancona, Bidhi Chand, Radislav Krstić, RENEA, Serpent Squad, Harold Cole, Steel (John Henry Irons), Stalin (1992 film), Awesome Kong, Lavinia Fisher, Generative pre-trained transformer, Dhanvantari, Border–Gavaskar Trophy, Bessie Anderson Stanley, Pinoy Big Brother: Celebrity Edition 2, FEMA Urban Search and Rescue Task Force, USS Augusta (CA-31), License to Live, Definition of man, Greater Napanee, Ranch rodeo, Tunisia at the FIFA World Cup, Dakshineswar Kali Temple, Survivorman, Bisquik, Ukraine"
What wiggly lines in comics may represent,odors,No Title Match,False,False,"Feynman diagram, Wham-O, Lenticular printing, List of Fables characters, Six Flags Great America, Brooklyn Immersionists, Anaglyph 3D, Brides of Dracula, List of Dick Tracy characters, Gag Concert, September 1964"
Cause of boom and bust?,tnt,No Title Match,False,False,"Business cycle, Mid-20th century baby boom, Dot-com bubble, The Housing Boom and Bust, Bubble Fiction: Boom or Bust, Baby boom, Real-estate bubble, Baby boomers, Tax cut, History of private equity and venture capital, COVID-19 pandemic baby bust, Austrian business cycle theory, History of Seattle, Arlit, Just Cause 2, Malinvestment, Cryptocurrency bubble, Rhyolite, Nevada, Securities and Exchange Commission (Nigeria), Causes of the Great Recession, Phil Spencer (television personality), Private equity in the 1990s, Comic book collecting, Harry Dent, D20 System, Chicago plan, History of Norsk Data, Julis-Rabinowitz Center for Public Policy and Finance, Kuznets swing, History of Nevada, Basin, Montana, MythBusters (2004 season), Southern California real estate boom of the 1880s, Florida land boom of the 1920s, History of roller derby, History of New York City (1978–present), America: The Story of Us, Adriana Sklenaříková, Millennials, Pithole, Pennsylvania, Terry Jones, Dutch disease, Esther Hobart Morris, Californian anchovy, Forced saving, Man camp, Boomtown, Aerial work platform, Belfield, North Dakota, Executive Order 6102"
Convene for another session,remeet,No Title Match,False,False,"Hellenic Parliament, Second Vatican Council, Bundestag, Lame-duck session, Anti-Fascist Council for the National Liberation of Yugoslavia, Court of Session, Utah State Legislature, Impeachment of Sara Duterte, Joint session of the United States Congress, 8th session of the Central Committee of the League of Communists of Serbia, 2003 Ontario general election, Third session of the United Nations General Assembly, Standing Committee of the National People's Congress, California State Legislature, 2019–2020 session, Sixty-seventh session of the United Nations General Assembly, Confederate States Congress, Reichstag (Nazi Germany), Governor of Georgia, Chamber of Deputies (Italy), 2025 United States Electoral College vote count, President of Mexico, 89th Texas Legislature, 2024–2025 Georgian political crisis, 25th Hawaii Territorial Legislature, Central Committee of the Chinese Communist Party, California State Legislature, 2013 papal conclave, Socialist Unity Party of Germany, Anna V. Eskamani, United States Senate, 2020 Georgia election investigation, State Great Khural, Governor of Kentucky, 19th Congress of the Philippines, Public Facilities Privacy & Security Act, President of the United States, President of France, Rajya Sabha, Council of Trent, R (Miller) v The Prime Minister and Cherry v Advocate General for Scotland, 71st Oregon Legislative Assembly, Estonian Declaration of Independence, World Economic Forum, Federal government of the United States, 1st Congress of the Commonwealth of the Philippines, Continental Congress, Russian-occupied territories of Ukraine, Sustainable Development Goals, Good Parliament, WHO-convened Global Study of Origins of SARS-CoV-2, Sessional GP, Washington State Legislature"
Up to it,able,How to Solve It,False,True,"Up to, Got to Give It Up, Up to eleven, Pump It Up!, Lick It Up, Live It Up, Set It Up, Shake It Up, Pump It Up, Give It Up, Get Up with It, Toss It Up, Turn It Up, Leave It to Beaver, Give It Up to Me, Tear It Up, Break It Up, Up&Up, Start It Up (Shake It Up), Up, Up and Away (song), Light It Up, Up in It, Stir It Up, Rip It Up, Keep It Up, Setting up to fail, Back It Up, Up to Here, Up for It, Mess It Up, Turn It Up (film), Turn It Up (Remix) / Fire It Up, Up, Up and Away, Fire It Up, Gotta Kick It Up!, Is It Wrong to Try to Pick Up Girls in a Dungeon?, Living It Up (disambiguation), Pick It Up, Wind It Up, Do It to It, Look It Up (song), Start It Up, Shake It Up (American TV series), Break Up to Make Up, Leave It Up to Me, Pour It Up, Step It Up, Hook-up, How to Solve It"
What's frequently used by poets?,oft,BDSM,False,True,"Metaphysical poets, Beat Generation, T. S. Eliot, Affrilachia, The Gorge (film), Ted Hughes, Poetry slam, Poetry, E. E. Cummings, Robert Frost, Dactylic hexameter, Kurt Cobain, Texians, William Wordsworth, Deus ex machina, Negative capability, Elegiac couplet, Poet laureate, Sapphic stanza in Polish poetry, The Frontiers of Criticism, Sappho, Homer, Dithyramb, Beatnik, Harry Northup, Courtly love, Howl (poem), Sonnet, Hexameter, Dante Alighieri, Duck test, To a Mouse, Chappell Roan, C. S. Lewis, Nigger, Les Murray (poet), William S. Burroughs, Audre Lorde, Sapphic stanza, English poetry, Jane Fonda, Pacuvius, English literature, Collaborative poetry, Archibald Lampman, Bracket, United States, Recreational use of nitrous oxide, Christopher Reeve, BDSM"
"""To quote yours truly ...""",asisay,No Title Match,False,False,"List of Latin phrases (full), The Sun Also Rises, List of Yours Truly, Johnny Dollar episodes, Snow Crash, Ariana Grande, Apostrophe, Farewell Sermon, Off with Their Heads (album), When the Lights Go On Again, Steak Diane, J. Cole, Friar Park, Mummy: The Resurrection, List of Dexter characters, Spanish personal pronouns, IOS 18, 2004 Democratic National Convention speakers, Pun, Verse of the mawadda, I, Carumbus, Royal Reserve Regiments, Transformers: Dark of the Moon, NASA (song), The Cask of Amontillado, Epistolary novel, The Shoop Shoop Song (It's in His Kiss), Disciple whom Jesus loved, Edmund Burke, Amarna letter EA 100, 2024 Georgian parliamentary election, Lionel Messi, Statue of Michael Jordan, Bertrand Russell, Jessica Fletcher, Phyllis Hyman, Sublime (band), Crossword, Louise of France, Impact and legacy of Illmatic, List of Bubble Gang recurring characters and sketches, Law of attraction (New Thought), George Galloway, Orson Welles, Tropic of Cancer (novel), James True, List of recurring The Simpsons characters, Three X Sisters, Ecumenism, Science fiction, Robert Louis Stevenson, Pee Wee Crayton"
___ dish,petri,Petri dish,True,True,"The Dish, Dish Network, Dish TV, Raclette, Petri dish, Chicago-style pizza, Khichdi (dish), Aspic, Satellite dish, National dish, Dish (food), Chafing dish, Curry, Gratin, Chateaubriand (dish), Cold dish, Pilaf, Feijoada (Brazilian dish), Potluck, Cordon bleu (dish), Congee, Chahan (dish), Casserole, Tamale, Fried rice, Dish (band), Biryani, Rasam (dish), Jambalaya, Culinary Class Wars, Tinga (dish), Pom (dish), Korean cuisine, Parabolic antenna, Poke (dish), Stanford Dish, Sambar (dish), French toast, Loco moco, Cachopo (dish), Tehri (dish), Manchurian (dish), Vietnamese cuisine, Carbonara, Chili con carne, Deep Dish, Brisket, Shakshouka, Kidney dish"
Heath,moor,Kings Heath,False,True,"Lüneburg Heath, Small Heath, Mousehold Heath, Ericaceae, Surrey Heath, Hampstead Heath, Heath hen, Hounslow Heath, Battle of Blore Heath, Locks Heath, Heath fritillary, Cradley Heath, Canford Heath, Martlesham Heath, Heath (disambiguation), Heath mouse, Clyst Heath, Elvetham Heath, Penenden Heath, Oxshott Heath and Woods, Lowfield Heath, Lowland heath, Rostock Heath, Weybridge Heath, West Heath, West Midlands, Knettishall Heath, Epacris impressa, Holt Heath, Dorset, Heath beekeeping, Lüneburg Heath Nature Reserve, Chobham Common, Worgret Heath, Bostall Heath and Woods, Bernards Heath, Sound Heath, Erica (plant), Hem Heath Woods, Mardley Heath, Heidschnucke, Daboecia, Dartford Heath, Chatley Heath, Warmfield cum Heath, Chudleigh Knighton Heath, Chalk heath, Kelling Heath, Bovey Heath, Heath End, Buckinghamshire, Tiptree Heath, Edward Heath, Heath Ledger, Ziggy Heath, Manchester United F.C., Phil Heath, Walker's Heath, Birmingham City F.C., Heath Slater, Tobin Heath, Michael Heath, Heath bar, Heath forest, Spencer Heath, Neville Heath, Dodie Heath, Cuthbert Heath, Dave Heath, Simon Heath, Holton Heath, Erica carnea, Thornton Heath, Gangrel, W. Heath Robinson, Tina Heath, Robert Galbraith Heath, Percy Heath, Stan Heath, Darren Heath, Kings Heath, Haywards Heath, Henry Heath, Jim Heath, Bill Heath, Chris Heath, Heath Herring, James Heath, Heath Creek, Fläming Heath, Adrian Heath, Heath (musician)"
Desperate,doordie,No Title Match,False,False,"Desperate Housewives, Desperate Man, List of Desperate Housewives characters, Desperately, Desperate Living, Desperate Housewives season 1, The Desperate Hours, Desperate Women, The Desperate Hour, Desperate Mrs. Seonju, List of Desperate Housewives episodes, The Killers, Desperate Characters, Nicollette Sheridan, Desperate Measures, Teri Hatcher, A Desperate Adventure, Desperate Mission, Desperate Lies, Desperate Riders, HMS Desperate, The Desperate Bicycles, Paul Young (Desperate Housewives), Desperate for Magic, Desperate Remedies, Desperate Trails, Desperate Dan, Desperate Hours, Desperate Measures (film), Desperate Housewives season 8, Desperate Housewives Africa, Desperate (film), Some Desperate Glory, Some Desperate Glory (novel), Blood of the Dragon (film), Desperate Scousewives, Jesse Metcalfe, Desperate Characters (novel), Desperate Romantics, Desperate Optimists, Desperate but Not Serious, Marc Cherry, Desperate Straights, The Desperate Hours (1967 film), Desperate (Divinyls album), Desperate Journalist, Desperate Housewives season 3, Decadent & Desperate, Julie Mayer (Desperate Housewives)"
Tries for a role,reads,Mickey 17,False,True,"Sonny Landham, Michael Urie, Sexual roleplay, Role-playing video game, Critical Role, Role Models, Gender role, Robert Morse, Varalaxmi Sarathkumar, Role Model (singer), Albert Sauer, Günther Tamaschke, Tabletop role-playing game, Greta Bösel, Sneha (actress), Fritz Suhren, Miles Teller, Live action role-playing game, Cyberpunk (role-playing game), Bobby Deol, Milo Ventimiglia, The Kid (2019 film), Action role-playing game, Rebecca Rittenhouse, Role Play, Bluto, Raging Bull, John Cho, Matt Lanter, Rifts (role-playing game), Timothée Chalamet, Tim Matheson, Parker Posey, Richie Rich's Christmas Wish, John Amos, Campaign (gaming), Sabrina Carpenter, Brett Dier, History of Eastern role-playing video games, Jackie Earle Haley, Christopher Reeve, Mickey 17, Comali, Richard Harris, Nicholas Hoult, Michael Keaton, Michael Caine, Edd Byrnes, Underworld (film series)"
S.F. metro,muni,List of cities and municipalities in the Philippines,True,True,"List of colleges and universities in Metro Manila, List of S&P 500 companies, Metro Transit (Minnesota), Metro 2033 (novel), F Liner, Like That (Future, Metro Boomin and Kendrick Lamar song), Copenhagen Metro, List of barangays of Metro Manila, Porto Metro, S-train (Copenhagen), Metro Atlanta, İzmir Metro, F Market & Wharves, Line F (Buenos Aires Underground), We Still Don't Trust You, Louisville, Kentucky, List of colleges and universities in Metro Cebu, Metro Boomin, Phoenix metropolitan area, Guy Ritchie's The Covenant, Stockholm Metro, List of Filipino male actors, Metro-Goldwyn-Mayer, List of hip-hop musicians, Metro FC (New Zealand), List of interments at Forest Lawn Memorial Park (Hollywood Hills), Dubai Metro, Rapid transit, Tokyo Metro Yūrakuchō Line, Metro Manila, Hyderabad Metro, S. J. Suryah, List of cities and municipalities in the Philippines, List of Washington Metro stations, Muni Metro, List of Chennai Metro stations, Metro (1997 film), Chennai Metro, Elevated railway, Castro station, Istanbul Metro, List of ethnic slurs, São Paulo Metro, Demographics of Atlanta, Marikina Valley fault system, Green Line (Washington Metro), List of Wikipedia mobile applications, F Line, Tokyo Metro, List of towns and cities with 100,000 or more inhabitants/country: P-Q-R-S"
"""Hey ... over here!""",psst,No Title Match,False,False,"Hey, Look Me Over, Over Here!, Thomas Pynchon, Don't Dream It's Over, Midnight Cowboy, Hey Sinamika, The Roof Is on Fire, Hey Jude, Hey Arnold!, Love Like Pacific Ocean, Hey Brother, Short Bus (album), Hey Jealousy, 5 Seconds of Summer, Ramones, Basil Joseph, Kansas City (Leiber and Stoller song), Pink Floyd, Here document, Becoming Led Zeppelin, Girls Just Want to Have Fun, Hey, Hey, It's Esther Blueburger, Trouble Over Here, Hey Daddy (Daddy's Home), Pete Duel, Hey Ash, Whatcha Playin'?, Ashly Burch, David Gilmour, Hey America (album), Rocketship (band), Paul & Paula, Christine McGuinness, Jo Beth Taylor, The Delfonics, List of Hindi songs recorded by Udit Narayan, Rebecca Black, Kate Hudson, Age and health concerns about Donald Trump, 2024 in film, Terrifier, Buddy Roberts, The Beatles at Shea Stadium, Trouble Funk, The Beatles singles discography, Guruvayoor Ambalanadayil, Pink Floyd discography, 2025 in American television, Moon shoes"
Derby lengths,metres,Indian Derby,False,True,"Rich Strike, Forever Young (horse), Kentucky Derby, Sham (horse), Epsom Derby, Justify (horse), 1973 Kentucky Derby, 2002 Kentucky Derby, Smarty Jones, Triple Crown of Thoroughbred Racing (United States), Kincsem, Secretariat (horse), 2004 Kentucky Derby, Native Dancer, Sierra Leone (horse), Northern Dancer, Seattle Slew, Indian Derby, 2005 Kentucky Derby, Affirmed, American Pharoah, Auguste Rodin (horse), Bold Ruler, 2009 Kentucky Derby, Fierceness, Sunday Silence, Florida Derby, 2006 Kentucky Derby, 1989 Kentucky Derby, Maximum Security (horse), Epicenter (horse), Shergar, Into Mischief, Galileo (horse), 2024 Kentucky Derby, 1875 Kentucky Derby, Calvin Borel, 2014 Kentucky Derby, Mage (horse), Chic Anderson, Mandaloun (horse), 1943 Kentucky Derby, Count Fleet, 2011 Kentucky Derby, Whirlaway, Classic Empire, Roller derby, Slip Anchor, Sea the Stars, 2012 Kentucky Derby"
Equivalent of the Face With Tears of Joy emoji,lol,LOL,True,True,"Emoticon, LOL, XXXTentacion, Manga iconography, Unicode and HTML, Reactions to the death of Elizabeth II, Glossary of video game terms, Gaza war protests, Cultural impact of Beyoncé, SMS language"
Give a buzz,thrill,List of Yellowstone episodes,False,True,"Buzz Aldrin, Mad honey, Buzz Lightyear, Volkswagen ID. Buzz, Sambuca, New York Buzz, The Giver, Lightyear (film), Major League: Back to the Minors, Buzz Watson, Buzz Lightyear's Space Ranger Spin, Buzz Sawyer, The Buzz on Maggie, Buzzword, Buzz Lightyear of Star Command, 2008 New York Buzz season, Buzz Lightyear of Star Command: The Adventure Begins, Bee and PuppyCat, Natasha Allegri, Buzz (mascot), Buzz (Guardian album), Yahoo Buzz, BuzzFeed Unsolved, Toy Story, Buzz!: Quiz World, Sarah Silverman, San Diego Aviators, List of Toy Story characters, United States, Pete Davidson, Hurdy-gurdy, Volodymyr Zelenskyy, Black-faced grassquit, Kendrick Lamar, List of Young Sheldon episodes, The White Lotus season 2, Toy Story 2: Buzz Lightyear to the Rescue, Neil Armstrong, Drew Starkey, Woody Woodpecker Goes to Camp, BuzzTracker, Moon, Ghosts (American TV series), Buzz and Tell, Moonwalk (dance), Kurt Cobain, Buzz FM, Characters of the Marvel Cinematic Universe: A–L, List of The Rookie episodes, List of Yellowstone episodes"
Inconvenience,imposeon,No Title Match,False,False,"At Your Inconvenience, Just a Little Inconvenience, At Your Inconvenience (song), Marriage of Inconvenience, Professor Green, Tallahassee 7000, Break of gauge, Nuisance, Keyboard protector, Registered user, Leather Goddesses of Phobos 2: Gas Pump Girls Meet the Pulsating Inconvenience from Planet X!, Regional Justice Center, Bedsit, Product key, Ruth Williams Khama, Ramdas Gandhi, Demand response, Le Plaisir (et ses petits tracas), Sierra Kay, Punctuality, Switching barriers, An Argument Against Abolishing Christianity, Rockfleet Castle, Face masks during the COVID-19 pandemic, Proxy server, Benoni Defense, Read All About It (song), Somerset v Stewart, Daylight saving time, Ronwaldo Martin, Anal fistula, Duty-free shop, 2020 United States federal government data breach, LATAM Airlines Flight 800, Formal wear, Tesla Autopilot, List of My Happy Marriage characters, Astrid Chan"
