Date,Word,Clue,Detected_Language
7/7/2013,TORO,"15-Across, in Spanish",en
6/19/2013,NATO,Grp. whose initials in French are the reverse of its English initials,en
5/24/2013,MAS,"___ o menos (basically, in Spanish)",en
4/21/2013,ERAT,"""It was,"" in Latin",en
4/14/2013,ESTAN,"""They are,"" in Spanish class",en
1/6/2013,DECIR,"To say, in Spanish",tl
12/17/2012,BIEN,"""Tres ___"" (""Very well,"" in French)",en
11/1/2012,ARGENTO,"Composer Dominick whose name means ""silver"" in Italian",en
10/29/2012,DIO,"God, in Italian",en
10/14/2012,WALD,"Forest, in Germany",en
6/5/2012,NEU,"Opposite of old, in Germany",en
6/4/2012,IDEST,"That is, in Latin",en
5/16/2012,RARA,Hard to find in Latin?,en
4/3/2012,NEU,"Opposite of old, in Germany",en
3/27/2012,PRIMUS,"First, in Latin",de
2/20/2012,MONDO,"World, in Italian",en
2/6/2012,ABOVO,"From the beginning, in Latin",en
1/29/2012,EINE,One in Germany,en
1/29/2012,HAUS,Place to live in Germany,en
12/20/2011,SANCTI,"Holy, in Latin phrases",en
12/8/2011,EIN,A in German class?,en
12/4/2011,MOREL,Food item prized in French cuisine,en
9/18/2011,ICH,First person in Germany?,en
8/6/2011,EINE,One in Germany,en
7/22/2011,ECCE,"""Look!,"" in Latin",af
5/31/2011,NACHT,After-dark time in Germany,en
4/9/2011,WOLFBLITZER,Emmy-winning U.S. journalist born in Germany,en
1/30/2011,ETAT,State in French,de
11/13/2010,PASSIM,Footnote word in Latin,af
11/7/2010,NEU,Popular word in German product packaging,en
10/20/2010,SEL,"Partner of poivre, in French seasoning",en
10/5/2010,SKAT,Card game popular in Germany,en
9/16/2010,AMO,"""Ti ___"" (""I love you,"" in Italian)",en
7/26/2010,MAS,"""No ___!"" (""Uncle!,"" in Spanish)",en
5/7/2010,ANDREA,First name that's feminine in English and masculine in Italian,en
5/4/2010,AMAT,"""He loves,"" in Latin",en
4/25/2010,AMO,"""I love,"" in Latin",it
4/5/2010,AMO,"""I love,"" in Latin",it
2/7/2010,ADREM,"Pertinent, in Latin",de
1/26/2010,ADOLF,Name widely avoided in Germany,en
1/4/2010,ABOVO,"From the beginning, in Latin",en
1/3/2010,EIN,A in German class,en
10/29/2009,NOTRE,First word of the Lord's Prayer in French,en
9/30/2009,EIN,"""A"" in German 101?",en
8/16/2009,NEU,Big word in German ads,af
7/24/2009,CANTABILE,"Musical direction that means ""lyrical"" in Italian",en
7/15/2009,ELREY,Kingly title in Spanish,en
7/15/2009,REX,Kingly title in Latin,en
4/26/2009,EINE,A in German class?,en
3/30/2009,ANNI,"Years, in Latin",en
2/19/2009,ULNA,"Bone meaning ""elbow"" in Latin",en
2/19/2009,HABLA,Speak in Spanish,en
1/29/2009,MME,Abbr. in French mail,en
12/31/2008,TEAMO,"""I love you,"" in Spanish",en
11/2/2008,ALII,"Others, in Latin",en
7/21/2008,MAS,"""No ___!"" (""Stop!,"" in Spanish)",en
5/15/2008,DOMINI,"Mater ___ (Mary, in Latin prayers)",en
5/10/2008,RARA,Hard to find in Latin?,en
5/5/2008,AURAE,"Airs, in Latin",en
4/10/2008,MIR,"Peace, in Russian",en
1/24/2008,AVANTI,"Classic Studebaker whose name means ""forward"" in Italian",en
1/15/2008,OTRA,"___ vez (again, in Spanish)",en
12/9/2007,EIFFEL,Towering figure in French engineering,en
6/20/2007,ENDE,"Conclusion, in Germany",en
6/17/2007,MENSA,"""Stupid,"" in Spanish(!)",en
4/1/2007,ULNA,"Bone that means ""elbow"" in Latin",en
3/31/2007,PERE,"Senior, in French names",en
3/18/2007,RECUE,"Idee ___ (accepted idea, in French)",en
3/1/2007,ALLE,"Everything, in Germany",en
2/21/2007,ORA,"Time, in Italian",en
2/19/2007,TEAMO,"""I love you,"" in Spanish",en
2/1/2007,SINE,"___ mora (without delay, in Latin)",en
1/28/2007,OTRA,"___ vez (again, in Spanish)",en
10/9/2006,AURAE,"Airs, in Latin",en
10/7/2006,GRANDE,It's big in Latin America,en
10/4/2006,IHEAR,"What ""audio"" means in Latin",en
9/21/2006,GRAZIE,in Italian,en
9/21/2006,DANKE,in German,de
9/21/2006,MERCI,in French,de
8/22/2006,ERDE,"Our 6-Down, in Germany",en
8/21/2006,POR,"___ favor (please, in Spanish)",en
5/28/2006,MIR,45-Down in Russian,en
5/14/2006,CARP,Traditional Christmas Eve meal in Germany,en
5/1/2006,IDEST,"That is, in Latin",en
4/5/2006,ICH,First person in Germany,en
8/4/2005,ALIA,"Others, in Latin",en
3/3/2005,ALII,"Others, in Latin",en
2/5/2005,ENGEL,"Winged being, in Germany",de
10/23/2004,TETES,They may be counted in French class,en
9/18/2004,AVES,"Birds, in Latin",en
7/22/2004,ALII,"Others, in Latin",en
7/18/2004,TILDES,Marks in Spanish class,en
7/10/2004,PIERROT,Male character in French pantomime,en
5/21/2004,NEVADA,"Place name that in Spanish means ""covered in snow""",en
12/25/2003,BLITZEN,"Lightning bolts, in Germany",en
10/27/2003,MILANO,Certain Italian-style cookie,en
10/8/2003,RUBLE,Wager in Russian roulette?,en
9/30/2003,PERE,"""Senior"" in French names",en
5/30/2003,COQ,Meat in French cuisine,en
5/21/2003,NEU,"Opposite of alt, in German",en
4/19/2003,TILDES,Marks in Spanish class,en
2/14/2003,TORRES,Battlements in Spanish castles,en
9/7/2002,NEU,It's not used in Germany,en
7/7/2002,ICH,First person in Germany?,en
6/27/2002,ITER,Passage in Latin,en
6/6/2002,DREI,"2 + 1, in Germany",en
4/21/2002,MASC,"Like ""Spanish"" in Spanish: Abbr.",en
4/17/2002,UBER,Over in Germany,de
2/26/2002,OTRA,"___ vez (again, in Spanish)",en
1/31/2001,CHEZ,Word in French restaurant names,en
12/25/2000,CHEZ,Word in French restaurant names,en
11/10/2000,SITKA,Chief town in Russian America,en
5/7/2000,NEIN,It's declining in Germany,en
4/24/2000,IDEST,"That is, in Latin",en
7/9/1999,ITER,Passage in Latin,en
4/22/1999,ALII,"Others, in Latin",en
1/7/1999,DATIVE,Case in Latin,en
11/19/1998,FREI,"At no cost, in Germany",en
9/27/1998,UBER,Over in Germany,de
9/6/1998,DATIVE,"Certain case, in Latin grammar",en
6/14/1998,ESSEN,"Have breakfast, e.g., in Germany",en
4/14/1998,EMS,Spa in Germany,id
10/19/1997,DUCE,"Chief, in Italian",en
9/13/1997,ERAT,"Was, in Latin",en
5/26/1997,UBER,"Opposite of unter, in German",en
3/27/1996,SIC,"So, in Latin",en
7/2/1995,SES,Its in French,en
1/22/1995,ICI,"Opposite of ""la,"" in French",en
12/11/1994,HONORE,First name in French literature,en
6/23/1994,ALAMO,"Cottonwood, in Spanish",nl
11/27/1993,AMAT,She loves in Latin,en
