Date,Word,Clue
8/22/2006,CII,"102, in old Rome"
6/24/2006,ECCE,Old Roman cry
5/22/2006,LVII,Roman 57
1/14/2006,TERRA,Roman land
11/29/2005,LIV,Roman 54
10/30/2005,ECCE,Old Roman cry
10/9/2005,NOVENA,Roman Catholic period of prayer
6/27/2005,LII,"52, in old Rome"
5/3/2005,CDI,Roman 401
3/14/2005,CATO,Ancient Roman censor
2/8/2005,LIII,"53, in old Rome"
1/10/2005,CDIV,404 in old Rome
12/6/2004,DLII,"552, in old Rome"
10/31/2004,NERO,Roman imperator
10/19/2004,MII,"1,002, in old Rome"
5/29/2004,ANGELO,Castel Sant'___ (Roman museum)
7/22/2003,DCI,"601, in old Rome"
6/27/2003,ALITALIA,Roman carrier
3/31/2003,CLII,Roman 152
12/22/2002,CATO,"Roman called ""the Censor"""
11/12/2002,MCII,"Roman 1,102"
8/29/2002,FORA,Roman meeting places
8/26/2002,CDIV,"404, in old Rome"
7/29/2002,DCI,"601, in old Rome"
4/8/2002,MCCL,"1250, in old Rome"
3/5/2002,CLII,Roman 152
1/8/2002,IDES,Roman date
12/4/2001,DCL,Roman 650
11/6/2001,LIV,"54, in old Rome"
10/26/2001,MARIST,Member of a Roman Catholic order
6/25/2001,MCXI,"Roman 1,111"
11/15/2000,ORA,Roman mouths
10/9/2000,LII,"52, in old Rome"
5/6/2000,DRUID,Roman invasion resister
3/20/2000,XIV,"14, in old Rome"
1/13/2000,SULLA,"Roman dictator, 82-79 B.C."
11/27/1999,LIONS,Roman Colosseum sights
10/5/1999,CMI,Roman 901
5/24/1999,XVII,"17, in old Rome"
11/4/1998,MANIPLE,Subdivision of a Roman legion
5/30/1998,ODEA,Roman music halls
1/9/1998,ARC,Roman candle path
1/4/1998,CATO,"Roman called ""The Elder"""
2/16/1997,MIO,Roman mine
10/26/1996,DENARII,Ancient Roman coins
9/13/1996,PLEB,Roman commoner
8/28/1996,ACTA,Ancient Roman decrees
8/19/1996,CATO,Ancient Roman censor
2/25/1996,AGNES,Roman martyr of A.D. 304
12/16/1995,TRE,Roman crowd?
7/12/1995,CCV,Roman 205
4/1/1995,ALARIC,Roman capturer
2/10/1994,EGO,Roman I
12/14/1993,TIVOLI,Roman villa locale
2/14/2021,LVI,Super Bowl of 2022
1/31/2021,LIV,Super Bowl played in 2020
7/10/2020,MCI,The year 1101
11/6/2019,XCI,Nero's 91
3/3/2019,LIII,"Super Bowl ___ (game played February 3, 2019)"
1/22/2019,LII,Super Bowl of 2018
4/24/2018,CCV,The year 205
1/10/2017,MII,The year 1002
12/19/2016,MMI,The year 2001
12/18/2016,MDCI,The year 1601
4/25/2016,MMLI,The year 2051
9/8/2015,CMII,The year 902
7/18/2015,CDI,"401, in the year 401"
7/7/2015,CMVI,The year 906
4/21/2015,MDI,The year 1501
6/23/2014,MDI,The year 1501
6/10/2014,MDLI,The year 1551
2/24/2014,CMVI,The year 906
1/20/2013,CLI,The year 151
8/27/2012,MDL,The year 1550
11/25/2011,LXIII,Super Bowl of 2029
7/23/2009,LVII,Super Bowl of 2023
4/27/2009,MCDVI,The year 1406
2/19/2007,MLII,The year 1052
12/5/2006,MIII,The year 1003
10/4/2005,LVI,The year 56
7/26/1995,MVI,The year 1006
