Date,Word,Clue,Primary Cluster,Cluster,ends in question,number words,length of clue,no alphabet characters,is quote,contains underscore,contains asterisk,contains done,number of non-consecutive periods in clue,is ellipsis in clue,avg word length,number commas in clue,percentage words (other than first word) that are upper-case,number non a-z or 1-9 characters in clue,contains e.g.,contains etc.,quoted clues,contains dir.,"contains ,maybe"
8/29/2021,ADPAGE,"Spot for a perfume sample in a magazine, maybe",Other,,False,9,46,9,False,False,False,False,0,False,4.222222222222222,1,0.0,0.021739130434782608,False,False,False,False,True
8/22/2021,EXAM,"Series of questions, maybe",Other,,False,4,26,4,False,False,False,False,0,False,5.75,1,0.0,0.038461538461538464,False,False,False,False,True
8/22/2021,GLIB,"A little too silky, maybe",Other,,False,5,25,5,False,False,False,False,0,False,4.2,1,0.0,0.04,False,False,False,False,True
8/22/2021,ADOUT,"Score after seven points, maybe",Other,,False,5,31,5,False,False,False,False,0,False,5.4,1,0.0,0.03225806451612903,False,False,False,False,True
8/21/2021,PDF,"E-signature holder, maybe",Other,,False,3,25,4,False,False,False,False,0,False,7.666666666666667,1,0.0,0.08,False,False,False,False,True
8/14/2021,BEELINES,"Quick getaways, maybe",Other,,False,3,21,3,False,False,False,False,0,False,6.333333333333333,1,0.3333333333333333,0.047619047619047616,False,False,False,False,True
8/14/2021,FEUD,"Family matter, maybe",Other,,False,3,20,3,False,False,False,False,0,False,6.0,1,0.0,0.05,False,False,False,False,True
8/11/2021,DWEEB,"""Adorkable"" one, maybe",Other,,False,3,22,5,False,False,False,False,0,False,6.666666666666667,1,0.0,0.13636363636363635,False,False,False,False,True
8/10/2021,APLUS,"Valedictorian's grade, maybe",Other,,False,3,28,4,False,False,False,False,0,False,8.666666666666666,1,0.3333333333333333,0.07142857142857142,False,False,False,False,True
8/9/2021,SOURCREAM,"Enchilada topping, maybe",Other,,False,3,24,3,False,False,False,False,0,False,7.333333333333333,1,0.3333333333333333,0.041666666666666664,False,False,False,False,True
8/9/2021,DARES,"Induces to pull a prank, maybe",Other,,False,6,30,6,False,False,False,False,0,False,4.166666666666667,1,0.0,0.03333333333333333,False,False,False,False,True
8/8/2021,SWERVE,"Leave skid marks, maybe",Other,,False,4,23,4,False,False,False,False,0,False,5.0,1,0.25,0.043478260869565216,False,False,False,False,True
8/8/2021,BEAU,"Steady, maybe",Other,,False,2,13,2,False,False,False,False,0,False,6.0,1,0.0,0.07692307692307693,False,False,False,False,True
8/5/2021,IPO,"Major talking point on CNBC, maybe",Other,,False,6,34,6,False,False,False,False,0,False,4.833333333333333,1,0.16666666666666666,0.029411764705882353,False,False,False,False,True
8/4/2021,CANI,"Request accompanying puppy dog eyes, maybe",Other,,False,6,42,6,False,False,False,False,0,False,6.166666666666667,1,0.16666666666666666,0.023809523809523808,False,False,False,False,True
8/1/2021,ICEE,"Brain freeze cause, maybe",Other,,False,4,25,4,False,False,False,False,0,False,5.5,1,0.0,0.04,False,False,False,False,True
7/31/2021,DJING,"Playing at a party, maybe",Other,,False,5,25,5,False,False,False,False,0,False,4.2,1,0.0,0.04,False,False,False,False,True
7/25/2021,SOLOS,"Star performances, maybe",Other,,False,3,24,3,False,False,False,False,0,False,7.333333333333333,1,0.3333333333333333,0.041666666666666664,False,False,False,False,True
7/24/2021,STAT,"Average, maybe",Other,,False,2,14,2,False,False,False,False,0,False,6.5,1,0.0,0.07142857142857142,False,False,False,False,True
7/23/2021,KNEELS,"Initiates a proposal, maybe",Other,,False,4,27,4,False,False,False,False,0,False,6.0,1,0.0,0.037037037037037035,False,False,False,False,True
7/6/2021,HOTBATH,"Relaxing soak before bed, maybe",Other,,False,5,31,5,False,False,False,False,0,False,5.4,1,0.0,0.03225806451612903,False,False,False,False,True
7/4/2021,AIRBED,"Sleeping spot for a guest, maybe",Other,,False,6,32,6,False,False,False,False,0,False,4.5,1,0.0,0.03125,False,False,False,False,True
7/4/2021,RESEAT,"Move from aisle to window, maybe",Other,,False,6,32,6,False,False,False,False,0,False,4.5,1,0.0,0.03125,False,False,False,False,True
6/26/2021,STOMP,"Annoy downstairs neighbors, maybe",Other,,False,4,33,4,False,False,False,False,0,False,7.5,1,0.25,0.030303030303030304,False,False,False,False,True
6/23/2021,RATE,"Give feedback on Yelp, maybe",Other,,False,5,28,5,False,False,False,False,0,False,4.8,1,0.2,0.03571428571428571,False,False,False,False,True
6/23/2021,PONY,"One providing a ride at a fair, maybe",Other,,False,8,37,8,False,False,False,False,0,False,3.75,1,0.0,0.02702702702702703,False,False,False,False,True
6/21/2021,INCH,"Distance between belt holes, maybe",Other,,False,5,34,5,False,False,False,False,0,False,6.0,1,0.0,0.029411764705882353,False,False,False,False,True
6/20/2021,ALARM,"Dream interrupter, maybe",Other,,False,3,24,3,False,False,False,False,0,False,7.333333333333333,1,0.3333333333333333,0.041666666666666664,False,False,False,False,True
6/20/2021,RESEAT,"Move to a new table, maybe",Other,,False,6,26,6,False,False,False,False,0,False,3.5,1,0.16666666666666666,0.038461538461538464,False,False,False,False,True
6/15/2021,OASIS,"Just a mirage, maybe",Other,,False,4,20,4,False,False,False,False,0,False,4.25,1,0.0,0.05,False,False,False,False,True
6/12/2021,BRIDE,"One with a train, maybe",Other,,False,5,23,5,False,False,False,False,0,False,3.8,1,0.0,0.043478260869565216,False,False,False,False,True
6/12/2021,KEG,"Order for a big party, maybe",Other,,False,6,28,6,False,False,False,False,0,False,3.8333333333333335,1,0.0,0.03571428571428571,False,False,False,False,True
6/12/2021,JURYRIG,"Hold together with duct tape, maybe",Other,,False,6,35,6,False,False,False,False,0,False,5.0,1,0.0,0.02857142857142857,False,False,False,False,True
6/10/2021,KISS,"X in XXX, maybe",Other,,False,4,15,4,False,False,False,False,0,False,3.0,1,0.25,0.06666666666666667,False,False,False,False,True
6/10/2021,TAC,"X in XXX, maybe",Other,,False,4,15,4,False,False,False,False,0,False,3.0,1,0.25,0.06666666666666667,False,False,False,False,True
6/8/2021,HERO,"Footlong, maybe",Other,,False,2,15,2,False,False,False,False,0,False,7.0,1,0.5,0.06666666666666667,False,False,False,False,True
6/6/2021,IPAD,"Tablet taken before going to bed, maybe",Other,,False,7,39,7,False,False,False,False,0,False,4.714285714285714,1,0.14285714285714285,0.02564102564102564,False,False,False,False,True
5/27/2021,TAT,"Hand pic, maybe",Other,,False,3,15,3,False,False,False,False,0,False,4.333333333333333,1,0.3333333333333333,0.06666666666666667,False,False,False,False,True
5/26/2021,MELEE,"Hockey game interruption, maybe",Other,,False,4,31,4,False,False,False,False,0,False,7.0,1,0.25,0.03225806451612903,False,False,False,False,True
5/22/2021,PLATONIC,"Like a relationship with an ex, maybe",Other,,False,7,37,7,False,False,False,False,0,False,4.428571428571429,1,0.0,0.02702702702702703,False,False,False,False,True
5/21/2021,DARE,"Impetus behind a prank, maybe",Other,,False,5,29,5,False,False,False,False,0,False,5.0,1,0.2,0.034482758620689655,False,False,False,False,True
5/21/2021,NEWDO,"Makeover result, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.3333333333333333,0.045454545454545456,False,False,False,False,True
5/21/2021,DAMP,"Conducive to mold, maybe",Other,,False,4,24,4,False,False,False,False,0,False,5.25,1,0.0,0.041666666666666664,False,False,False,False,True
5/21/2021,INACAST,"Recovering orthopedically, maybe",Other,,False,3,32,3,False,False,False,False,0,False,10.0,1,0.0,0.03125,False,False,False,False,True
5/20/2021,III,"Jr.'s son, maybe",Other,,False,3,16,5,False,False,False,False,1,False,4.666666666666667,1,0.3333333333333333,0.1875,False,False,False,False,True
5/16/2021,DUI,"Bad P.R. for a celeb, maybe",Other,,False,6,27,8,False,False,False,False,2,False,3.6666666666666665,1,0.3333333333333333,0.1111111111111111,False,False,False,False,True
5/14/2021,GROTTO,"Site of an underground pool, maybe",Other,,False,6,34,6,False,False,False,False,0,False,4.833333333333333,1,0.16666666666666666,0.029411764705882353,False,False,False,False,True
5/13/2021,IRAS,"C.D. holders, maybe",Other,,False,3,19,5,False,False,False,False,2,False,5.666666666666667,1,0.3333333333333333,0.15789473684210525,False,False,False,False,True
5/3/2021,HOTBATH,"Relaxing soak after a long day, maybe",Other,,False,7,37,7,False,False,False,False,0,False,4.428571428571429,1,0.0,0.02702702702702703,False,False,False,False,True
5/2/2021,ALTER,"Take in, maybe",Other,,False,3,14,3,False,False,False,False,0,False,4.0,1,0.0,0.07142857142857142,False,False,False,False,True
5/1/2021,MADAM,"Part of a diplomatic address, maybe",Other,,False,6,35,6,False,False,False,False,0,False,5.0,1,0.0,0.02857142857142857,False,False,False,False,True
5/1/2021,TIECLASP,"Aid in preventing a soup stain, maybe",Other,,False,7,37,7,False,False,False,False,0,False,4.428571428571429,1,0.0,0.02702702702702703,False,False,False,False,True
4/25/2021,TRIP,"Start off on the wrong foot, maybe?",Other,,True,7,35,8,False,False,False,False,0,False,4.142857142857143,1,0.14285714285714285,0.05714285714285714,False,False,False,False,True
4/24/2021,BARREL,"Amount of fun, maybe",Other,,False,4,20,4,False,False,False,False,0,False,4.25,1,0.0,0.05,False,False,False,False,True
4/23/2021,MANCAVE,"Dad's hangout, maybe",Other,,False,3,20,4,False,False,False,False,0,False,6.0,1,0.3333333333333333,0.1,False,False,False,False,True
4/23/2021,BREAK,"Snap, crack or pop, maybe",Other,,False,5,25,6,False,False,False,False,0,False,4.2,2,0.2,0.08,False,False,False,False,True
4/23/2021,IVIED,"Like the walls of an old church, maybe",Other,,False,8,38,8,False,False,False,False,0,False,3.875,1,0.0,0.02631578947368421,False,False,False,False,True
4/21/2021,RECLAIMED,"Like old wood in new furniture, maybe",Other,,False,7,37,7,False,False,False,False,0,False,4.428571428571429,1,0.0,0.02702702702702703,False,False,False,False,True
4/18/2021,PENPAL,"Foreign correspondent, maybe",Other,,False,3,28,3,False,False,False,False,0,False,8.666666666666666,1,0.3333333333333333,0.03571428571428571,False,False,False,False,True
4/18/2021,RASPED,"Did a Don Corleone impression, maybe",Other,,False,6,36,6,False,False,False,False,0,False,5.166666666666667,1,0.5,0.027777777777777776,False,False,False,False,True
4/17/2021,FOODCOMA,"Thanksgiving aftermath, maybe",Other,,False,3,29,3,False,False,False,False,0,False,9.0,1,0.0,0.034482758620689655,False,False,False,False,True
4/16/2021,HUSH,"Reaction to someone tapping a microphone, maybe",Other,,False,7,47,7,False,False,False,False,0,False,5.857142857142857,1,0.0,0.02127659574468085,False,False,False,False,True
4/13/2021,WSJ,"C.E.O.'s reading, maybe, in brief",Other,,False,5,33,10,False,False,False,False,3,False,5.8,2,0.2,0.18181818181818182,False,False,False,False,True
4/10/2021,DOLAPS,"Exercise at a Y, maybe",Other,,False,5,22,5,False,False,False,False,0,False,3.6,1,0.2,0.045454545454545456,False,False,False,False,True
4/10/2021,CAPN,"Cook's handle, maybe",Other,,False,3,20,4,False,False,False,False,0,False,6.0,1,0.3333333333333333,0.1,False,False,False,False,True
4/8/2021,SIR,"Title for the entitled, maybe",Other,,False,5,29,5,False,False,False,False,0,False,5.0,1,0.0,0.034482758620689655,False,False,False,False,True
4/7/2021,YSL,"Monogram on an expensive handbag, maybe",Other,,False,6,39,6,False,False,False,False,0,False,5.666666666666667,1,0.16666666666666666,0.02564102564102564,False,False,False,False,True
4/4/2021,FOGIN,"Keep from flying, maybe",Other,,False,4,23,4,False,False,False,False,0,False,5.0,1,0.0,0.043478260869565216,False,False,False,False,True
4/4/2021,SIXAM,"Paper route hour, maybe",Other,,False,4,23,4,False,False,False,False,0,False,5.0,1,0.25,0.043478260869565216,False,False,False,False,True
4/2/2021,USMAP,"Hanging on a classroom wall, maybe",Other,,False,6,34,6,False,False,False,False,0,False,4.833333333333333,1,0.0,0.029411764705882353,False,False,False,False,True
4/1/2021,MBA,"Firm requirement, maybe",Other,,False,3,23,3,False,False,False,False,0,False,7.0,1,0.0,0.043478260869565216,False,False,False,False,True
3/26/2021,ASLEEP,"Like a tingly foot, maybe",Other,,False,5,25,5,False,False,False,False,0,False,4.2,1,0.0,0.04,False,False,False,False,True
3/25/2021,SNORT,"Reaction to hilarity, maybe",Other,,False,4,27,4,False,False,False,False,0,False,6.0,1,0.0,0.037037037037037035,False,False,False,False,True
3/25/2021,ARF,"Intruder warning, maybe",Other,,False,3,23,3,False,False,False,False,0,False,7.0,1,0.3333333333333333,0.043478260869565216,False,False,False,False,True
3/21/2021,PTA,"Book fair organizer, maybe, in brief",Other,,False,6,36,7,False,False,False,False,0,False,5.166666666666667,2,0.16666666666666666,0.05555555555555555,False,False,False,False,True
3/20/2021,STARE,"React to a public scene, maybe",Other,,False,6,30,6,False,False,False,False,0,False,4.166666666666667,1,0.16666666666666666,0.03333333333333333,False,False,False,False,True
3/17/2021,NAN,"Bread served with dal, maybe",Other,,False,5,28,5,False,False,False,False,0,False,4.8,1,0.2,0.03571428571428571,False,False,False,False,True
3/17/2021,NET,"Dot follower, maybe",Other,,False,3,19,3,False,False,False,False,0,False,5.666666666666667,1,0.3333333333333333,0.05263157894736842,False,False,False,False,True
3/16/2021,BOREDOM,"Reason to draw a doodle, maybe",Other,,False,6,30,6,False,False,False,False,0,False,4.166666666666667,1,0.16666666666666666,0.03333333333333333,False,False,False,False,True
3/14/2021,ANTE,"Toss in a chip, maybe",Other,,False,5,21,5,False,False,False,False,0,False,3.4,1,0.0,0.047619047619047616,False,False,False,False,True
3/11/2021,NERDS,"Bookworms, maybe",Other,,False,2,16,2,False,False,False,False,0,False,7.5,1,0.0,0.0625,False,False,False,False,True
3/10/2021,SLAT,"Strip in the bedroom, maybe",Other,,False,5,27,5,False,False,False,False,0,False,4.6,1,0.2,0.037037037037037035,False,False,False,False,True
3/4/2021,CDS,"Stack on a rack, maybe",Other,,False,5,22,5,False,False,False,False,0,False,3.6,1,0.0,0.045454545454545456,False,False,False,False,True
3/4/2021,SLOB,"Annoying roommate, maybe",Other,,False,3,24,3,False,False,False,False,0,False,7.333333333333333,1,0.0,0.041666666666666664,False,False,False,False,True
3/2/2021,EMO,"Like a brooding teen, maybe",Other,,False,5,27,5,False,False,False,False,0,False,4.6,1,0.0,0.037037037037037035,False,False,False,False,True
3/1/2021,ECHO,"Sound heard in a long hallway, maybe",Other,,False,7,36,7,False,False,False,False,0,False,4.285714285714286,1,0.14285714285714285,0.027777777777777776,False,False,False,False,True
2/27/2021,BESTSELLER,"#1 on a list, maybe",Other,,False,5,19,7,False,False,False,False,0,False,3.0,1,0.0,0.10526315789473684,False,False,False,False,True
2/25/2021,BLTS,"Alternatives to melts, maybe",Other,,False,4,28,4,False,False,False,False,0,False,6.25,1,0.0,0.03571428571428571,False,False,False,False,True
2/23/2021,EMIR,"Leader of an oil-rich land, maybe",Other,,False,6,33,7,False,False,False,False,0,False,4.666666666666667,1,0.16666666666666666,0.06060606060606061,False,False,False,False,True
2/22/2021,GALA,"Black-tie charity event, maybe",Other,,False,4,30,5,False,False,False,False,0,False,6.75,1,0.25,0.06666666666666667,False,False,False,False,True
2/21/2021,OTHER,"Last option in a list, maybe",Other,,False,6,28,6,False,False,False,False,0,False,3.8333333333333335,1,0.0,0.03571428571428571,False,False,False,False,True
2/19/2021,TUSKS,"Protrusions near a trunk, maybe",Other,,False,5,31,5,False,False,False,False,0,False,5.4,1,0.0,0.03225806451612903,False,False,False,False,True
2/18/2021,ONEREEL,"Length of a short, maybe",Other,,False,5,24,5,False,False,False,False,0,False,4.0,1,0.2,0.041666666666666664,False,False,False,False,True
2/13/2021,PREENS,"Gets ready for a date, maybe",Other,,False,6,28,6,False,False,False,False,0,False,3.8333333333333335,1,0.0,0.03571428571428571,False,False,False,False,True
2/12/2021,ITSABOY,"Postdelivery announcement, maybe",Other,,False,3,32,3,False,False,False,False,0,False,10.0,1,0.3333333333333333,0.03125,False,False,False,False,True
2/9/2021,ADA,"___-compliant (wheelchair-accessible, maybe)",Other,,False,3,44,10,False,True,False,False,0,False,14.0,1,0.0,0.18181818181818182,False,False,False,False,True
2/3/2021,STOOL,"Seat at a counter, maybe",Other,,False,5,24,5,False,False,False,False,0,False,4.0,1,0.0,0.041666666666666664,False,False,False,False,True
2/3/2021,ORDER,"#1 at McDonalds, maybe",Other,,False,4,22,6,False,False,False,False,0,False,4.75,1,0.25,0.09090909090909091,False,False,False,False,True
1/30/2021,SUITE,"Doctor's office, maybe",Other,,False,3,22,4,False,False,False,False,0,False,6.666666666666667,1,0.3333333333333333,0.09090909090909091,False,False,False,False,True
1/30/2021,CASING,"Shell, maybe",Other,,False,2,12,2,False,False,False,False,0,False,5.5,1,0.5,0.08333333333333333,False,False,False,False,True
1/30/2021,ESTATE,"Subject of a family feud, maybe",Other,,False,6,31,6,False,False,False,False,0,False,4.333333333333333,1,0.0,0.03225806451612903,False,False,False,False,True
1/29/2021,SENT,"Email notification, maybe",Other,,False,3,25,3,False,False,False,False,0,False,7.666666666666667,1,0.3333333333333333,0.04,False,False,False,False,True
1/29/2021,PER,"/, maybe",Other,,False,2,8,3,False,False,False,False,0,False,3.5,1,0.0,0.25,False,False,False,False,True
1/28/2021,ARSONIST,"One committing insurance fraud, maybe",Other,,False,5,37,5,False,False,False,False,0,False,6.6,1,0.0,0.02702702702702703,False,False,False,False,True
1/25/2021,SCAN,"Digital picture, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.3333333333333333,0.045454545454545456,False,False,False,False,True
1/24/2021,INKMARK,"Result of a breast pocket mishap, maybe",Other,,False,7,39,7,False,False,False,False,0,False,4.714285714285714,1,0.0,0.02564102564102564,False,False,False,False,True
1/24/2021,HAM,"Attention hog, maybe",Other,,False,3,20,3,False,False,False,False,0,False,6.0,1,0.3333333333333333,0.05,False,False,False,False,True
1/23/2021,TELLS,"Restless movements, maybe",Other,,False,3,25,3,False,False,False,False,0,False,7.666666666666667,1,0.0,0.04,False,False,False,False,True
1/22/2021,PLAYSET,"Two swings and a slide, maybe",Other,,False,6,29,6,False,False,False,False,0,False,4.0,1,0.0,0.034482758620689655,False,False,False,False,True
1/20/2021,ART,"An oil, maybe",Other,,False,3,13,3,False,False,False,False,0,False,3.6666666666666665,1,0.0,0.07692307692307693,False,False,False,False,True
1/19/2021,SLY,"Like a wink or a nudge, maybe",Other,,False,7,29,7,False,False,False,False,0,False,3.2857142857142856,1,0.0,0.034482758620689655,False,False,False,False,True
1/17/2021,RATEDR,"Violent, maybe",Other,,False,2,14,2,False,False,False,False,0,False,6.5,1,0.5,0.07142857142857142,False,False,False,False,True
1/16/2021,LAPUP,"Drink from a bowl, maybe",Other,,False,5,24,5,False,False,False,False,0,False,4.0,1,0.0,0.041666666666666664,False,False,False,False,True
1/15/2021,FINS,"Change for some sawbucks, maybe",Other,,False,5,31,5,False,False,False,False,0,False,5.4,1,0.0,0.03225806451612903,False,False,False,False,True
1/15/2021,CUSHY,"Like a good job, maybe",Other,,False,5,22,5,False,False,False,False,0,False,3.6,1,0.0,0.045454545454545456,False,False,False,False,True
1/13/2021,USHER,"Two- or four-seater, maybe?",Other,,True,4,27,7,False,False,False,False,0,False,6.0,1,0.0,0.14814814814814814,False,False,False,False,True
1/12/2021,NEE,"Word in an alumnae directory, maybe",Other,,False,6,35,6,False,False,False,False,0,False,5.0,1,0.16666666666666666,0.02857142857142857,False,False,False,False,True
1/11/2021,INTERN,"Worker just for a summer, maybe",Other,,False,6,31,6,False,False,False,False,0,False,4.333333333333333,1,0.0,0.03225806451612903,False,False,False,False,True
1/9/2021,RBI,"Result of a clutch hit, maybe, for short",Other,,False,8,40,9,False,False,False,False,0,False,4.125,2,0.0,0.05,False,False,False,False,True
1/4/2021,SEEME,"Teacher's note accompanying a bad grade, maybe",Other,,False,7,46,8,False,False,False,False,0,False,5.714285714285714,1,0.14285714285714285,0.043478260869565216,False,False,False,False,True
1/2/2021,SASH,"Band for an awards ceremony, maybe",Other,,False,6,34,6,False,False,False,False,0,False,4.833333333333333,1,0.16666666666666666,0.029411764705882353,False,False,False,False,True
1/2/2021,TULIP,"Fluorescent bulb, maybe",Other,,False,3,23,3,False,False,False,False,0,False,7.0,1,0.3333333333333333,0.043478260869565216,False,False,False,False,True
1/1/2021,RESEALED,"Made more waterproof, maybe",Other,,False,4,27,4,False,False,False,False,0,False,6.0,1,0.0,0.037037037037037035,False,False,False,False,True
12/31/2020,ANTSY,"Squirming, maybe",Other,,False,2,16,2,False,False,False,False,0,False,7.5,1,0.0,0.0625,False,False,False,False,True
12/30/2020,FRO,"Do with a pick, maybe",Other,,False,5,21,5,False,False,False,False,0,False,3.4,1,0.0,0.047619047619047616,False,False,False,False,True
12/29/2020,LOPS,"Cuts with shears, maybe",Other,,False,4,23,4,False,False,False,False,0,False,5.0,1,0.0,0.043478260869565216,False,False,False,False,True
12/23/2020,EMT,"Worker for a hosp., maybe",Other,,False,5,25,6,False,False,False,False,1,False,4.2,1,0.0,0.08,False,False,False,False,True
12/19/2020,TOLD,"Got a schoolmate in trouble, maybe",Other,,False,6,34,6,False,False,False,False,0,False,4.833333333333333,1,0.16666666666666666,0.029411764705882353,False,False,False,False,True
12/18/2020,STATUE,"Center of a circle or square, maybe",Other,,False,7,35,7,False,False,False,False,0,False,4.142857142857143,1,0.14285714285714285,0.02857142857142857,False,False,False,False,True
12/15/2020,TOTE,"Bag with an NPR logo, maybe",Other,,False,6,27,6,False,False,False,False,0,False,3.6666666666666665,1,0.3333333333333333,0.037037037037037035,False,False,False,False,True
12/13/2020,YELP,"React to a stubbed toe, maybe",Other,,False,6,29,6,False,False,False,False,0,False,4.0,1,0.16666666666666666,0.034482758620689655,False,False,False,False,True
12/12/2020,RUSTEATEN,"Like cars in a junkyard, maybe",Other,,False,6,30,6,False,False,False,False,0,False,4.166666666666667,1,0.0,0.03333333333333333,False,False,False,False,True
12/10/2020,ANTS,"Colonial workers, maybe",Other,,False,3,23,3,False,False,False,False,0,False,7.0,1,0.0,0.043478260869565216,False,False,False,False,True
12/7/2020,TEMP,"Worker paid day by day, maybe",Other,,False,6,29,6,False,False,False,False,0,False,4.0,1,0.16666666666666666,0.034482758620689655,False,False,False,False,True
12/6/2020,SCUBA,"Take a dive, maybe",Other,,False,4,18,4,False,False,False,False,0,False,3.75,1,0.0,0.05555555555555555,False,False,False,False,True
12/6/2020,EERIE,"Gooseflesh-inducing, maybe",Other,,False,2,26,3,False,False,False,False,0,False,12.5,1,0.5,0.07692307692307693,False,False,False,False,True
12/4/2020,SORELOSER,"Rage quitter, maybe",Other,,False,3,19,3,False,False,False,False,0,False,5.666666666666667,1,0.0,0.05263157894736842,False,False,False,False,True
11/29/2020,LASE,"Hit with a beam, maybe",Other,,False,5,22,5,False,False,False,False,0,False,3.6,1,0.2,0.045454545454545456,False,False,False,False,True
11/26/2020,ITCH,"Medical symptom, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.0,0.045454545454545456,False,False,False,False,True
11/24/2020,AWED,"Left speechless, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.3333333333333333,0.045454545454545456,False,False,False,False,True
11/21/2020,DVD,"Part of a box set, maybe",Other,,False,6,24,6,False,False,False,False,0,False,3.1666666666666665,1,0.0,0.041666666666666664,False,False,False,False,True
11/20/2020,SWORNIN,"Like presidents with Bibles, maybe",Other,,False,5,34,5,False,False,False,False,0,False,6.0,1,0.2,0.029411764705882353,False,False,False,False,True
11/20/2020,REEF,"Shipwreck site, maybe",Other,,False,3,21,3,False,False,False,False,0,False,6.333333333333333,1,0.3333333333333333,0.047619047619047616,False,False,False,False,True
11/16/2020,GAMER,"One streaming on Twitch, maybe",Other,,False,5,30,5,False,False,False,False,0,False,5.2,1,0.2,0.03333333333333333,False,False,False,False,True
11/12/2020,WADE,"Use hip boots, maybe",Other,,False,4,20,4,False,False,False,False,0,False,4.25,1,0.25,0.05,False,False,False,False,True
11/6/2020,HOSTELS,"Quarters abroad, maybe",Other,,False,3,22,3,False,False,False,False,0,False,6.666666666666667,1,0.0,0.045454545454545456,False,False,False,False,True
11/6/2020,RAVES,"Parties with black lights, maybe",Other,,False,5,32,5,False,False,False,False,0,False,5.6,1,0.0,0.03125,False,False,False,False,True
11/3/2020,SEDAN,"Four-door, maybe",Other,,False,2,16,3,False,False,False,False,0,False,7.5,1,0.5,0.125,False,False,False,False,True
10/31/2020,ICEBATH,"Post-marathon treatment, maybe",Other,,False,3,30,4,False,False,False,False,0,False,9.333333333333334,1,0.3333333333333333,0.06666666666666667,False,False,False,False,True
10/31/2020,BIB,"Protective wear around shellfish, maybe",Other,,False,5,39,5,False,False,False,False,0,False,7.0,1,0.0,0.02564102564102564,False,False,False,False,True
10/17/2020,IRATE,"About to explode, maybe",Other,,False,4,23,4,False,False,False,False,0,False,5.0,1,0.0,0.043478260869565216,False,False,False,False,True
10/16/2020,PTA,"Group electing officers in Sept., maybe",Other,,False,6,39,7,False,False,False,False,1,False,5.666666666666667,1,0.3333333333333333,0.05128205128205128,False,False,False,False,True
