,Date,Word,Clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains briefly,_f_contains dir.,_f_contains exclamation,_f_contains kind of,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession
3459,9/16/2021,SILVERBACK,Kind of gorilla,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
3537,9/15/2021,SEPTIC,Kind of tank,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
3891,9/11/2021,KEVLAR,Kind of vest,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
4187,9/7/2021,ACAI,Kind of palm tree in Central and South America,9,46,4.222222222222222,0.4444444444444444,False,8,False,False,False,0,True,0,0.17391304347826086,False,False,False,False,False,False,True,False,False,False,False
4821,8/29/2021,SNEAK,Kind of attack,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
4950,8/28/2021,EROGENOUS,Kind of zone,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
5033,8/27/2021,INNER,Kind of circle,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
5141,8/25/2021,OXEYE,Kind of daisy,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
5266,8/24/2021,SOY,Kind of sauce that may come in packets,8,38,3.875,0.125,False,7,False,False,False,0,True,0,0.18421052631578946,False,False,False,False,False,False,True,False,False,False,False
5552,8/21/2021,ANGORA,Kind of rabbit,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
5560,8/20/2021,STAPH,Kind of infection,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
5958,8/15/2021,NACHO,Kind of chip,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
6055,8/14/2021,BRIDAL,Kind of shower,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
6214,8/12/2021,FLEA,Kind of market,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
7189,7/30/2021,ALLSTAR,Kind of cast,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
7567,7/25/2021,SOY,Kind of protein in tempeh,5,25,4.2,0.2,False,4,False,False,False,0,True,0,0.16,False,False,False,False,False,False,True,False,False,False,False
7727,7/23/2021,ROYAL,Kind of treatment,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
7780,7/22/2021,ADRENAL,Kind of gland,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
7902,7/20/2021,SEALEDBEAM,Kind of headlight on older cars,6,31,4.333333333333333,0.16666666666666666,False,5,False,False,False,0,True,0,0.16129032258064516,False,False,False,False,False,False,True,False,False,False,False
8305,7/15/2021,ALTO,Kind of saxophone,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
8468,7/13/2021,RELIEF,Kind of pitcher,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
8680,7/11/2021,ONEHIT,Kind of wonder?,3,15,4.333333333333333,0.3333333333333333,True,3,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
8791,7/9/2021,TASK,Kind of force,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
9184,7/4/2021,RADIAL,Kind of tire,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
9350,7/2/2021,RHESUS,Kind of monkey,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
9724,6/27/2021,MAO,Kind of jacket,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
9755,6/27/2021,HOTSTONE,Kind of massage,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
9827,6/26/2021,ACDC,Kind of power supply,4,20,4.25,0.25,False,3,False,False,False,0,True,0,0.15,False,False,False,False,False,False,True,False,False,False,False
10239,6/20/2021,AMEX,One kind of plastic,4,19,4.0,0.0,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
10302,6/20/2021,YESNO,Kind of question,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
10342,6/19/2021,ONEARM,Show-offy kind of push-up,4,25,5.5,0.0,False,5,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
10893,6/12/2021,ALMOND,Kind of flour used in marzipan,6,30,4.166666666666667,0.16666666666666666,False,5,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
11198,6/7/2021,SESAME,Kind of seeds on a bagel,6,24,3.1666666666666665,0.16666666666666666,False,5,False,False,False,0,True,0,0.20833333333333334,False,False,False,False,False,False,True,False,False,False,False
11225,6/7/2021,GRAHAM,Kind of cracker needed for a proper s'more,8,42,4.375,0.125,False,8,False,False,False,0,True,0,0.19047619047619047,False,False,False,False,False,False,True,False,False,False,False
11258,6/7/2021,THRU,"Kind of traffic, familiarly",4,27,6.0,0.25,False,4,False,False,False,0,True,1,0.14814814814814814,False,False,False,False,False,False,True,False,False,False,False
11379,6/5/2021,PEKING,Kind of duck,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
11551,6/3/2021,MENTAL,Kind of health,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
11619,6/2/2021,BROWNSTONE,"*Kind of building seen on ""Sesame Street""",7,41,5.0,0.2857142857142857,False,9,False,False,True,0,True,0,0.21951219512195122,False,False,False,False,False,False,True,False,False,False,False
12180,5/26/2021,LEGO,Kind of block,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
12431,5/23/2021,RNA,Kind of vaccine used against Covid,6,34,4.833333333333333,0.3333333333333333,False,5,False,False,False,0,True,0,0.14705882352941177,False,False,False,False,False,False,True,False,False,False,False
13090,5/14/2021,ACAI,Kind of berry,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
13456,5/9/2021,DORIC,Kind of column,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
13554,5/8/2021,EGO,Kind of trip taken solo,5,23,3.8,0.2,False,4,False,False,False,0,True,0,0.17391304347826086,False,False,False,False,False,False,True,False,False,False,False
13604,5/7/2021,PLOT,Kind of device used in filmmaking,6,33,4.666666666666667,0.16666666666666666,False,5,False,False,False,0,True,0,0.15151515151515152,False,False,False,False,False,False,True,False,False,False,False
13932,5/3/2021,APRIORI,Kind of reasoning,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
14016,5/2/2021,LOCAL,Kind of news often aired at 6 and 11 p.m.,10,41,3.2,0.1,False,14,False,False,False,2,True,0,0.2682926829268293,False,False,False,False,False,False,True,False,False,False,False
14363,4/27/2021,TIKI,Kind of torch,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
14611,4/25/2021,ORAL,Kind of cavity,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
14662,4/24/2021,SPA,Kind of treatment,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
14681,4/23/2021,AMEX,Kind of card,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
15168,4/17/2021,ZEN,Kind of garden,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
15249,4/16/2021,LACTIC,Kind of acid produced during exercise,6,37,5.333333333333333,0.16666666666666666,False,5,False,False,False,0,True,0,0.13513513513513514,False,False,False,False,False,False,True,False,False,False,False
15373,4/14/2021,TREBLE,Kind of clef preceding notes usually played with the right hand on a piano,14,74,4.357142857142857,0.07142857142857142,False,13,False,False,False,0,True,0,0.17567567567567569,False,False,False,False,False,False,True,False,False,False,False
15386,4/14/2021,TARTAR,Kind of sauce,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
15455,4/13/2021,RISING,Kind of tide that lifts all boats,7,33,3.857142857142857,0.14285714285714285,False,6,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
15496,4/13/2021,NIMBUS,Kind of cloud that may bring precipitation,7,42,5.142857142857143,0.14285714285714285,False,6,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
15980,4/6/2021,SOB,Kind of story,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
16246,4/3/2021,BEAT,Kind of poet,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,True
16301,4/3/2021,ETHYL,Kind of alcohol,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
16565,3/30/2021,SKYPE,Modern kind of call,4,19,4.0,0.0,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
16583,3/30/2021,NATO,Kind of alphabet,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
16893,3/26/2021,LEGO,Kind of block,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
17091,3/23/2021,LED,"Kind of bulb, in brief",5,22,3.6,0.2,False,5,False,False,False,0,True,1,0.22727272727272727,False,False,False,False,False,False,True,False,False,False,False
17481,3/18/2021,ALLEN,Kind of wrench,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
17600,3/17/2021,REC,Kind of room,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
17663,3/16/2021,ETHERNET,Kind of cable,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
17692,3/15/2021,DILL,Kind of pickle,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
17942,3/13/2021,BIAS,Diagonal kind of cut,4,20,4.25,0.25,False,3,False,False,False,0,True,0,0.15,False,False,False,False,False,False,True,False,False,False,False
18181,3/9/2021,ORAL,Kind of test it's hard to cheat on,8,34,3.375,0.125,False,8,False,False,False,0,True,0,0.23529411764705882,False,False,False,False,False,False,True,False,False,False,False
18409,3/7/2021,INLINE,Kind of skate,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
18709,3/2/2021,OXEYE,Kind of daisy,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
18763,3/2/2021,KOLA,Kind of nut with caffeine,5,25,4.2,0.2,False,4,False,False,False,0,True,0,0.16,False,False,False,False,False,False,True,False,False,False,False
18823,3/1/2021,ALLTERRAIN,Kind of vehicle to take off-road,6,32,4.5,0.16666666666666666,False,6,False,False,False,0,True,0,0.1875,False,False,False,False,False,False,True,False,False,False,False
19004,2/27/2021,ACAI,Kind of bowl ordered at a juice bar,8,35,3.5,0.125,False,7,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
19129,2/25/2021,FAQ,Kind of page,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
19382,2/22/2021,MISO,Kind of soup often served at a sushi bar,9,40,3.5555555555555554,0.1111111111111111,False,8,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
19580,2/20/2021,NANNY,Kind of state,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
19626,2/19/2021,MASON,Kind of jar,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
19709,2/18/2021,MALT,Kind of Ovaltine,3,16,4.666666666666667,0.6666666666666666,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
19880,2/15/2021,USB,"Kind of port on a computer, in brief",8,36,3.625,0.125,False,8,False,False,False,0,True,1,0.2222222222222222,False,False,False,False,False,False,True,False,False,False,False
19986,2/14/2021,OPENFLOOR,Kind of modern office plan,5,26,4.4,0.2,False,4,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
20016,2/14/2021,AXIAL,Kind of symmetry,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
20130,2/13/2021,OAT,Kind of milk,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
20291,2/10/2021,STOUT,"Kind of beer ... or a multi-word hint to 18-, 22-, 37-, 51- and 57-Across",15,73,3.933333333333333,0.06666666666666667,False,36,False,False,False,0,True,3,0.3561643835616438,False,False,False,False,False,False,True,False,False,False,False
20631,2/6/2021,EARTH,Kind of tone,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
20735,2/4/2021,ACAI,Kind of palm,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
21037,1/31/2021,USED,Kind of bookstore,3,17,5.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,True,False,False,False,False
21309,1/28/2021,ALOHA,Colorful kind of shirt,4,22,4.75,0.0,False,3,False,False,False,0,True,0,0.13636363636363635,False,False,False,False,False,False,True,False,False,False,False
21918,1/20/2021,ONEPERCENT,Kind of milk,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
21922,1/20/2021,PONZI,Kind of scheme,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
22080,1/18/2021,ANGORA,Kind of goat that's the source of mohair,8,40,4.125,0.125,False,8,False,False,False,0,True,0,0.2,False,False,False,False,False,False,True,False,False,False,False
22166,1/17/2021,ACAI,Kind of palm cultivated for its fruit,7,37,4.428571428571429,0.14285714285714285,False,6,False,False,False,0,True,0,0.16216216216216217,False,False,False,False,False,False,True,False,False,False,False
22334,1/15/2021,HOWTO,Kind of manual,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
22817,1/9/2021,CERAMIC,Kind of tile,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
22925,1/7/2021,AUX,Kind of TV cable: Abbr.,5,23,3.8,0.6,False,6,False,False,False,1,True,0,0.2608695652173913,False,False,False,False,False,False,True,False,False,False,False
22988,1/6/2021,SWEETANDSOUR,Kind of sauce in Chinese cuisine,6,32,4.5,0.3333333333333333,False,5,False,False,False,0,True,0,0.15625,False,False,False,False,False,False,True,False,False,False,False
23202,1/3/2021,SHORTANSWER,Kind of test question,4,21,4.5,0.25,False,3,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
23603,12/29/2020,KOLA,Kind of nut,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
23623,12/29/2020,NEAP,Kind of tide,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
23878,12/26/2020,ELEVATOR,Kind of music or pitch,5,22,3.6,0.2,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
23942,12/25/2020,SOY,Kind of flour,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
23972,12/24/2020,DIESEL,Kind of engine,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
24024,12/24/2020,SCAM,Kind of artist,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,True
24034,12/23/2020,KAFKA,"Franz who wrote ""I think we ought to read only the kind of books that wound and stab us""",19,88,3.6842105263157894,0.10526315789473684,False,20,False,False,False,0,True,0,0.22727272727272727,False,False,False,False,False,False,True,False,False,False,False
24048,12/23/2020,CAREER,Kind of planning,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
24062,12/23/2020,EMAIL,Kind of account,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
24128,12/22/2020,USB,"Kind of computer port, in brief",6,31,4.333333333333333,0.16666666666666666,False,6,False,False,False,0,True,1,0.1935483870967742,False,False,False,False,False,False,True,False,False,False,False
24170,12/22/2020,SOLAR,Kind of energy,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
24624,12/16/2020,SINE,Kind of wave,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
24755,12/14/2020,ASSAM,Kind of tea from India,5,22,3.6,0.4,False,4,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,True,False,False,False,False
25274,12/8/2020,ACL,Kind of tear for an athlete,6,27,3.6666666666666665,0.16666666666666666,False,5,False,False,False,0,True,0,0.18518518518518517,False,False,False,False,False,False,True,False,False,False,True
25642,12/3/2020,OAT,Kind of milk,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
25730,12/2/2020,HATHA,Kind of yoga,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
26008,11/28/2020,PAST,Kind of tense,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,True,False,False,False,False
26370,11/23/2020,TAPIOCA,Kind of pudding,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
27505,11/8/2020,MORAL,Kind of high ground,4,19,4.0,0.25,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,True,False,False,False,False
27610,11/8/2020,IONIC,Kind of chemical bond in salts,6,30,4.166666666666667,0.16666666666666666,False,5,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
27691,11/6/2020,PENAL,Kind of code,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
27736,11/6/2020,AURAL,Kind of medical exam,4,20,4.25,0.25,False,3,False,False,False,0,True,0,0.15,False,False,False,False,False,False,True,False,False,False,False
27894,11/3/2020,SIM,Kind of card for a phone,6,24,3.1666666666666665,0.16666666666666666,False,5,False,False,False,0,True,0,0.20833333333333334,False,False,False,False,False,False,True,False,False,False,False
28249,10/30/2020,EMO,Kind of rock,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
28306,10/29/2020,USB,Kind of charger,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
29595,10/12/2020,NACHO,Kind of snack chip,4,18,3.75,0.25,False,3,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
29605,10/12/2020,BING,Kind of cherry,3,14,4.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,True,False,False,False,False
29638,10/12/2020,NICHE,Limited kind of market,4,22,4.75,0.0,False,3,False,False,False,0,True,0,0.13636363636363635,False,False,False,False,False,False,True,False,False,False,False
29861,10/9/2020,MANOAMANO,Direct kind of fight,4,20,4.25,0.0,False,3,False,False,False,0,True,0,0.15,False,False,False,False,False,False,True,False,False,False,False
29903,10/9/2020,ANTITANK,Kind of missile,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,True,False,False,False,False
29995,10/7/2020,FETAL,Kind of position,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,True,False,False,False,False
30182,10/5/2020,FITNESS,Kind of center with exercise machines,6,37,5.333333333333333,0.16666666666666666,False,5,False,False,False,0,True,0,0.13513513513513514,False,False,False,False,False,False,True,False,False,False,False
30212,10/4/2020,ALTO,Kind of clef,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
30425,10/2/2020,ROOFTOP,Urban kind of bar or garden,6,27,3.6666666666666665,0.0,False,5,False,False,False,0,True,0,0.18518518518518517,False,False,False,False,False,False,True,False,False,False,False
30538,9/30/2020,BUNDT,Kind of ring-shaped cake,4,24,5.25,0.25,False,4,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
30896,9/26/2020,KAISER,Kind of roll,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,True,False,False,False,False
30944,9/25/2020,REDBEAN,Kind of paste in East Asian cuisine,7,35,4.142857142857143,0.42857142857142855,False,6,False,False,False,0,True,0,0.17142857142857143,False,False,False,False,False,False,True,False,False,False,False
