,Date,Word,clue,_f_number words,_f_length of clue,_f_avg word length,_f_percentage words that are upper-case,_f_ends in question,_f_no alphabet characters,_f_is quote,_f_contains underscore,_f_contains asterisk,_f_number of non-consecutive periods in clue,_f_is ellipsis in clue,_f_number commas in clue,_f_number non a-z or 1-9 characters in clue,_f_contains e.g.,_f_contains etc.,_f_contains in short,_f_contains abbr,_f_contains amts.,_f_contains briefly,_f_contains dir.,_f_contains exclamation,_f_starts with kind of,_f_contains it may be,_f_contains bible clue,"_f_contains ,maybe or ,perhaps",_f_contains word before,_f_MentionsProfession,_f_is_100_most_common_clue
520278,3/19/2003,BEER,Kind of bust,3,12,3.3333333333333335,0.3333333333333333,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
520277,3/19/2003,FREE,Unfetter,1,8,8.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520257,3/19/2003,REID,"Tim of ""Sister, Sister""",4,23,5.0,0.75,False,6,False,False,False,0,True,1,0.2608695652173913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520258,3/19/2003,ATPAR,How some stocks are sold,5,24,4.0,0.0,False,4,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520259,3/19/2003,ZONE,In the ___ (focused),4,20,4.25,0.0,False,8,False,True,False,0,True,0,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520260,3/19/2003,EMERGE,Come out,2,8,3.5,0.0,False,1,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520261,3/19/2003,EMAIL,Screen letters,2,14,6.5,0.0,False,1,False,False,False,0,True,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520262,3/19/2003,CHAUD,It's hot in Paris,4,17,3.5,0.5,False,4,False,False,False,0,True,0,0.23529411764705882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520263,3/19/2003,ROSES,Derby prize,2,11,5.0,0.5,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520264,3/19/2003,MIA,"""Mamma ___""",2,11,5.0,0.0,False,6,True,True,False,0,True,0,0.5454545454545454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520265,3/19/2003,RASP,Hoarse speech,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520300,3/19/2003,COLTS,Unitas's team,2,13,6.0,0.5,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520266,3/19/2003,SALSA,Chips go-with,2,13,6.0,0.0,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520268,3/19/2003,URL,"Internet address, for short",4,27,6.0,0.25,False,4,False,False,False,0,True,1,0.14814814814814814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520269,3/19/2003,UNITE,Get together,2,12,5.5,0.0,False,1,False,False,False,0,True,0,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520270,3/19/2003,OASIS,Desert sight,2,12,5.5,0.5,False,1,False,False,False,0,True,0,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520271,3/19/2003,TOWIT,Namely,1,6,6.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520272,3/19/2003,JOWL,Cheek,1,5,5.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520273,3/19/2003,EXUDE,Give off,2,8,3.5,0.0,False,1,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520274,3/19/2003,OAKS,Stately florae,2,14,6.5,0.0,False,1,False,False,False,0,True,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520275,3/19/2003,ALOE,Hand cream ingredient,3,21,6.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.09523809523809523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520276,3/19/2003,VAPOR,"Steam, e.g.",2,11,5.0,0.0,False,4,False,False,False,2,True,1,0.36363636363636365,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520267,3/19/2003,CEST,"""___ la vie""",3,12,3.3333333333333335,0.0,False,7,True,True,False,0,True,0,0.5833333333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520301,3/19/2003,ASSET,Good thing,2,10,4.5,0.0,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520302,3/19/2003,TEA,"Gunpowder, for one",3,18,5.333333333333333,0.3333333333333333,False,3,False,False,False,0,True,1,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520303,3/19/2003,CRUST,Pizza feature,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520329,3/18/2003,SLED,It rides on runners,4,19,4.0,0.25,False,3,False,False,False,0,True,0,0.15789473684210525,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520330,3/18/2003,ERA,Hurler's stat.,2,14,6.5,0.5,False,3,False,False,False,1,True,0,0.21428571428571427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520331,3/18/2003,TIS,"""___ the season ...""",4,20,4.25,0.0,False,11,True,True,False,0,True,0,0.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520332,3/18/2003,REV,"Gun, as an engine",4,17,3.5,0.25,False,4,False,False,False,0,True,1,0.23529411764705882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520333,3/18/2003,DISCO,"""Saturday Night Fever"" music",4,28,6.25,0.5,False,5,False,False,False,0,True,0,0.17857142857142858,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520334,3/18/2003,DEAN,Rat Pack cohort of Frank,5,24,4.0,0.6,False,4,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520335,3/18/2003,VOLS,"Tennessee team, for short",4,25,5.5,0.25,False,4,False,False,False,0,True,1,0.16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520336,3/18/2003,DOWAGER,"Queen mother, e.g.",3,18,5.333333333333333,0.3333333333333333,False,5,False,False,False,2,True,1,0.2777777777777778,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520337,3/18/2003,RAVIOLI,Pasta with pockets,3,18,5.333333333333333,0.0,False,2,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520328,3/18/2003,TENON,Mortise's partner,2,17,8.0,0.5,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520338,3/18/2003,AWAY,On the road,3,11,3.0,0.0,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520340,3/18/2003,INDEX,"The Dow, e.g.",3,13,3.6666666666666665,0.3333333333333333,False,5,False,False,False,2,True,1,0.38461538461538464,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520341,3/18/2003,YAP,Big fat mouth,3,13,3.6666666666666665,0.0,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520342,3/18/2003,HUMPHREY,Nixon bested him,3,16,4.666666666666667,0.3333333333333333,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520343,3/18/2003,GUS,Director Van Sant,3,17,5.0,1.0,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520344,3/18/2003,ALE,Ginger ___,2,10,4.5,0.5,False,4,False,True,False,0,True,0,0.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520345,3/18/2003,LEST,"""___ we forget""",3,15,4.333333333333333,0.0,False,7,True,True,False,0,True,0,0.4666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520346,3/18/2003,TSARS,Autocrats of old,3,16,4.666666666666667,0.0,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520347,3/18/2003,PSALM,One of David's compositions,4,27,6.0,0.25,False,4,False,False,False,0,True,0,0.14814814814814814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520348,3/18/2003,RIB,Poke fun at,3,11,3.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520339,3/18/2003,MUSS,Disarrange,1,10,10.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520256,3/19/2003,COAX,Sweet-talk,1,10,10.0,0.0,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520327,3/18/2003,CLAWS,Hammer features,2,15,7.0,0.5,False,1,False,False,False,0,True,0,0.06666666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520325,3/18/2003,DEPLANE,Get off at the terminal,5,23,3.8,0.0,False,4,False,False,False,0,True,0,0.17391304347826086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520304,3/19/2003,HARPO,Silent movie star?,3,18,5.333333333333333,0.0,True,3,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520305,3/19/2003,ASLOW,Do ___ burn,3,11,3.0,0.0,False,5,False,True,False,0,True,0,0.45454545454545453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520307,3/19/2003,UPTO,Engaged in,2,10,4.5,0.0,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520308,3/19/2003,OPIE,Taylor boy of 60's TV,5,21,3.4,0.4,False,7,False,False,False,0,True,0,0.23809523809523808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520309,3/19/2003,TILLER,Farm machine,2,12,5.5,0.0,False,1,False,False,False,0,True,0,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520310,3/19/2003,CLARO,Mild smoke,2,10,4.5,0.5,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520311,3/19/2003,HOKEY,Contrived,1,9,9.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520312,3/19/2003,YESES,Toadies' replies,2,16,7.5,0.0,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520313,3/19/2003,SEVE,Golfer Ballesteros,2,18,8.5,1.0,False,1,False,False,False,0,True,0,0.05555555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520326,3/18/2003,YAM,Starchy tuber,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520314,3/19/2003,EXAM,"Physical, e.g.",2,14,6.5,0.5,False,4,False,False,False,2,True,1,0.2857142857142857,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520316,3/19/2003,ODOR,Reason to bathe,3,15,4.333333333333333,0.3333333333333333,False,2,False,False,False,0,True,0,0.13333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520317,3/19/2003,JAB,Short punch,2,11,5.0,0.5,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520318,3/19/2003,OLE,Motivation for Manolete,3,23,7.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.08695652173913043,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520319,3/19/2003,WOE,Distress,1,8,8.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520320,3/18/2003,XFILES,"Agent Mulder's show, with ""The""",5,31,5.4,0.6,False,8,False,False,False,0,True,1,0.25806451612903225,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520321,3/18/2003,TSHIRT,Garment that may have advertising,5,33,5.8,0.0,False,4,False,False,False,0,True,0,0.12121212121212122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520322,3/18/2003,RECIPES,Chef's collection,2,17,8.0,0.5,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520323,3/18/2003,THEOREM,Pythagorean ___,2,15,7.0,0.5,False,4,False,True,False,0,True,0,0.26666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520324,3/18/2003,ARABIAN,High-spirited horse,2,19,9.0,0.0,False,2,False,False,False,0,True,0,0.10526315789473684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520315,3/19/2003,SUPE,"Movie extra, in brief",4,21,4.5,0.25,False,4,False,False,False,0,True,1,0.19047619047619047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520349,3/18/2003,REGATTA,Event for scullers,3,18,5.333333333333333,0.0,False,2,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520255,3/19/2003,HELLO,Phone line?,2,11,5.0,0.0,True,2,False,False,False,0,True,0,0.18181818181818182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520253,3/19/2003,EZRA,Book before Nehemiah,3,20,6.0,0.6666666666666666,False,2,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520185,3/20/2003,SCENERY,Trees and such,3,14,4.0,0.0,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520186,3/20/2003,SASE,It may accompany a MS.,5,22,3.6,0.4,False,5,False,False,False,1,True,0,0.22727272727272727,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520187,3/20/2003,BEET,"Bagasse base, maybe",3,19,5.666666666666667,0.3333333333333333,False,3,False,False,False,0,True,1,0.15789473684210525,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
520188,3/20/2003,TRIO,"Rock's Cream, e.g.",3,18,5.333333333333333,0.6666666666666666,False,6,False,False,False,2,True,1,0.3333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520189,3/20/2003,MACHO,Rambo-esque,1,11,11.0,0.0,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520190,3/20/2003,SOLES,Callus sites,2,12,5.5,0.5,False,1,False,False,False,0,True,0,0.08333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520192,3/20/2003,IGLOO,Cold weather quarters,3,21,6.333333333333333,0.0,False,2,False,False,False,0,True,0,0.09523809523809523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520193,3/20/2003,OPIE,English painter John,3,20,6.0,0.3333333333333333,False,2,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
520194,3/20/2003,ERAS,Blocks of time,3,14,4.0,0.0,False,2,False,False,False,0,True,0,0.14285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520195,3/20/2003,DECK,Knock down,2,10,4.5,0.5,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520196,3/20/2003,ONCE,Way back when,3,13,3.6666666666666665,0.3333333333333333,False,2,False,False,False,0,True,0,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520197,3/20/2003,OMEGA,Longines rival,2,14,6.5,0.0,False,1,False,False,False,0,True,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520198,3/20/2003,YEH,"""Uh-huh""",1,8,8.0,0.0,False,3,True,False,False,0,True,0,0.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520199,3/20/2003,BROAD,All-encompassing,1,16,16.0,0.0,False,1,False,False,False,0,True,0,0.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520200,3/20/2003,NADER,Also-ran in 2000,3,16,4.666666666666667,0.0,False,7,False,False,False,0,True,0,0.1875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520201,3/20/2003,DECO,"Some art design, informally",4,27,6.0,0.0,False,4,False,False,False,0,True,1,0.14814814814814814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520202,3/20/2003,LUCA,___ Brasi (Corleone hood),4,25,5.5,0.5,False,8,False,True,False,0,True,0,0.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520203,3/20/2003,LUBE,"Grease, briefly",2,15,7.0,0.5,False,2,False,False,False,0,True,1,0.13333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
520204,3/20/2003,POTLUCK,Surprise fare,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520184,3/20/2003,BASEHITS,Singles or doubles,3,18,5.333333333333333,0.0,False,2,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520183,3/20/2003,SENTTO,Directed at,2,11,5.0,0.0,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520182,3/20/2003,ALLUSION,Subtle reference,2,16,7.5,0.0,False,1,False,False,False,0,True,0,0.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520181,3/20/2003,ALOTOF,Many,1,4,4.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520161,3/21/2003,ALCOHOL,Still stuff,2,11,5.0,0.0,False,1,False,False,False,0,True,0,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520162,3/21/2003,HERETIC,Freethinker,1,11,11.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520163,3/21/2003,SAFES,Some are cracked,3,16,4.666666666666667,0.0,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520164,3/21/2003,DABAT,Sponge gently,2,13,6.0,0.5,False,1,False,False,False,0,True,0,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520165,3/21/2003,RAT,Common test taker,3,17,5.0,0.0,False,2,False,False,False,0,True,0,0.11764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520166,3/21/2003,PAH,"""Fiddlesticks!""",1,15,15.0,0.0,False,3,True,False,False,0,True,0,0.2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
520167,3/21/2003,CAROLED,"Went wassailing, once",3,21,6.333333333333333,0.0,False,3,False,False,False,0,True,1,0.14285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520168,3/21/2003,ATATIME,Simultaneously,1,14,14.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520169,3/21/2003,SHOGUNS,Old Japanese ruling line,4,24,5.25,0.5,False,3,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520205,3/20/2003,RIPENING,"Turning red, maybe",3,18,5.333333333333333,0.0,False,3,False,False,False,0,True,1,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
520170,3/21/2003,CHEAPEN,Devalue,1,7,7.0,0.0,False,0,False,False,False,0,True,0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520172,3/21/2003,UNUM,One for the money?,4,18,3.75,0.0,True,4,False,False,False,0,True,0,0.2222222222222222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520173,3/21/2003,TABOR,Fifer's drum,2,12,5.5,0.5,False,2,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520174,3/21/2003,DROPA,"Words with line, hint or bomb",6,29,4.0,0.0,False,6,False,False,False,0,True,1,0.20689655172413793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520175,3/21/2003,SASE,Mail convenience: Abbr.,3,23,7.0,0.3333333333333333,False,4,False,False,False,1,True,0,0.17391304347826086,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
520176,3/21/2003,ONIT,Doing what needs to be done,6,27,3.6666666666666665,0.0,False,5,False,False,False,0,True,0,0.18518518518518517,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520177,3/21/2003,ERI,Epsilon ___ (14th nearest star to Earth),7,40,4.857142857142857,0.2857142857142857,False,13,False,True,False,0,True,0,0.275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520178,3/21/2003,ASU,Sun Devils' sch.,3,16,4.666666666666667,0.6666666666666666,False,4,False,False,False,1,True,0,0.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520179,3/20/2003,BANANA,"With 7-Across, something to start with",6,38,5.5,0.0,False,8,False,False,False,0,True,1,0.18421052631578946,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520180,3/20/2003,DAIQUIRI,See 1-Across,2,12,5.5,0.0,False,3,False,False,False,0,True,0,0.16666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520171,3/21/2003,ALAMODE,Pie preference,2,14,6.5,0.5,False,1,False,False,False,0,True,0,0.07142857142857142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520206,3/20/2003,SEASON,Time of the year,4,16,3.25,0.0,False,3,False,False,False,0,True,0,0.1875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520207,3/20/2003,AQUACADE,Swimming and diving pageant,4,27,6.0,0.0,False,3,False,False,False,0,True,0,0.1111111111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520208,3/20/2003,ETRADE,On-line business,2,16,7.5,0.0,False,2,False,False,False,0,True,0,0.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520233,3/20/2003,LINEDUP,"Like taxis at a hotel, maybe",6,28,3.8333333333333335,0.0,False,6,False,False,False,0,True,1,0.21428571428571427,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
520234,3/20/2003,EEK,Comics cry,2,10,4.5,0.0,False,1,False,False,False,0,True,0,0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520235,3/20/2003,OSKAR,"Schindler of ""Schindler's List""",4,31,7.0,0.75,False,6,False,False,False,0,True,0,0.1935483870967742,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520236,3/20/2003,ERMA,"Aunt with a ""Cope Book""",5,23,3.8,0.6,False,6,False,False,False,0,True,0,0.2608695652173913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
